
[00:00:00.000 --> 00:00:05.000]  我今日都想同大家分享一個訊息
[00:00:05.000 --> 00:00:09.000]  這個訊息其實是一節經文
[00:00:09.000 --> 00:00:12.000]  我這個訊息的名字叫做超乎想像的好消息
[00:00:12.000 --> 00:00:14.000]  有什麼好消息呢?
[00:00:14.000 --> 00:00:19.000]  我想剛才做天使天兵那幾位朋友
[00:00:19.000 --> 00:00:22.000]  幫我讀這一句出來,大聲讀出來
[00:00:22.000 --> 00:00:23.000]  1,2,3
[00:00:23.000 --> 00:00:31.000]  在至高之處,榮耀歸於神,在地上平安歸於他所喜悅的人
[00:00:31.000 --> 00:00:36.000]  我現在又想邀請所有人一起讀這一句聖經
[00:00:36.000 --> 00:00:37.000]  預備,起
[00:00:37.000 --> 00:00:47.000]  在至高之處,榮耀歸於神,在地上平安歸於他所喜悅的人
[00:00:47.000 --> 00:00:52.000]  2024年很快就會過去了
[00:00:52.000 --> 00:00:55.000]  剩下多少天?
[00:00:55.000 --> 00:00:57.000]  十天左右,對不對?
[00:00:57.000 --> 00:00:59.000]  很快就會過去了
[00:00:59.000 --> 00:01:05.000]  展望未來的新一年,如果給你一個願望達成的機會
[00:01:05.000 --> 00:01:09.000]  你會最想有什麼心願呢?
[00:01:09.000 --> 00:01:11.000]  有沒有想過?
[00:01:11.000 --> 00:01:13.000]  小朋友你最想有什麼心願?
[00:01:13.000 --> 00:01:15.000]  明年
[00:01:15.000 --> 00:01:16.000]  最想是怎麼樣?
[00:01:16.000 --> 00:01:20.000]  明年
[00:01:20.000 --> 00:01:22.000]  是不是讀書進步?
[00:01:22.000 --> 00:01:26.000]  不是,最好不用補這麼多集,是不是?
[00:01:26.000 --> 00:01:32.000]  大人可能就會說,最好就是身體健康
[00:01:32.000 --> 00:01:36.000]  現在賺錢可能不是最重要,是身體健康
[00:01:36.000 --> 00:01:40.000]  很多時候有疫情,很多的病菌
[00:01:40.000 --> 00:01:44.000]  身體健康,固知型都是很重要的
[00:01:44.000 --> 00:01:48.000]  不過我想,如果身體健康,但是沒有平安
[00:01:48.000 --> 00:01:52.000]  其實你的心也不會很開心、很快樂,是不是?
[00:01:52.000 --> 00:01:55.000]  所以很多時候我們看到一些字畫
[00:01:55.000 --> 00:01:58.000]  都會寫著平安,都會加上喜樂
[00:01:58.000 --> 00:02:03.000]  因為你沒有平安,你其實也很難喜樂,是不是?
[00:02:03.000 --> 00:02:08.000]  過去幾年,我們看新聞、聽新聞的時候
[00:02:08.000 --> 00:02:11.000]  很多時候我們發覺,我聽到很多什麼?
[00:02:11.000 --> 00:02:18.000]  以巴戰爭、敘利亞的內戰
[00:02:18.000 --> 00:02:21.000]  敘利亞經歷了13年的內戰之後
[00:02:21.000 --> 00:02:25.000]  那個反政府武裝在短短10天之內
[00:02:25.000 --> 00:02:30.000]  就推翻了、統治了敘利亞50年的總統巴沙爾的家族
[00:02:30.000 --> 00:02:34.000]  令到整個敘利亞可以說一夜就變天
[00:02:34.000 --> 00:02:39.000]  還有我們最近也聽到,德魯吉亞的反政府示威
[00:02:39.000 --> 00:02:43.000]  美國總統選舉,這個影響全世界
[00:02:43.000 --> 00:02:46.000]  也有大國的角力
[00:02:46.000 --> 00:02:50.000]  還有接二連三,很多的天災
[00:02:50.000 --> 00:02:54.000]  人禍就更加很多,我們每天的新聞都聽到
[00:02:54.000 --> 00:03:01.000]  我們回到香港,經濟下滑,民生不穩
[00:03:01.000 --> 00:03:05.000]  每天的新聞你聽到很多很負面的消息
[00:03:05.000 --> 00:03:08.000]  很多的悲劇發生,人際關係的破裂
[00:03:08.000 --> 00:03:12.000]  人心很壓抑,很多抑鬱的情況
[00:03:12.000 --> 00:03:17.000]  精神有問題,做出了很多傷害別人的事
[00:03:17.000 --> 00:03:20.000]  大人的生活充滿著很多壓力
[00:03:20.000 --> 00:03:24.000]  覺不覺得?大人又要做事,又要兼顧家庭
[00:03:24.000 --> 00:03:27.000]  小孩子呢?小孩子也覺得很慘,對不對?
