
[00:00:00.000 --> 00:00:01.120]  第一節會平安
[00:00:01.120 --> 00:00:02.480]  眨眼又一日了
[00:00:02.480 --> 00:00:05.800]  生命樹又為大家提供聖經人、聖經事
[00:00:05.800 --> 00:00:08.600]  希望看到人與事的背後
[00:00:08.600 --> 00:00:10.400]  上帝是做些什麼
[00:00:10.400 --> 00:00:11.760]  神是怎樣的
[00:00:11.760 --> 00:00:13.080]  祂的想法是什麼
[00:00:13.080 --> 00:00:15.480]  「因祂是你所生的」
[00:00:15.480 --> 00:00:17.280]  這句話是上帝說的
[00:00:17.280 --> 00:00:20.600]  因為祂是你所生的
[00:00:20.600 --> 00:00:22.280]  這個也很重要
[00:00:22.280 --> 00:00:24.200]  我們先看一段聖經
[00:00:24.200 --> 00:00:25.640]  《創世紀》二十一章
[00:00:25.640 --> 00:00:30.640]  「當時撒拉罕見哀琴人夏甲
[00:00:30.640 --> 00:00:33.440]  給阿伯拉罕所生的兒子
[00:00:33.440 --> 00:00:38.160]  氣笑對阿伯拉罕說
[00:00:38.160 --> 00:00:42.160]  『你把這侍女和她兒子趕出去
[00:00:42.160 --> 00:00:45.360]  因為這侍女的兒子
[00:00:45.360 --> 00:00:47.960]  不可與我的兒子以撒
[00:00:47.960 --> 00:00:51.360]  一同承受產業』」
[00:00:51.360 --> 00:00:53.680]  留意多一次
[00:00:53.680 --> 00:00:57.480]  你會看到黑色字、紅色字
[00:00:57.480 --> 00:01:00.280]  是聖經畫本的字
[00:01:00.280 --> 00:01:03.760]  綠色字是我的注釋
[00:01:03.760 --> 00:01:05.760]  留意多看一次
[00:01:05.760 --> 00:01:10.240]  當時撒拉罕見
[00:01:10.240 --> 00:01:12.040]  已經叫做撒拉了
[00:01:12.040 --> 00:01:13.640]  不是撒萊了
[00:01:13.640 --> 00:01:18.080]  當時撒拉罕見哀琴人夏甲
[00:01:18.080 --> 00:01:19.840]  即是她的婢女
[00:01:19.840 --> 00:01:21.960]  是撒拉的婢女
[00:01:21.960 --> 00:01:32.080]  「給阿伯拉罕所生的兒子氣笑對阿伯拉罕說
[00:01:32.080 --> 00:01:36.040]  『你把這侍女和她兒子趕出去
[00:01:36.040 --> 00:01:37.760]  因為這侍女的兒子
[00:01:37.760 --> 00:01:43.080]  不可與我的兒子以撒
[00:01:43.080 --> 00:01:45.640]  一同承受產業』」
[00:01:45.640 --> 00:01:49.160]  大家記得這聖經是怎樣的呢?
[00:01:49.160 --> 00:01:52.080]  就是神跟阿伯拉罕說
[00:01:52.080 --> 00:01:54.080]  「你會生她兒子」
[00:01:54.080 --> 00:01:59.360]  阿伯拉罕覺得他已經九十九、一百歲了
[00:01:59.360 --> 00:02:00.360]  怎會生得到呢?
[00:02:00.360 --> 00:02:03.560]  我太太撒拉已經老了
[00:02:03.560 --> 00:02:05.160]  起碼九十歲
[00:02:05.160 --> 00:02:08.840]  已經絕了,不能生了
[00:02:08.840 --> 00:02:11.240]  不過,既然神祝福
[00:02:11.240 --> 00:02:15.120]  她的「符福」就收到了
[00:02:15.120 --> 00:02:20.960]  不過,之後你看聖經就做錯一件事了
[00:02:20.960 --> 00:02:25.080]  撒拉見到要生兒子
[00:02:25.080 --> 00:02:26.560]  怎會生得到呢?
[00:02:26.560 --> 00:02:28.560]  這是撒拉出事的
[00:02:28.560 --> 00:02:30.720]  她以前的名字叫撒萊
[00:02:30.720 --> 00:02:32.000]  撒萊是公主
[00:02:32.000 --> 00:02:35.000]  撒拉是多人之母
[00:02:35.000 --> 00:02:38.360]  有辦法
[00:02:38.360 --> 00:02:41.720]  就是他們常用人的方法
[00:02:41.720 --> 00:02:44.560]  昨天說的題目是「人的方法」
[00:02:44.560 --> 00:02:47.800]  今天要看的又是「人的方法」
[00:02:47.800 --> 00:02:49.800]  就是出事在撒拉身上
[00:02:49.800 --> 00:02:51.320]  阿伯拉罕有沒有份呢?
[00:02:51.320 --> 00:02:54.200]  都有份,因為他接受這個方法
[00:02:54.200 --> 00:02:56.560]  撒拉說
[00:02:56.560 --> 00:03:00.440]  「你一百,我九十,怎會生呢?」
[00:03:00.440 --> 00:03:02.760]  「不過神說要生,不如這樣吧」
[00:03:02.760 --> 00:03:07.440]  「不要讓事情不發生」
[00:03:07.440 --> 00:03:10.240]  「不能生的,老公,那怎辦呢?」
[00:03:10.240 --> 00:03:14.000]  「我有一個很近身的婢女,多好啊」
[00:03:14.000 --> 00:03:18.520]  「比較黑的,是埃及人,叫夏格」
[00:03:18.520 --> 00:03:22.960]  夏格的意思是逃跑
[00:03:22.960 --> 00:03:24.600]  不知道是不是逃跑出來的
[00:03:24.600 --> 00:03:26.600]  被她買了做奴隸
[00:03:26.600 --> 00:03:28.600]  以來服侍她
[00:03:28.600 --> 00:03:36.840]  「我有一個我都很疼的婢女」
[00:03:36.840 --> 00:03:39.720]  「不如讓你做妾侍吧」
[00:03:39.720 --> 00:03:44.240]  「她那麼強壯,一定生得到」
[00:03:44.240 --> 00:03:45.800]  「又年輕」
[00:03:45.800 --> 00:03:49.360]  阿伯拉罕說「這樣好啊」
[00:03:49.360 --> 00:03:53.000]  其實撒拉先出事
[00:03:53.000 --> 00:03:56.480]  不過之後阿伯拉罕肯
[00:03:56.480 --> 00:03:59.480]  事情就發生了
[00:03:59.480 --> 00:04:01.480]  不過不是上帝給的
[00:04:01.480 --> 00:04:03.720]  因為兩個人在那個時間
[00:04:03.720 --> 00:04:06.880]  都不信上帝能夠讓一個
[00:04:06.880 --> 00:04:08.880]  一百歲和九十歲的人生兒子
[00:04:08.880 --> 00:04:12.360]  不行了,所以就用人的方法
[00:04:12.360 --> 00:04:14.360]  又是用人的方法,好像昨天那樣
[00:04:14.360 --> 00:04:17.560]  於是阿伯拉罕和夏格生了兒子
[00:04:17.560 --> 00:04:20.040]  生了兒子聖經就沒有在這段
[00:04:20.040 --> 00:04:22.960]  給阿伯拉罕所生的兒子棄孝
[00:04:22.960 --> 00:04:24.960]  就沒有說兒子的名字
[00:04:24.960 --> 00:04:26.960]  以為大家都認識
[00:04:26.960 --> 00:04:28.960]  我怕大家不記得
[00:04:28.960 --> 00:04:34.360]  阿伯拉罕和夏格的兒子的名字叫以實瑪利
[00:04:34.360 --> 00:04:36.360]  以實瑪利大家可能記得了
[00:04:36.360 --> 00:04:39.040]  以實瑪利是個好名字
[00:04:39.040 --> 00:04:41.040]  以實瑪利呢
[00:04:41.040 --> 00:04:43.040]  我不夠位置
[00:04:43.040 --> 00:04:45.040]  Ishmael
[00:04:45.040 --> 00:04:47.040]  Ishmael
