
[00:00:00.000 --> 00:00:05.040]  飛來鐵飛是在一個很特殊的 地理的位置上面
[00:00:05.040 --> 00:00:11.640]  在這個地方的當中 連接着三個不同重要的地區
[00:00:11.640 --> 00:00:16.780]  我不知道這些名字中文怎麼翻 但最少我可以跟大家講到
[00:00:16.780 --> 00:00:24.840]  這三個地方是通往了現在土耳其的中部的地方
[00:00:24.840 --> 00:00:29.040]  所以是一個很重要的地方
[00:00:29.680 --> 00:00:37.600]  這個地方把 Mysia、Lydia 跟內陸的一個城市把它連在一起
[00:00:37.600 --> 00:00:42.520]  意思就是說 當你要進到這個內陸的地方 一定要經過這個城
[00:00:42.520 --> 00:00:47.820]  那麼神在啓示的當中 特別是把這個城市當中所建立的教會
[00:00:47.820 --> 00:00:51.540]  用了一個躺開的門來描述
[00:00:51.540 --> 00:00:53.540]  寓意做一個什麼事情
[00:00:53.540 --> 00:00:59.260]  就是教會可以成爲一個流通帶有能力的門
[00:00:59.260 --> 00:01:02.420]  那麼這個門到底是什麼意思呢
[00:01:02.420 --> 00:01:06.700]  我相信大家可以說 有些時候我們家裏面也有一些門
[00:01:06.700 --> 00:01:09.700]  這些門戶是保護自己的
[00:01:09.700 --> 00:01:15.540]  或者你不要愛聽你愛人跟你講的話 很煩你把這個門關掉
[00:01:15.540 --> 00:01:20.380]  這個意思我相信是講到 教會應該有的使命
[00:01:20.380 --> 00:01:23.780]  而且這個使命應該流露在我們的生命裏面
[00:01:23.780 --> 00:01:27.320]  那我怎麼樣定義這個所謂打開的門呢
[00:01:27.320 --> 00:01:29.780]  我大概是用這個方法來看
[00:01:29.780 --> 00:01:38.900]  就是這個門是寓意做 表達做一個無窮的機會
[00:01:38.900 --> 00:01:44.540]  講到打開一個重要生命的一個道路
[00:01:44.540 --> 00:01:50.620]  是一個可以爲別人作出祝福的通道
[00:01:50.620 --> 00:01:54.620]  是一個我們生命當中沒有走過的一個通道
[00:01:54.620 --> 00:01:59.940]  但是卻帶來一個可能讓神能夠使用我們的人生
[00:01:59.940 --> 00:02:05.220]  這個榮耀的 這個具有挑戰性的道路
[00:02:05.220 --> 00:02:10.500]  正是神愛我們 讓我們走過的道路
[00:02:10.500 --> 00:02:15.500]  所以這個不爲自己的目標 不爲自己的規範的道路
[00:02:15.500 --> 00:02:18.100]  不是爲了自我成就的
[00:02:18.100 --> 00:02:22.460]  乃是爲我們的生命可以在神的面前討悅
[00:02:22.460 --> 00:02:25.580]  並且能夠接受神所給我們的風險
[00:02:25.580 --> 00:02:29.500]  走在神給我們的這個帶領的當中
[00:02:29.500 --> 00:02:35.580]  我相信這個的使命就是今天我們有的這個門
[00:02:35.580 --> 00:02:38.340]  我願意今天用這個打開的門
[00:02:38.340 --> 00:02:43.220]  作爲今天跟大家來分享的一個開始
[00:02:43.220 --> 00:02:48.380]  你曉得怎麼分辨2015年的門嗎
[00:02:48.380 --> 00:02:52.740]  我盼望今天在我們的眼前有這個打開的門
[00:02:52.740 --> 00:02:57.540]  我盼望這個無窮的機會能夠臨到你的身上
[00:02:57.540 --> 00:03:01.460]  我希望2015年的時候你會打開一個新的開始
[00:03:01.460 --> 00:03:06.100]  就正如我平常都穿白色的襯衫 今天我用藍色的襯衫
[00:03:06.100 --> 00:03:07.540]  所以是一個新的開始
[00:03:07.540 --> 00:03:10.620]  我盼望我們今天有一個新的時代的開始
[00:03:10.620 --> 00:03:12.660]  帶來一個新的機會
[00:03:12.660 --> 00:03:18.620]  讓你今天可以在你沒有想過的範圍的當中 爲主的緣故
[00:03:18.620 --> 00:03:24.780]  進到這個可以討悅神 祝福別人的這個生命的道路上
[00:03:24.780 --> 00:03:26.860]  那麼這個門有什麼特別的地方呢
[00:03:26.860 --> 00:03:28.900]  我相信第一個特別的地方就是
[00:03:28.900 --> 00:03:35.220]  這個門是神親自爲我們打開的
[00:03:35.220 --> 00:03:38.700]  大家小心來看一下第三章的第七節
[00:03:38.700 --> 00:03:41.860]  我要寫信給菲拉貼妃教會的使者
[00:03:41.860 --> 00:03:44.580]  來看一下當中怎麼描述
[00:03:44.580 --> 00:03:48.700]  講到基格的教會里面
[00:03:48.700 --> 00:03:51.820]  當中所相信的上帝就是那一位聖潔的
[00:03:51.820 --> 00:03:56.020]  我明白我們基督徒都明白神是聖潔的上帝
[00:03:56.020 --> 00:03:58.580]  我更相信在神的裏面有真理
[00:03:58.580 --> 00:03:59.940]  因爲福音第一章講到
[00:03:59.940 --> 00:04:04.300]  這個真理透入耶穌基督道成肉身 然後向我們顯明出來
[00:04:04.300 --> 00:04:06.540]  所以我相信聖潔真實
[00:04:06.540 --> 00:04:11.060]  真的描述着我們跟神之間的這一種的關係
[00:04:11.060 --> 00:04:15.540]  帶着大位的鑰匙代表了這個俗靈當中的這個祝福
[00:04:15.540 --> 00:04:19.700]  透過歷史展現在凡相信他
[00:04:19.700 --> 00:04:22.020]  成爲亞伯拉罕後裕的人的身上
[00:04:22.020 --> 00:04:23.180]  所以我同樣的相信
[00:04:23.180 --> 00:04:25.260]  但上面一句話就很特別
[00:04:25.260 --> 00:04:28.940]  就講到基格教會的主人就是我們相信的上帝
[00:04:28.940 --> 00:04:32.140]  就是開了就沒有人能關
[00:04:32.140 --> 00:04:35.340]  關了就沒有人能開的機會的上帝
[00:04:35.340 --> 00:04:37.020]  所以第一個我看到
[00:04:37.020 --> 00:04:41.700]  我們所看見的門是神親自打開的
[00:04:41.700 --> 00:04:45.340]  我們今天不單單承認上帝是聖潔的上帝
[00:04:45.340 --> 00:04:49.780]  真實能夠帶領我們走過人生道路真理的主
[00:04:49.780 --> 00:04:54.900]  我們更相信他在裏面不僅僅傳授對我生命的祝福
[00:04:54.900 --> 00:04:58.260]  他會爲我們打開生命之門
[00:04:58.260 --> 00:04:59.700]  爲什麼我們這樣看
[00:04:59.700 --> 00:05:03.140]  是因爲這個的生命之門會臨到你的身上
[00:05:03.140 --> 00:05:08.820]  2015年可能這個的道路這個的門會爲你打開
[00:05:08.820 --> 00:05:11.700]  這個門打開不是因爲你有才幹
[00:05:11.700 --> 00:05:15.500]  這個門打開不因爲你有教育的背景
[00:05:15.500 --> 00:05:20.100]  也不因爲是你有這種的雄心壯志
[00:05:20.100 --> 00:05:21.540]  是神致使的恩典
[00:05:21.540 --> 00:05:24.020]  你看一下咒約的當中有一個人
[00:05:24.020 --> 00:05:25.820]  他沒有爲神做些什麼
[00:05:25.820 --> 00:05:27.460]  到了他退休的時候
[00:05:27.460 --> 00:05:30.300]  當要在思想他的生活應該怎麼樣的時候
[00:05:30.300 --> 00:05:33.220]  神咒有一天上他顯示
[00:05:33.220 --> 00:05:36.060]  創世紀十二章第一節
[00:05:36.060 --> 00:05:41.780]  耶和華在上咒這個對我們來說不認識的人叫做鴉波南說了
[00:05:41.780 --> 00:05:42.820]  你
[00:05:42.820 --> 00:05:44.380]  你要離開本地
[00:05:44.380 --> 00:05:48.900]  本族附加往我所要指示你的地方
[00:05:48.900 --> 00:05:50.900]  我必叫你成爲大國
[00:05:50.900 --> 00:05:52.220]  我必賜福給你
[00:05:52.220 --> 00:05:53.740]  叫你的名爲大
[00:05:53.740 --> 00:05:55.740]  你也要叫別人得福
[00:05:55.740 --> 00:05:58.060]  你看一下這個的門怎麼樣打開
[00:05:58.060 --> 00:06:01.020]  不是因爲鴉波南是一個敬畏上帝的人
[00:06:01.020 --> 00:06:04.940]  任何聖經當中沒有記載他的敬畏的生活如何
[00:06:04.940 --> 00:06:08.220]  老實說他過去日子當中跟着他的爸爸
[00:06:08.220 --> 00:06:09.780]  離開他的故鄉
[00:06:09.780 --> 00:06:11.300]  到了別的地方去
[00:06:11.300 --> 00:06:13.420]  沒有記載他家庭是怎麼樣
[00:06:13.420 --> 00:06:16.220]  只記載他好像一般的家庭一樣
[00:06:16.220 --> 00:06:17.620]  生兒育女
[00:06:17.620 --> 00:06:19.020]  就講到這個的事情
[00:06:19.020 --> 00:06:20.380]  但是有一天
[00:06:20.380 --> 00:06:22.220]  不曉得是什麼的時候
[00:06:22.220 --> 00:06:25.220]  耶和華親自的向這個鴉波南說
[00:06:25.220 --> 00:06:27.380]  你要離開這個地方
[00:06:27.380 --> 00:06:28.900]  所以給我們看見
[00:06:28.900 --> 00:06:31.820]  當我們要看見2015年的時候
[00:06:31.820 --> 00:06:35.860]  我盼望今天我們有這樣子的對神的接待
[00:06:35.860 --> 00:06:38.420]  就是這個機會臨到你的身上
[00:06:38.420 --> 00:06:40.180]  是出於神的恩典
[00:06:40.180 --> 00:06:44.300]  所以今天你要不要拒絕神在你生命當中所要說的
[00:06:44.300 --> 00:06:46.900]  爲什麼這個話語這樣重要
[00:06:46.900 --> 00:06:49.980]  是因爲這個是神賜給我們生命當中
