
[00:00:00.000 --> 00:00:05.000]  那本時有書是普羅寫給教會最長的書信
[00:00:05.000 --> 00:00:07.000]  有時我問一個問題
[00:00:07.000 --> 00:00:08.000]  問一個問題就是
[00:00:08.000 --> 00:00:10.000]  如果說到知道普羅的心情
[00:00:10.000 --> 00:00:12.000]  我上季查,知道普羅的心情
[00:00:12.000 --> 00:00:14.000]  知道普羅最愛甚麼教會
[00:00:14.000 --> 00:00:16.000]  試下問下大家
[00:00:16.000 --> 00:00:17.000]  如果你上過普羅的心情
[00:00:17.000 --> 00:00:20.000]  你認為普羅最愛甚麼教會
[00:00:20.000 --> 00:00:23.000]  有些人說普羅很愛彼得比教會
[00:00:23.000 --> 00:00:26.000]  因為彼得比教會裏面有很多喜樂
[00:00:26.000 --> 00:00:30.000]  有些人說普羅都很珍惜未去的羅馬教會
[00:00:30.000 --> 00:00:34.000]  因為一個很重要的城市是羅馬帝國的首都
[00:00:34.000 --> 00:00:38.000]  但有些人說可能普羅最愛的教會是伊弗所教會
[00:00:38.000 --> 00:00:41.000]  因為停留最長的時間,三年的時候
[00:00:41.000 --> 00:00:46.000]  提摩太前後書等等都是被伊弗所服侍的提摩太
[00:00:46.000 --> 00:00:48.000]  伊弗所教會都是普羅所愛
[00:00:48.000 --> 00:00:50.000]  但有些人另一個角度說
[00:00:50.000 --> 00:00:54.000]  可能普羅最愛的教會就是哥林多教會
[00:00:54.000 --> 00:00:58.000]  哥林多前後書加上上將
[00:00:58.000 --> 00:01:03.000]  有些人說你寫最長的信就愛那個
[00:01:03.000 --> 00:01:06.000]  拍拖的時候,有些特別姐妹問
[00:01:06.000 --> 00:01:08.000]  結了婚幾年後
[00:01:08.000 --> 00:01:11.000]  老公,拍拖前你又特意寫信給我
[00:01:11.000 --> 00:01:13.000]  又寫了很多電郵短信
[00:01:13.000 --> 00:01:16.000]  拍拖之後沒有照片,就算了
[00:01:16.000 --> 00:01:17.000]  都沒有了
[00:01:17.000 --> 00:01:20.000]  所以有時喜歡的時候
[00:01:20.000 --> 00:01:23.000]  有時其中一個特別就是寫了很多信
[00:01:23.000 --> 00:01:26.000]  寫信又說到愛很特別
[00:01:26.000 --> 00:01:28.000]  有時愛是用父母愛為例
[00:01:28.000 --> 00:01:31.000]  喜歡愛一個比較乖的子女
[00:01:31.000 --> 00:01:32.000]  有時父母很有趣
[00:01:32.000 --> 00:01:35.000]  有掛念一個浪子
[00:01:35.000 --> 00:01:37.000]  哥林多教會在普羅的生平裏面
[00:01:37.000 --> 00:01:39.000]  都是一個浪子的教會
[00:01:39.000 --> 00:01:41.000]  在艱難時候創立了教會
[00:01:41.000 --> 00:01:43.000]  但這個教會有很多困難
[00:01:43.000 --> 00:01:45.000]  普羅用很奇異的愛去愛這個教會
[00:01:45.000 --> 00:01:48.000]  亦將在哥林多前書的愛的真諦
[00:01:48.000 --> 00:01:49.000]  有很出名的內容
[00:01:49.000 --> 00:01:52.000]  所以今天我們就看哥林多前書這段經文
[00:01:52.000 --> 00:01:55.000]  我們一起讀這個標題
[00:01:55.000 --> 00:02:00.000]  「你們是神的教會嗎?你們是聖徒嗎?」
[00:02:00.000 --> 00:02:02.000]  即是普羅很愛哥林多教會
[00:02:02.000 --> 00:02:04.000]  但這班教會有很多困難
[00:02:04.000 --> 00:02:05.000]  很多成長的問題
[00:02:05.000 --> 00:02:08.000]  甚至是有跟普羅衝突的情況
[00:02:08.000 --> 00:02:09.000]  在這個環境裏面
[00:02:09.000 --> 00:02:11.000]  普羅在問這個教會
[00:02:11.000 --> 00:02:14.000]  要留下教會的定位和生命的定位
[00:02:14.000 --> 00:02:17.000]  「你們是神的教會嗎?你們是聖徒嗎?」
[00:02:17.000 --> 00:02:20.000]  這件事是我們每年跟教會
