
[00:00:00.000 --> 00:00:06.000]  這個世界有很多不同的國家
[00:00:06.000 --> 00:00:11.000]  不同的國家有不同的人
[00:00:11.000 --> 00:00:20.000]  你覺不覺得不同國家的人有什麼特徵呢
[00:00:20.000 --> 00:00:26.000]  我記得從前我去菲律賓短孫
[00:00:26.000 --> 00:00:30.000]  在一間快餐店裏面安排一個福音聚會
[00:00:30.000 --> 00:00:34.000]  在一個快餐店安排一個福音聚會
[00:00:34.000 --> 00:00:37.000]  時間約好下午十二點半
[00:00:37.000 --> 00:00:38.000]  不是十二點
[00:00:38.000 --> 00:00:40.000]  我們就約好了中午十二點
[00:00:40.000 --> 00:00:42.000]  那就到十一點九了
[00:00:42.000 --> 00:00:44.000]  到了十一點四十五分
[00:00:44.000 --> 00:00:47.000]  還沒到時間,不過一個人都沒有
[00:00:47.000 --> 00:00:49.000]  還沒到時間,可是一個人還沒到
[00:00:49.000 --> 00:00:50.000]  那等到十二點
[00:00:50.000 --> 00:00:52.000]  那我們就等到十二點
[00:00:52.000 --> 00:00:53.000]  一個人都沒有
[00:00:53.000 --> 00:00:55.000]  還是一個人都沒有
[00:00:55.000 --> 00:00:56.000]  難道我們寫錯時間
[00:00:56.000 --> 00:00:59.000]  那我就想是不是我們把時間寫錯了
[00:00:59.000 --> 00:01:00.000]  不是,時間寫對的
[00:01:00.000 --> 00:01:03.000]  我看沒有錯,時間是對的,十二點
[00:01:03.000 --> 00:01:06.000]  一個人都沒有,怎麼搞福音聚會
[00:01:06.000 --> 00:01:09.000]  那十二點到了,一個人還沒有來
[00:01:09.000 --> 00:01:11.000]  那怎麼樣去做福音的短孫呢
[00:01:11.000 --> 00:01:13.000]  足足等到十二點九
[00:01:13.000 --> 00:01:15.000]  我們一直等,等到十二點四十五分
[00:01:15.000 --> 00:01:17.000]  那來賓就一個一個地走進來
[00:01:17.000 --> 00:01:20.000]  那來賓就一個一個地散散來遲
[00:01:20.000 --> 00:01:23.000]  原來當地人叫這些做菲律賓時間
[00:01:23.000 --> 00:01:27.000]  當地人原來把這種現狀叫做菲律賓時間
[00:01:27.000 --> 00:01:29.000]  通常都遲半個鍾
[00:01:29.000 --> 00:01:32.000]  他們通常都會遲到半個小時的
[00:01:32.000 --> 00:01:33.000]  因爲知道大家都會遲
[00:01:33.000 --> 00:01:35.000]  從來都不會想那麼準時
[00:01:35.000 --> 00:01:37.000]  因爲他們知道彼此都會遲的
[00:01:37.000 --> 00:01:40.000]  所以他們從來都不會準時到的
[00:01:40.000 --> 00:01:42.000]  我記得我做工程師的時候
[00:01:42.000 --> 00:01:44.000]  我記得我做工程師的時候
[00:01:44.000 --> 00:01:47.000]  就要去一些東南亞國家出差
[00:01:47.000 --> 00:01:49.000]  我要到東南亞的國家去出差
[00:01:49.000 --> 00:01:53.000]  上班開會,很多時候開會都未必那麼準時
[00:01:53.000 --> 00:01:55.000]  那我上班吧,很多會議要參加
[00:01:55.000 --> 00:01:57.000]  那有時候很難是準時
[00:01:57.000 --> 00:02:00.000]  唯獨有一件事,當地人跟我說
[00:02:00.000 --> 00:02:05.000]  趙工程師當時叫我,你一定要準時
[00:02:05.000 --> 00:02:07.000]  當地人就跟我說,趙工程師
[00:02:07.000 --> 00:02:09.000]  有一樣事情你一定要準時到
[00:02:09.000 --> 00:02:12.000]  他還跟我說,其實你不單止要準時
[00:02:12.000 --> 00:02:14.000]  你最好要早到
[00:02:14.000 --> 00:02:16.000]  他們還說,你不單止要準時到
[00:02:16.000 --> 00:02:19.000]  可能最好還是早一點到,比較好
[00:02:19.000 --> 00:02:21.000]  我在想,是不是什麼會議那麼重要
[00:02:21.000 --> 00:02:22.000]  不要得罪老闆呢
[00:02:22.000 --> 00:02:25.000]  那我想是不是哪些會議是特別重要
[00:02:25.000 --> 00:02:27.000]  我不能得罪那些大老闆
[00:02:27.000 --> 00:02:29.000]  大家估不估到是什麼
[00:02:29.000 --> 00:02:31.000]  大家猜到是什麼嗎
[00:02:31.000 --> 00:02:33.000]  有人猜到,有人說喫飯,是
