
[00:00:00.000 --> 00:00:04.000]  今天我們還跟弟兄姐妹繼續來看
[00:00:04.000 --> 00:00:09.000]  十篇一百一十九篇
[00:00:09.000 --> 00:00:13.000]  我們今天要來思想的聖經
[00:00:13.000 --> 00:00:17.000]  是在一百五十三節
[00:00:17.000 --> 00:00:23.000]  到一百六十八節
[00:00:23.000 --> 00:00:29.000]  我們來看十篇一百一十九篇
[00:00:29.000 --> 00:00:40.000]  我們來看一百五十三節
[00:00:40.000 --> 00:00:45.000]  我們先把一百五十三節到一百六十節
[00:00:45.000 --> 00:00:49.000]  我們一起來讀一遍
[00:00:49.000 --> 00:00:51.000]  我們這一段是八節聖經
[00:00:51.000 --> 00:00:53.000]  這是一段
[00:00:53.000 --> 00:00:57.000]  我們來讀四篇一百一十九篇
[00:00:57.000 --> 00:01:04.000]  一百五十三節到一百六十節
[00:01:04.000 --> 00:01:06.000]  我翻到以後
[00:01:06.000 --> 00:01:10.000]  請我們一起來讀
[00:01:10.000 --> 00:01:12.000]  來一起來
[00:01:12.000 --> 00:01:15.000]  求禰照顧我的苦難
[00:01:15.000 --> 00:01:16.000]  答應我
[00:01:16.000 --> 00:01:19.000]  因我不妄計你的運法
[00:01:19.000 --> 00:01:21.000]  求禰爲我騙取
[00:01:21.000 --> 00:01:23.000]  救助我
[00:01:23.000 --> 00:01:26.000]  照禰的花向我救火
[00:01:26.000 --> 00:01:28.000]  救恩遠離惡人
[00:01:28.000 --> 00:01:32.000]  因爲他們不尋求禰的利益
[00:01:32.000 --> 00:01:33.000]  耶和華
[00:01:33.000 --> 00:01:35.000]  禰的慈悲非常地大
[00:01:35.000 --> 00:01:37.000]  求禰照禰的典章
[00:01:37.000 --> 00:01:40.000]  向我去救火
[00:01:40.000 --> 00:01:41.000]  禰過我的
[00:01:41.000 --> 00:01:43.000]  禰養我的很多
[00:01:43.000 --> 00:01:45.000]  我卻沒有偏離禰
[00:01:45.000 --> 00:01:47.000]  讓禰管顧我
[00:01:47.000 --> 00:01:49.000]  我看見天賜的人
[00:01:49.000 --> 00:01:51.000]  就是禰的母
[00:01:51.000 --> 00:01:54.000]  因爲他們不尊重禰的話
[00:01:54.000 --> 00:01:55.000]  禰看我
[00:01:55.000 --> 00:01:57.000]  只能愛禰的選詞
[00:01:57.000 --> 00:01:58.000]  耶和華
[00:01:58.000 --> 00:02:00.000]  求禰照禰的災難
[00:02:00.000 --> 00:02:02.000]  向我救火
[00:02:02.000 --> 00:02:04.000]  禰的話的主綱
[00:02:04.000 --> 00:02:05.000]  一生盛世
[00:02:05.000 --> 00:02:08.000]  禰一切公義的典章
[00:02:08.000 --> 00:02:10.000]  是永遠長存
[00:02:10.000 --> 00:02:12.000]  好我們就先讀這一段
[00:02:12.000 --> 00:02:15.000]  我們先來思想這一段的
[00:02:15.000 --> 00:02:17.000]  裏面的這個話語
[00:02:17.000 --> 00:02:19.000]  然後我們再來
[00:02:19.000 --> 00:02:22.000]  下一步就是要讀161節開始
[00:02:22.000 --> 00:02:25.000]  到168了
[00:02:25.000 --> 00:02:26.000]  這一段呢
[00:02:26.000 --> 00:02:29.000]  我們給他舉個題目是說
[00:02:29.000 --> 00:02:32.000]  在患難中經歷神的恩典
[00:02:32.000 --> 00:02:36.000]  在患難中經歷神的恩典
[00:02:36.000 --> 00:02:39.000]  那麼這一段呢
[00:02:39.000 --> 00:02:40.000]  大義呢
[00:02:40.000 --> 00:02:42.000]  就是先祖教
[00:02:42.000 --> 00:02:47.000]  師生教能夠求神看到他的苦難
[00:02:47.000 --> 00:02:49.000]  在153節
[00:02:49.000 --> 00:02:52.000]  然後下來154節呢
[00:02:52.000 --> 00:02:54.000]  他就求神拯救他
[00:02:54.000 --> 00:02:57.000]  154到155
[00:02:57.000 --> 00:02:59.000]  然後到156節呢
[00:02:59.000 --> 00:03:02.000]  就是爲什麼救他呢
[00:03:02.000 --> 00:03:06.000]  爲這個神是慈悲的緣故來救他
[00:03:06.000 --> 00:03:10.000]  然後到157到158
[00:03:10.000 --> 00:03:15.000]  就要求神看到有逼迫他的人
[00:03:15.000 --> 00:03:17.000]  159是講到
[00:03:17.000 --> 00:03:21.000]  他表示說我愛你的訓辭
[00:03:21.000 --> 00:03:23.000]  愛你的話語
