
[00:00:00.000 --> 00:00:05.880]  讀一節聖經 在以佛手書第二章第六節 我們一同來唸
[00:00:05.880 --> 00:00:11.320]  祂又叫我們與基督耶穌一同復活 一同坐在天上
[00:00:11.320 --> 00:00:12.360]  再唸一遍 來
[00:00:12.360 --> 00:00:18.280]  祂又叫我們與基督耶穌一同復活 一同坐在天上
[00:00:18.280 --> 00:00:21.000]  今天是今年第一個主日
[00:00:21.000 --> 00:00:24.640]  所以首先在這恭喜大家 新年非常非常快樂
[00:00:24.640 --> 00:00:27.080]  Amen Hallelujah
[00:00:27.080 --> 00:00:33.000]  回顧過去一年 我們真的是要感謝神帶領我們走過一個成長
[00:00:33.000 --> 00:00:36.760]  而且多劫國子的一年 不是嗎
[00:00:36.760 --> 00:00:39.520]  透過14天的醫治步道大會
[00:00:39.520 --> 00:00:42.640]  我們不但經歷人數上的成長
[00:00:42.640 --> 00:00:46.560]  我們也經歷在侍奉跟臨命的成長
[00:00:46.560 --> 00:00:49.840]  我就看到自從疫情之後
[00:00:49.840 --> 00:00:55.520]  神的手一直在我們教會當中做恢復跟更新的工作
[00:00:55.520 --> 00:00:59.160]  好像神一直在預備我們要帶領我們
[00:00:59.160 --> 00:01:04.440]  要進入一個更豐盛更榮耀的恩典當中
[00:01:04.440 --> 00:01:08.760]  所以去年當我們在思想到今年的主題的時候
[00:01:08.760 --> 00:01:12.440]  有一個意念立刻就進入我腦海當中了
[00:01:12.440 --> 00:01:16.360]  那就是提升 就是提升
[00:01:16.360 --> 00:01:18.080]  什麼是提升呢
[00:01:18.080 --> 00:01:21.360]  提升就是更上一層樓的意識
[00:01:21.360 --> 00:01:28.520]  換句話說 神要帶領我們進入下一個屬靈的高原當中
[00:01:28.520 --> 00:01:32.440]  上禮拜我有機會跟師母去了一趟香港
[00:01:32.440 --> 00:01:36.000]  在香港你就會發現到處都是高樓大廈
[00:01:36.000 --> 00:01:39.640]  你要住旅館的話 最好住高樓一點是比較好
[00:01:39.640 --> 00:01:44.440]  否則的話你每天打開窗戶看到就是四面牆壁
[00:01:44.440 --> 00:01:47.240]  你走在街道上 你走來走去
[00:01:47.240 --> 00:01:51.600]  到處都是髒亂 到處都是擁擠
[00:01:51.600 --> 00:01:57.120]  但如果說你住在高樓 住在高處的話就不一樣了
[00:01:57.120 --> 00:02:01.960]  那真是香港的美景盡在眼前了
[00:02:01.960 --> 00:02:06.040]  每天早上你一看叫你心曠神怡
[00:02:06.040 --> 00:02:10.880]  我就想到其實你要知道今天作為神的兒女
[00:02:10.880 --> 00:02:14.920]  我們在神的國度裡面也是照樣住在高處的
[00:02:14.920 --> 00:02:17.840]  剛才我們經文怎麼說
[00:02:17.840 --> 00:02:21.280]  神叫我們與基督一同復活 一同怎麼樣
[00:02:21.280 --> 00:02:24.520]  坐在哪裡 天上啊
[00:02:24.520 --> 00:02:28.360]  我們是住在高處的人
[00:02:28.360 --> 00:02:32.640]  哈利路亞 跟你們說你是坐在天上 跟祂說
[00:02:32.640 --> 00:02:37.200]  但很可惜我看見很多的基督徒明明是在天
[00:02:37.200 --> 00:02:40.680]  可是眼光卻是在地一樣
[00:02:40.680 --> 00:02:44.320]  事實上神今天的心意讓我們在地如天
[00:02:44.320 --> 00:02:46.640]  而不是在天如地
[00:02:46.640 --> 00:02:50.680]  這為什麼神要再次來提升我們的原因
[00:02:50.680 --> 00:02:53.760]  因為只有當我們被神提升的時候
[00:02:53.760 --> 00:02:57.800]  我們才能夠從神的眼光來看世界
[00:02:57.800 --> 00:03:00.400]  我們才能夠明白神的心意
[00:03:00.400 --> 00:03:05.360]  而且與神同工一同來完成神的計劃
[00:03:05.360 --> 00:03:07.560]  我們必須被提升
[00:03:07.560 --> 00:03:10.600]  我們才能在生活每一個領域裡面
[00:03:10.600 --> 00:03:13.600]  能夠經歷到擴展的恩典
[00:03:13.600 --> 00:03:20.040]  所以我相信在今年神要開始在我們中間來做提升的工作
[00:03:20.040 --> 00:03:22.240]  你說在哪些方面提升 三方面
[00:03:22.240 --> 00:03:26.320]  第一個 神要提升我們屬靈的視野
[00:03:26.320 --> 00:03:31.840]  跟你們說神要提升我們屬靈的視野
[00:03:31.840 --> 00:03:35.920]  什麼是視野 視野就是一種靈裡的看見
[00:03:35.920 --> 00:03:38.160]  看見實在太重要了
[00:03:38.160 --> 00:03:43.280]  因為你所看見的 是會影響你的生命的
[00:03:43.280 --> 00:03:44.880]  今天我看見很多神的兒女
[00:03:44.880 --> 00:03:48.400]  他們的眼目是被這個世界所蒙蔽
[00:03:48.400 --> 00:03:51.760]  看不見神的恩典 也看不見神的心意
[00:03:51.760 --> 00:03:57.440]  以至於也無法經歷到神所應許的得勝的生命
[00:03:57.440 --> 00:03:58.960]  很多時候我看見很多的基督徒
[00:03:58.960 --> 00:04:02.880]  他們的靈裡面是一種沉睡的光景裡面
[00:04:02.880 --> 00:04:05.080]  以至於枯竭
[00:04:05.080 --> 00:04:08.520]  但什麼時候如果他們看見了
[00:04:08.520 --> 00:04:12.760]  他們的靈就會活過來的 就會活過來的
[00:04:12.760 --> 00:04:14.040]  所以三方面 第一個
[00:04:14.040 --> 00:04:17.000]  你必須要看見才可能有信心
[00:04:17.000 --> 00:04:20.880]  跟你們說 你看見才有信心 跟他說
[00:04:20.880 --> 00:04:23.960]  西伯來書十一章第一節講得很清楚
[00:04:23.960 --> 00:04:26.440]  這裡說信就是所望之事的實
[00:04:26.440 --> 00:04:30.360]  你是未見之事的卻據
[00:04:30.360 --> 00:04:34.080]  信心就是一種屬靈的看見
[00:04:34.080 --> 00:04:36.440]  是靈裡的看見
[00:04:36.440 --> 00:04:37.680]  看見什麼
[00:04:37.680 --> 00:04:40.720]  不是只看見你現實的環境
[00:04:40.720 --> 00:04:43.040]  如果你只看見現實的環境
[00:04:43.040 --> 00:04:45.760]  會叫你心灰意冷的嗎
[00:04:45.760 --> 00:04:50.080]  而是要看見神的手正在工作
[00:04:50.080 --> 00:04:55.040]  是要看見神的旨意正在向前進
[00:04:55.040 --> 00:04:57.400]  在舊約時代你還記得先知以利沙
[00:04:57.400 --> 00:05:00.880]  有一次跟他的僕人住在多丹城
[00:05:00.880 --> 00:05:04.440]  當時亞藍王的軍隊正要進攻這個城市
[00:05:04.440 --> 00:05:07.080]  情況是非常的危急
[00:05:07.080 --> 00:05:10.720]  他的僕人清早起來就看見
[00:05:10.720 --> 00:05:14.200]  敵軍四面圍繞整個城市
[00:05:14.200 --> 00:05:16.080]  就非常的慌張
[00:05:16.080 --> 00:05:18.160]  他就回到以利沙那面前
[00:05:18.160 --> 00:05:23.000]  對以利沙說 唉哉啊 我們要滅亡了
[00:05:23.000 --> 00:05:24.160]  很有意思的是
[00:05:24.160 --> 00:05:28.680]  以利沙沒有立刻禱告呼求神來拯救
