
[00:00:00.000 --> 00:00:03.300]  當我遷就這個題目去預備的時候
[00:00:03.300 --> 00:00:05.300]  我就數一數
[00:00:05.300 --> 00:00:07.300]  過去這幾個月
[00:00:07.300 --> 00:00:12.700]  的確是相當多的名人離開世界
[00:00:12.700 --> 00:00:14.700]  如果你想一想
[00:00:14.700 --> 00:00:16.700]  在九月份的時候
[00:00:16.700 --> 00:00:22.700]  就有諾貝爾物理學獎的得主高坤博士
[00:00:22.700 --> 00:00:24.700]  去到十月
[00:00:24.700 --> 00:00:26.700]  名作家金庸
[00:00:26.700 --> 00:00:29.700]  地產商郭炳湘
[00:00:29.700 --> 00:00:34.200]  又有大家熟悉的電視演員藍潔英
[00:00:34.200 --> 00:00:36.200]  當然還有上星期
[00:00:36.200 --> 00:00:40.200]  我在《牧者心聲》裏面提過的不得生牧師
[00:00:40.200 --> 00:00:42.200]  未完喎
[00:00:42.200 --> 00:00:47.200]  十一月我們有電影大亨周文淮
[00:00:47.200 --> 00:00:51.200]  然後剛剛幾日之前
[00:00:51.200 --> 00:00:55.200]  就還有這個所謂政壇教父
[00:00:55.200 --> 00:00:57.200]  鍾士元爵士
[00:00:57.200 --> 00:01:00.200]  真的很多
[00:01:00.200 --> 00:01:02.200]  其實中國人有一句說話
[00:01:02.200 --> 00:01:04.200]  了知將死
[00:01:04.200 --> 00:01:06.200]  其哀
[00:01:06.200 --> 00:01:08.200]  其名也哀
[00:01:08.200 --> 00:01:10.200]  人知將死
[00:01:10.200 --> 00:01:12.200]  其言也善
[00:01:12.200 --> 00:01:16.200]  究竟這些名人
[00:01:16.200 --> 00:01:18.200]  當他離開世界之前
[00:01:18.200 --> 00:01:21.200]  他留下什麼說話呢
[00:01:21.200 --> 00:01:24.200]  報章就沒有什麼報導
[00:01:24.200 --> 00:01:26.200]  不過呢
[00:01:26.200 --> 00:01:28.200]  有一位
[00:01:28.200 --> 00:01:33.200]  任教在美國賓夕法尼亞州大學的
