
[00:00:00.000 --> 00:00:02.000]  領事們平安
[00:00:02.000 --> 00:00:07.000]  我們先祈禱領受上帝恩典去聽主的道
[00:00:07.000 --> 00:00:11.000]  篇幅正如詩班所獻上的詩歌
[00:00:11.000 --> 00:00:13.000]  這是我們的祈求
[00:00:13.000 --> 00:00:16.000]  求主幫助我們用純潔的心
[00:00:16.000 --> 00:00:18.000]  聽主的道
[00:00:18.000 --> 00:00:21.000]  進行你的聖潔的旨意
[00:00:21.000 --> 00:00:24.000]  跟隨行在我們前面的主
[00:00:24.000 --> 00:00:26.000]  直到永永遠遠
[00:00:26.000 --> 00:00:30.000]  祈禱奉耶穌的名給我們
[00:00:56.000 --> 00:00:59.000]  天父的世界叫我不可遺忘
[00:00:59.000 --> 00:01:00.000]  為什麼不要遺忘呢
[00:01:00.000 --> 00:01:02.000]  因為現實我們看到
[00:01:02.000 --> 00:01:05.000]  黑暗勢力是猖狂的
[00:01:05.000 --> 00:01:07.000]  要在黑暗勢力猖狂的裡面
[00:01:07.000 --> 00:01:11.000]  相信天父仍然作王
[00:01:11.000 --> 00:01:14.000]  要在心裡面確實有憂傷的當中
[00:01:14.000 --> 00:01:18.000]  相信天父會治理萬國萬方
[00:01:18.000 --> 00:01:20.000]  這是我們每一位信耶穌的人
[00:01:20.000 --> 00:01:22.000]  生命裡面的挑戰
[00:01:22.000 --> 00:01:26.000]  在你的香港生活的處境
[00:01:26.000 --> 00:01:28.000]  在我們每天看到的新聞
[00:01:28.000 --> 00:01:30.000]  看到發生的事情裡面
[00:01:30.000 --> 00:01:32.000]  你會發覺確實是
[00:01:32.000 --> 00:01:34.000]  從上到下
[00:01:34.000 --> 00:01:37.000]  你會看到有很多不正當的事情
[00:01:37.000 --> 00:01:39.000]  在當中發生
[00:01:39.000 --> 00:01:42.000]  很多事情嘗試為別人的惡
[00:01:42.000 --> 00:01:44.000]  去聞過是非
[00:01:44.000 --> 00:01:47.000]  明知道他在說謊
[00:01:47.000 --> 00:01:49.000]  但你又看到他在大搖大擺
[00:01:49.000 --> 00:01:52.000]  叫你相信我就可以了
[00:01:52.000 --> 00:01:53.000]  弟兄姊妹
[00:01:53.000 --> 00:01:55.000]  在這樣的處境裡面
[00:01:55.000 --> 00:01:59.000]  我們依然要相信天父仍然作王
[00:01:59.000 --> 00:02:00.000]  今天我們講的題目是
[00:02:00.000 --> 00:02:03.000]  末世的危險當中持守善道
[00:02:03.000 --> 00:02:06.000]  聖經其實幫我們去留心
[00:02:06.000 --> 00:02:09.000]  我們為什麼在末世裡面會站不住呢
[00:02:09.000 --> 00:02:13.000]  我們會因為我們去信了一些假的道理
[00:02:13.000 --> 00:02:16.000]  事實上無論是信了主的人
[00:02:16.000 --> 00:02:17.000]  或者未信主的人
[00:02:17.000 --> 00:02:19.000]  我們都可能受到一些假的道理
[00:02:19.000 --> 00:02:21.000]  去影響我們的生命
[00:02:21.000 --> 00:02:24.000]  受到假的道理去影響我們的生命
[00:02:24.000 --> 00:02:25.000]  有什麼表現
[00:02:25.000 --> 00:02:28.000]  有什麼背後的原因和結果
[00:02:28.000 --> 00:02:29.000]  會是怎麼樣呢
[00:02:29.000 --> 00:02:32.000]  這是第一方面我們會從經文裡面學習
[00:02:32.000 --> 00:02:36.000]  但我們不單止要留心這些假東西帶來的問題
[00:02:36.000 --> 00:02:38.000]  我們更加要知道真東西
[00:02:38.000 --> 00:02:39.000]  我們怎樣能夠得到
[00:02:39.000 --> 00:02:42.000]  我們怎樣能夠去學到
[00:02:42.000 --> 00:02:44.000]  上帝給我們真正的道
[00:02:44.000 --> 00:02:47.000]  另外其實聖經給我們一個很大的鼓勵
[00:02:47.000 --> 00:02:49.000]  保羅對提摩泰的鼓勵
[00:02:49.000 --> 00:02:51.000]  同樣地對我們的鼓勵就是
[00:02:51.000 --> 00:02:54.000]  我們要相信我們能夠去持守神的道
[00:02:54.000 --> 00:02:56.000]  我們打開這篇經文的時候
[00:02:56.000 --> 00:02:57.000]  首先大家會留心到
[00:02:57.000 --> 00:03:00.000]  聖經有一個很長的列表
[00:03:00.000 --> 00:03:03.000]  由第二到第五節裡面去形容
[00:03:03.000 --> 00:03:06.000]  在末後的艱難時期當中
[00:03:06.000 --> 00:03:09.000]  人那種罪惡的表現
[00:03:09.000 --> 00:03:11.000]  一開始就說人會尊愛自己
[00:03:11.000 --> 00:03:14.000]  心愛錢財 自誇高傲
[00:03:14.000 --> 00:03:17.000]  褻瀆活逆父母 忘恩負義等等
[00:03:17.000 --> 00:03:20.000]  直到第四第五節裡面說
[00:03:20.000 --> 00:03:23.000]  賣主賣友 容易衝動
[00:03:23.000 --> 00:03:27.000]  傲慢自大 愛享樂 過於愛神
[00:03:27.000 --> 00:03:32.000]  有敬填的形式卻否定了敬填的能力
[00:03:32.000 --> 00:03:36.000]  這個列表總共有多少項罪惡的表現
[00:03:36.000 --> 00:03:38.000]  總共有十九項
[00:03:38.000 --> 00:03:40.000]  在這十九項裡面
[00:03:40.000 --> 00:03:43.000]  第一到第十八項之間
[00:03:43.000 --> 00:03:46.000]  其實有一個互相呼應的關係
[00:03:46.000 --> 00:03:47.000]  第一二項說到
[00:03:47.000 --> 00:03:51.000]  人會尊愛自己和貪愛錢財
[00:03:51.000 --> 00:03:56.000]  他是lover of his own self和money
[00:03:56.000 --> 00:03:59.000]  他愛自己和愛錢財
[00:03:59.000 --> 00:04:00.000]  然後最後說到
