
[00:00:00.000 --> 00:00:04.000]  溪水流乾的河道
[00:00:04.000 --> 00:00:08.000]  等下聽下你就會知道是什麼意思
[00:00:08.000 --> 00:00:10.000]  我想先問大家
[00:00:10.000 --> 00:00:13.000]  看你們試過一些經歷沒有?
[00:00:13.000 --> 00:00:15.000]  就是當你去探病的時候
[00:00:15.000 --> 00:00:18.000]  卻是變成好像幫人家看病那樣
[00:00:18.000 --> 00:00:20.000]  那什麼意思?
[00:00:20.000 --> 00:00:22.000]  就是說你本來去探病
[00:00:22.000 --> 00:00:25.000]  原先的目的就是去安慰人
[00:00:25.000 --> 00:00:28.000]  誰知道說著說著就變成去診斷人的症
[00:00:28.000 --> 00:00:32.000]  人家怎樣去治嗎?
[00:00:32.000 --> 00:00:39.000]  結果就可能令到當事人覺得很討厭
[00:00:39.000 --> 00:00:42.000]  又或者你試過這樣沒有?
[00:00:42.000 --> 00:00:47.000]  當人家做錯事或者受了傷害的時候
[00:00:47.000 --> 00:00:51.000]  我們就不斷去追查他的原因
[00:00:51.000 --> 00:00:55.000]  卻是忘記了去安慰他
[00:00:55.000 --> 00:01:01.000]  這也令到對方很反感
[00:01:01.000 --> 00:01:04.000]  如果我們多了一點點都會
[00:01:04.000 --> 00:01:07.000]  如果我們都犯過這些錯誤的時候
[00:01:07.000 --> 00:01:13.000]  今天這張聖經可以幫助我們去改善
[00:01:13.000 --> 00:01:16.000]  讓我們怎樣懂得去安慰人
[00:01:16.000 --> 00:01:21.000]  或者做一個能夠安慰人的人
[00:01:21.000 --> 00:01:23.000]  其實這個我相信也很特別
[00:01:23.000 --> 00:01:25.000]  這一課或者整個約伯記也是
[00:01:25.000 --> 00:01:31.000]  其實是做輔導員的必上的一課
[00:01:31.000 --> 00:01:33.000]  當我看約伯記才知道原來
[00:01:33.000 --> 00:01:36.000]  如果你想做counselor 想做安慰人
[00:01:36.000 --> 00:01:39.000]  原來要看約伯記
[00:01:39.000 --> 00:01:41.000]  不單止輔導員要看
[00:01:41.000 --> 00:01:43.000]  每一個信徒都應該看
[00:01:43.000 --> 00:01:45.000]  就是每一個人都應該看
