
[00:00:00.000 --> 00:00:03.840]  跟大家思想的題目是「你是屬靈的人嗎?」
[00:00:03.840 --> 00:00:05.960]  保羅去到諾哥倫多前書
[00:00:05.960 --> 00:00:07.680]  其中一個挑戰就是
[00:00:07.680 --> 00:00:11.760]  讓諾哥倫多教會的信徒
[00:00:11.760 --> 00:00:15.160]  用屬靈的眼光看彼此的同心
[00:00:15.160 --> 00:00:18.840]  以及用屬靈的眼光看基督徒的生命
[00:00:18.840 --> 00:00:20.800]  在人生裏面其中一個挑戰
[00:00:20.800 --> 00:00:23.960]  是否我們用屬靈的眼光去看我們的人生
[00:00:23.960 --> 00:00:26.040]  今天的重點是講到
[00:00:26.040 --> 00:00:29.320]  我們是否明白以耶穌基督的思想
[00:00:29.320 --> 00:00:33.320]  以基督的心為心去看我們的人生
[00:00:33.320 --> 00:00:34.560]  今天我們再看上文
[00:00:34.560 --> 00:00:38.320]  所以看諾哥倫多前書第二章六到十六節
[00:00:38.320 --> 00:00:39.120]  我讀雙數節
[00:00:39.120 --> 00:00:41.200]  請大家記得讀單數節
[00:00:41.200 --> 00:00:43.720]  然而在完全的人中
[00:00:43.720 --> 00:00:45.640]  我們也講智慧
[00:00:45.640 --> 00:00:47.720]  但不是這世上的智慧
[00:00:47.720 --> 00:00:50.200]  也不是這世上有權有位
[00:00:50.200 --> 00:00:53.240]  將要敗亡之人的智慧
[00:01:00.320 --> 00:01:03.640]  這智慧世上有權有位的人
[00:01:03.640 --> 00:01:05.360]  沒有一個知道的
[00:01:05.360 --> 00:01:08.040]  他們若知道就不把榮耀的主
[00:01:08.040 --> 00:01:10.080]  釘在十字架上了
[00:01:10.080 --> 00:01:23.240]  只有神藉著聖靈向我們顯明了
[00:01:23.240 --> 00:01:25.320]  因為聖靈參透萬事
[00:01:25.320 --> 00:01:29.480]  就像神深奧的事也參透了
[00:01:29.480 --> 00:01:40.640]  我們所領受的並不是世上的靈
[00:01:40.640 --> 00:01:42.640]  乃是從神來的靈
[00:01:42.640 --> 00:01:46.840]  叫我們能知道神開恩賜給我們的事
[00:01:55.320 --> 00:01:59.320]  然而屬血氣的人不領會神聖靈的事
[00:01:59.320 --> 00:02:01.320]  反倒以為愚絕
[00:02:01.320 --> 00:02:02.600]  並且不能知道
[00:02:02.600 --> 00:02:06.280]  因為這才是唯有屬靈的人才能看透
[00:02:06.280 --> 00:02:15.320]  誰曾知道主的心去教導他呢?
[00:02:15.320 --> 00:02:18.120]  但我們是有基督的心了
[00:02:18.120 --> 00:02:20.240]  你看到神的聖靈
[00:02:20.240 --> 00:02:25.520]  本來特別一個對比就是世上的人的角度
[00:02:25.520 --> 00:02:28.240]  或者後來說屬血氣人的角度
[00:02:28.240 --> 00:02:32.120]  和一個屬靈的人的角度是很不同的角度
[00:02:32.120 --> 00:02:35.720]  屬靈的人的角度其中一個特色就是他有神的靈
[00:02:35.720 --> 00:02:38.520]  用神的角度、神的思想
[00:02:38.520 --> 00:02:42.520]  耶穌基督的心腸、耶穌的思想去看我們的人生
[00:02:42.520 --> 00:02:44.520]  其中本來特別強調到
[00:02:44.520 --> 00:02:46.520]  我們是一個有靈性的人
[00:02:46.520 --> 00:02:52.520]  其中本來特別強調到我們是有一個榮耀的將來
