
[00:00:00.000 --> 00:00:05.300]  新年,我們騎馬去舊營山,對不對?
[00:00:05.300 --> 00:00:07.300]  有什麼新的東西?
[00:00:07.300 --> 00:00:10.000]  你心裡有沒有想過一些新的東西?
[00:00:10.000 --> 00:00:16.300]  我們小時候會穿新衣服,或者買一些新的文具
[00:00:16.300 --> 00:00:19.300]  現在好像少了,現在還有沒有?
[00:00:19.300 --> 00:00:22.300]  你們有沒有為自己買一些新的東西?
[00:00:22.300 --> 00:00:24.300]  有多少人有?
[00:00:24.300 --> 00:00:27.300]  很少人舉手
[00:00:27.300 --> 00:00:34.300]  大家都抱著舊的東西,不捨得扔掉
[00:00:34.300 --> 00:00:37.300]  然後又不想買新的東西
[00:00:37.300 --> 00:00:41.300]  還是因為新年的氣氛越來越弱呢?
[00:00:41.300 --> 00:00:44.300]  今年的電競文很特別
[00:00:44.300 --> 00:00:46.300]  第十八節就說
[00:00:46.300 --> 00:00:51.300]  你們不要追念從前的事,也不要思想古時的事
[00:00:51.300 --> 00:00:57.300]  一開始就叫人不要想近時那麼多
[00:00:57.300 --> 00:01:00.300]  聖經裡面其實很少的
[00:01:00.300 --> 00:01:05.300]  一個耶和華,藉著這一刹才知道和以色列人所說的話
[00:01:05.300 --> 00:01:09.300]  你們不要追念從前的事,也不要思想古時的事
[00:01:09.300 --> 00:01:15.300]  追念的意思就是回想、追憶的意思
[00:01:15.300 --> 00:01:18.300]  追念從前的事,過去的事
[00:01:18.300 --> 00:01:21.300]  也不要思想古時的事
[00:01:21.300 --> 00:01:23.300]  「思想」這兩個字
[00:01:23.300 --> 00:01:28.300]  在原文希伯來文的意思就是重新去感受
[00:01:28.300 --> 00:01:31.300]  過去所發生的事
[00:01:31.300 --> 00:01:35.300]  我聽到什麼,我的耳朵、眼睛看到什麼
[00:01:35.300 --> 00:01:37.300]  全心去重新感受
[00:01:37.300 --> 00:01:40.300]  也在腦裡重新去分析、去思索
[00:01:40.300 --> 00:01:43.300]  究竟發生了什麼事
[00:01:43.300 --> 00:01:45.300]  為什麼會發生這樣的事
[00:01:45.300 --> 00:01:51.300]  是一個全民投入的專注在過去古時的事裡
[00:01:51.300 --> 00:01:52.300]  很特別
[00:01:52.300 --> 00:01:54.300]  耶和華、藉著以色列人
[00:01:54.300 --> 00:01:56.300]  你們不要再想
[00:01:56.300 --> 00:01:58.300]  想些什麼
[00:01:58.300 --> 00:02:01.300]  究竟耶和華要他們想些什麼
[00:02:01.300 --> 00:02:06.300]  我們揭開以賽亞書43章
[00:02:06.300 --> 00:02:08.300]  如果你有聖經的
[00:02:08.300 --> 00:02:12.300]  今天有多少人有大聖經,或者用你的電子聖經
[00:02:12.300 --> 00:02:15.300]  我想看一下,多不多
[00:02:15.300 --> 00:02:17.300]  OK,也有一部分
[00:02:17.300 --> 00:02:19.300]  有一部分我就讀部分經文
[00:02:19.300 --> 00:02:21.300]  因為今天也有很多聖經
[00:02:21.300 --> 00:02:25.300]  好,大家揭開以賽亞書43章
[00:02:25.300 --> 00:02:35.300]  第十八節
[00:02:35.300 --> 00:02:37.300]  講到你們必要追念從前的事
[00:02:37.300 --> 00:02:39.300]  必要思想古時的事
[00:02:39.300 --> 00:02:41.300]  我們看回前面
[00:02:41.300 --> 00:02:43.300]  第十五節開始
[00:02:43.300 --> 00:02:44.300]  十五、十六、十七
[00:02:44.300 --> 00:02:46.300]  之前那一堆字究竟在說什麼
[00:02:46.300 --> 00:02:48.300]  我是耶和華你們的聖者
[00:02:48.300 --> 00:02:50.300]  是創造以色列的
[00:02:50.300 --> 00:02:52.300]  是你們的君王
[00:02:52.300 --> 00:02:55.300]  耶和華在滄海中開道
[00:02:55.300 --> 00:02:57.300]  在大海中開路
[00:02:57.300 --> 00:03:01.300]  使車輛、馬匹、軍兵、勇士都出來
[00:03:01.300 --> 00:03:04.300]  一同躺下,不再起來
[00:03:04.300 --> 00:03:08.300]  他們滅沒好像熄滅的燈火
[00:03:08.300 --> 00:03:10.300]  究竟在說什麼
[00:03:10.300 --> 00:03:16.300]  耶和華神叫以色列人不要想什麼
[00:03:16.300 --> 00:03:19.300]  就是不要想他們出埃及的時候
[00:03:19.300 --> 00:03:21.300]  神怎樣帶領他們過紅海
[00:03:21.300 --> 00:03:26.300]  叫他們不要再想帶他們過紅海的時候
[00:03:26.300 --> 00:03:28.300]  神怎樣保護他們
[00:03:28.300 --> 00:03:30.300]  怎樣滅沒他們的仇敵
[00:03:30.300 --> 00:03:32.300]  埃及的軍兵
[00:03:32.300 --> 00:03:34.300]  過紅海的時候怎樣
[00:03:34.300 --> 00:03:36.300]  紅海兩邊,如同乾地
[00:03:36.300 --> 00:03:38.300]  他們中間走過
[00:03:38.300 --> 00:03:40.300]  埃及的追兵繼續追下來
[00:03:40.300 --> 00:03:43.300]  他們最後一個人踏上乾地的時候
[00:03:43.300 --> 00:03:46.300]  兩邊的水重新合在一起
[00:03:46.300 --> 00:03:48.300]  所有的軍兵全部
[00:03:48.300 --> 00:03:50.300]  他們的仇敵全部死了
[00:03:50.300 --> 00:03:52.300]  但是耶和華
[00:03:52.300 --> 00:03:53.300]  這個的恩典
[00:03:53.300 --> 00:03:55.300]  這個的救贖
[00:03:55.300 --> 00:03:57.300]  你們不要再想
[00:03:57.300 --> 00:03:59.300]  覺得奇怪嗎
[00:03:59.300 --> 00:04:01.300]  很奇怪
[00:04:01.300 --> 00:04:03.300]  因為在聖經裡
[00:04:03.300 --> 00:04:05.300]  你發覺在聖經
[00:04:05.300 --> 00:04:07.300]  特別是先知書和很多的經文
[00:04:07.300 --> 00:04:09.300]  都叫以色列人
[00:04:09.300 --> 00:04:11.300]  請你紀念上帝怎樣救贖你們
[00:04:11.300 --> 00:04:13.300]  怎樣保護你們
[00:04:13.300 --> 00:04:15.300]  怎樣帶領你們出埃及
[00:04:15.300 --> 00:04:17.300]  經常都說這些話
[00:04:17.300 --> 00:04:19.300]  就例如
[00:04:19.300 --> 00:04:21.300]  舉個例子
[00:04:21.300 --> 00:04:23.300]  在出埃及記
[00:04:23.300 --> 00:04:26.300]  當要在西乃山那裡
[00:04:26.300 --> 00:04:28.300]  頒十誡的時候
[00:04:28.300 --> 00:04:30.300]  很多時候人們以為
[00:04:30.300 --> 00:04:33.300]  頒十誡就告訴以色列人
[00:04:33.300 --> 00:04:36.300]  上帝的命令要他們怎樣做
[00:04:36.300 --> 00:04:38.300]  但頒十誡之前第一句
[00:04:38.300 --> 00:04:40.300]  我是耶和華你的神
[00:04:40.300 --> 00:04:44.300]  曾將你從埃及地慰勞之家領出來
[00:04:44.300 --> 00:04:46.300]  是先講恩典
[00:04:46.300 --> 00:04:48.300]  先講救贖
[00:04:48.300 --> 00:04:50.300]  再講
[00:04:50.300 --> 00:04:52.300]  上帝他的律法
[00:04:52.300 --> 00:04:54.300]  但是以色列人的傳統
[00:04:54.300 --> 00:04:57.300]  律法是上帝恩典
[00:04:57.300 --> 00:04:59.300]  其中一個很大的部分
[00:04:59.300 --> 00:05:01.300]  是上帝的禮物
[00:05:01.300 --> 00:05:03.300]  因為在他的旁邊
[00:05:03.300 --> 00:05:06.300]  你看看各國是沒有律法的
[00:05:06.300 --> 00:05:10.300]  但是在以色列
[00:05:10.300 --> 00:05:12.300]  很奇怪
[00:05:12.300 --> 00:05:14.300]  神叫他們
[00:05:14.300 --> 00:05:16.300]  不要再想
[00:05:16.300 --> 00:05:20.300]  以色列
[00:05:20.300 --> 00:05:23.300]  就是以色列先知在北國
[00:05:23.300 --> 00:05:25.300]  被亞述
[00:05:25.300 --> 00:05:27.300]  要攻打亡國的時候
[00:05:27.300 --> 00:05:30.300]  以色列先知預言南國猶大國
[00:05:30.300 --> 00:05:32.300]  同樣將要滅亡
[00:05:32.300 --> 00:05:34.300]  他們要被擄
[00:05:34.300 --> 00:05:37.300]  是一個這樣的處境
[00:05:37.300 --> 00:05:39.300]  在這樣的情況之下
[00:05:39.300 --> 00:05:42.300]  那群以色列人的屬靈的情況如何呢
[00:05:42.300 --> 00:05:43.300]  可能很悲哀
[00:05:43.300 --> 00:05:45.300]  也可能求神
[00:05:45.300 --> 00:05:46.300]  去赦罪
[00:05:46.300 --> 00:05:48.300]  回轉歸向神
[00:05:48.300 --> 00:05:50.300]  一個面臨國家
[00:05:50.300 --> 00:05:53.300]  快要被強國入侵的時候
[00:05:53.300 --> 00:05:57.300]  我們重新看以色列四十三章
[00:05:57.300 --> 00:05:58.300]  下文
[00:05:58.300 --> 00:06:00.300]  二十二到二十四節
[00:06:01.300 --> 00:06:03.300]  以色列人的屬靈情況如何呢
[00:06:03.300 --> 00:06:05.300]  亞國啊
[00:06:05.300 --> 00:06:07.300]  你並沒有求告我
[00:06:07.300 --> 00:06:09.300]  以色列啊
[00:06:09.300 --> 00:06:11.300]  你倒厭煩我
[00:06:11.300 --> 00:06:13.300]  你並沒有將你的羊
[00:06:13.300 --> 00:06:15.300]  帶來獻給我做飯祭
[00:06:15.300 --> 00:06:17.300]  也沒有用身畜
[00:06:17.300 --> 00:06:19.300]  尊敬我
[00:06:19.300 --> 00:06:21.300]  我未曾因
[00:06:21.300 --> 00:06:23.300]  掃祭使你操勞
[00:06:23.300 --> 00:06:26.300]  也沒有因雨香使你厭煩
[00:06:26.300 --> 00:06:28.300]  你沒有用銀子
[00:06:28.300 --> 00:06:30.300]  為我買香槍袍
[00:06:30.300 --> 00:06:32.300]  也沒有用祭物的油脂
[00:06:32.300 --> 00:06:34.300]  使我飽足
[00:06:34.300 --> 00:06:37.300]  倒使我因你的罪惡操勞
[00:06:37.300 --> 00:06:40.300]  使我因你的罪孽厭煩
[00:06:40.300 --> 00:06:42.300]  原來
[00:06:42.300 --> 00:06:44.300]  面對國家危難的時候
[00:06:44.300 --> 00:06:46.300]  一群的以色列人
[00:06:46.300 --> 00:06:49.300]  他們都不願意在耶和華面前
[00:06:49.300 --> 00:06:52.300]  獻上一個悔改的祭
[00:06:52.300 --> 00:06:55.300]  他們敬拜偶像
[00:06:55.300 --> 00:06:59.300]  他們不願意回到耶和華面前
[00:07:00.300 --> 00:07:02.300]  尋求神的寬恕
[00:07:02.300 --> 00:07:05.300]  所以以賽亞先知
[00:07:05.300 --> 00:07:08.300]  神藉著以賽亞先知
[00:07:08.300 --> 00:07:09.300]  跟以色列人說
[00:07:09.300 --> 00:07:11.300]  你們不要再回想恩典
[00:07:11.300 --> 00:07:13.300]  我在思考究竟
[00:07:13.300 --> 00:07:15.300]  發生了什麼事
[00:07:15.300 --> 00:07:16.300]  可能有兩個可能
[00:07:16.300 --> 00:07:18.300]  第一
[00:07:18.300 --> 00:07:20.300]  就是面對國難當前的時候
[00:07:20.300 --> 00:07:21.300]  當他們回想恩典
[00:07:21.300 --> 00:07:24.300]  當一群以色列人緬懷過去的時候
[00:07:24.300 --> 00:07:26.300]  覺得原來上帝
[00:07:26.300 --> 00:07:28.300]  那時候帶領我們過紅海
[00:07:28.300 --> 00:07:30.300]  做了那麼多事
[00:07:30.300 --> 00:07:31.300]  但現在國難當頭
[00:07:31.300 --> 00:07:33.300]  神啊你在哪裡
[00:07:33.300 --> 00:07:38.300]  那些已經是過去的恩典
[00:07:38.300 --> 00:07:39.300]  那些已經是過去的恩典
[00:07:39.300 --> 00:07:41.300]  那些已經是歷史上發生的事情
[00:07:41.300 --> 00:07:43.300]  不過今天神已經離開了我們
[00:07:43.300 --> 00:07:45.300]  所以
[00:07:45.300 --> 00:07:46.300]  心情抑鬱
