
[00:00:00.000 --> 00:00:02.060]  教會給了我一個題目
[00:00:02.060 --> 00:00:06.260]  就是講我們基督徒對金錢的態度
[00:00:06.260 --> 00:00:09.200]  特別是講一些人的失敗經歷
[00:00:09.200 --> 00:00:11.900]  我們要先講一講
[00:00:11.900 --> 00:00:14.300]  我們很喜歡錢
[00:00:14.300 --> 00:00:15.300]  我也很喜歡
[00:00:15.300 --> 00:00:16.500]  就是
[00:00:16.500 --> 00:00:18.900]  有人說一句話
[00:00:18.900 --> 00:00:21.100]  錢不是萬能
[00:00:21.100 --> 00:00:23.000]  但是沒有錢
[00:00:23.000 --> 00:00:25.000]  就萬萬不能
[00:00:25.000 --> 00:00:27.600]  這是很真實的
[00:00:27.800 --> 00:00:30.800]  聖經從來不是說錢是錯誤的
[00:00:30.800 --> 00:00:32.600]  我們不要去搞錯
[00:00:32.600 --> 00:00:34.600]  聖經就是一句話就是
[00:00:34.600 --> 00:00:37.100]  貪財乃萬惡之根
[00:00:37.100 --> 00:00:39.700]  有很多人因為貪戀錢財
[00:00:39.700 --> 00:00:42.200]  而將仇苦帶進去刺透
[00:00:42.200 --> 00:00:43.600]  很簡單舉個例子
[00:00:43.600 --> 00:00:46.500]  有些人可能是想賺多些錢
[00:00:46.500 --> 00:00:47.400]  去賭一賭
[00:00:47.400 --> 00:00:48.400]  去賭錢
[00:00:48.400 --> 00:00:50.000]  結果可能輸了
[00:00:50.000 --> 00:00:52.400]  要借錢帶來了很多的問題
[00:00:52.400 --> 00:00:54.500]  甚至中國人有一些說話
[00:00:54.500 --> 00:00:56.500]  我覺得要重新去估計
[00:00:57.100 --> 00:00:59.200]  一寸鋼音一寸金
[00:00:59.200 --> 00:01:03.400]  寸金難買寸鋼音是不是?
[00:01:03.400 --> 00:01:05.600]  其實某個程度是錯誤的
[00:01:05.600 --> 00:01:08.200]  你有錢是可以買到鋼音的
[00:01:08.200 --> 00:01:09.700]  最簡單舉個例子
[00:01:09.700 --> 00:01:12.300]  如果我在家裡來這裡
[00:01:12.300 --> 00:01:14.800]  我要坐巴士
[00:01:14.800 --> 00:01:16.000]  還要等一輪
[00:01:16.000 --> 00:01:17.400]  然後去到火車站
[00:01:17.400 --> 00:01:20.500]  火車站然後又要再轉兩輪火車
[00:01:20.500 --> 00:01:21.400]  才來到
[00:01:21.400 --> 00:01:22.800]  然後又要再有人接我
[00:01:22.800 --> 00:01:25.400]  當我是叫Uber
[00:01:26.200 --> 00:01:28.200]  或者請一個人來拿車
[00:01:28.200 --> 00:01:30.100]  從一定下來這裡的時候
[00:01:30.100 --> 00:01:32.000]  我想是快很多的是不是?
[00:01:32.000 --> 00:01:34.400]  那是不是有錢可以買到鋼音呢?
[00:01:34.400 --> 00:01:37.900]  所以有些東西我們都要重新去釐定的
[00:01:37.900 --> 00:01:40.500]  事實上有些例子
[00:01:40.500 --> 00:01:43.100]  給我看到一些人因為貪錢
[00:01:43.100 --> 00:01:44.700]  而引致很多的問題
[00:01:44.700 --> 00:01:48.600]  教會叫我講約書亞記的第七章
[00:01:48.600 --> 00:01:50.800]  但是我發覺那個焦點
[00:01:50.800 --> 00:01:52.700]  不要只是放在錢那裡
[00:01:52.700 --> 00:01:55.700]  我們先看一個背景
[00:01:55.700 --> 00:01:56.900]  那個背景是什麼呢?
[00:01:56.900 --> 00:02:00.800]  以色列人他們要進去加南地
