
[00:00:00.000 --> 00:00:02.500]  在這段經文裏
[00:00:02.500 --> 00:00:10.400]  保羅首先用一個農業耕種的比喻
[00:00:10.400 --> 00:00:19.800]  刻畫在九章五節裏提到有關樂而奉獻的重點
[00:00:19.800 --> 00:00:24.800]  他亦提到上帝讓他的百姓
[00:00:24.800 --> 00:00:30.000]  在各樣的事情上可以有富足
[00:00:30.000 --> 00:00:33.800]  因為這位神是一位很豐足的主
[00:00:33.800 --> 00:00:37.000]  讓他們可以慷慨來施捨
[00:00:37.000 --> 00:00:42.400]  藉此鼓勵讀者能夠慷慨去奉獻
[00:00:42.400 --> 00:00:47.600]  之後講出他盼望哥林多教會的弟兄姊妹
[00:00:47.600 --> 00:00:53.400]  能夠慷慨奉獻而產生美好的果效
[00:00:53.400 --> 00:01:00.000]  剛才我開始的時候講到子明的提醒
[00:01:00.000 --> 00:01:03.000]  看到聖靈的提醒
[00:01:03.000 --> 00:01:05.800]  萬事都是互相效力
[00:01:05.800 --> 00:01:11.000]  叫愛神的人得著益處
[00:01:11.000 --> 00:01:14.800]  在第七節提到
[00:01:14.800 --> 00:01:20.800]  樂而奉獻的人為神所喜愛的
[00:01:20.800 --> 00:01:25.000]  提到保羅很希望哥林多教會的弟兄姊妹
[00:01:25.000 --> 00:01:29.000]  他們的奉獻是出於樂意
[00:01:29.000 --> 00:01:31.200]  不是出於勉強
[00:01:31.200 --> 00:01:33.600]  他接著說少種的少收
[00:01:33.600 --> 00:01:37.800]  多種的多收
[00:01:37.800 --> 00:01:40.600]  這句說話是真的
[00:01:40.600 --> 00:01:45.600]  收成的數量往往是按著殺種的多少
[00:01:45.600 --> 00:01:47.400]  作為一個比例
[00:01:47.400 --> 00:01:54.200]  這裡的殺種和收成是比喻哥林多信徒他們捐獻上的行動
[00:01:54.200 --> 00:01:59.400]  他們怎樣來奉獻就有什麼收成
[00:01:59.400 --> 00:02:01.000]  保羅接著說
[00:02:01.000 --> 00:02:05.400]  他很希望看到他們能夠大量的奉獻
[00:02:05.400 --> 00:02:09.400]  以致他們奉足去收穫
[00:02:09.400 --> 00:02:15.200]  雖然保羅很希望看到哥林多人豐富的捐獻
[00:02:15.200 --> 00:02:20.400]  他仍然強調必須要甘心樂意奉獻
[00:02:20.400 --> 00:02:26.400]  不是出於有壓力勉強去奉獻
[00:02:26.400 --> 00:02:28.200]  不需要作難
[00:02:28.200 --> 00:02:29.600]  不需要勉強
[00:02:29.600 --> 00:02:31.400]  是按著能力
[00:02:31.400 --> 00:02:35.800]  按著他們的心意來獻上
[00:02:35.800 --> 00:02:37.600]  因為有壓力
[00:02:37.600 --> 00:02:45.400]  別人督促去奉獻其實也不是那麼甘心樂意
[00:02:45.400 --> 00:02:50.000]  這樣的奉獻未能達到的目的
[00:02:50.000 --> 00:02:54.000]  原來他們奉獻的目的
[00:02:54.000 --> 00:03:01.800]  就是哥林多教會相對於耶路撒冷教會是外邦人的教會
[00:03:01.800 --> 00:03:07.600]  就是這個外邦人的教會對於猶大地區有需要的猶太人
[00:03:07.600 --> 00:03:12.600]  就是指當日耶路撒冷教會他們的需要
[00:03:12.600 --> 00:03:19.600]  外邦人教會對耶路撒冷教會的關心
[00:03:19.600 --> 00:03:22.800]  為了強調甘心樂意的奉獻
[00:03:22.800 --> 00:03:24.400]  保羅說
[00:03:24.400 --> 00:03:28.600]  因為捐得樂意的人是上帝所喜愛的
[00:03:28.600 --> 00:03:33.200]  上帝要祝福快樂施與者
[00:03:33.200 --> 00:03:38.000]  因為聖經多處去強調
[00:03:38.000 --> 00:03:40.600]  施與是需要慷慨
[00:03:40.600 --> 00:03:45.200]  正如剛才《新命紀》有提到十五章
[00:03:45.200 --> 00:03:47.000]  第十至十一節
[00:03:47.000 --> 00:03:52.400]  就是鼓勵我們去幫助一些窮乏的肢體
[00:03:52.400 --> 00:03:58.400]  他說「你總要給他,給他的時候心裡不可受煩」
[00:03:58.400 --> 00:04:02.400]  恩堯說「你的神必在你這一切所行的
[00:04:02.400 --> 00:04:06.800]  並你所辦的事上賜福於你」
[00:04:06.800 --> 00:04:10.400]  「原來那地方的窮人永不斷絕」
[00:04:10.400 --> 00:04:12.600]  「所以我吩咐你說」
[00:04:12.600 --> 00:04:18.400]  「總要向你地上困苦窮乏的弟兄送開手」
[00:04:18.400 --> 00:04:23.000]  當然這裡的弟兄就是包括了子惠
[00:04:23.000 --> 00:04:26.200]  這個鼓勵我們去關懷
[00:04:26.200 --> 00:04:31.200]  貧窮肢體他們的需要
[00:04:31.200 --> 00:04:36.600]  為什麼上帝喜歡樂意施與的人呢?
[00:04:36.600 --> 00:04:43.800]  因為神的本相就是很樂意來施恩這位神
[00:04:43.800 --> 00:04:48.800]  他也盼望看到按著他形象做的人
