
[00:00:00.000 --> 00:00:04.480]  我們開始說天國比喻是兩個月之前的事
[00:00:04.480 --> 00:00:05.920]  今天是第三講
[00:00:05.920 --> 00:00:07.760]  都感謝神的
[00:00:07.760 --> 00:00:11.640]  因為今天第三講剛剛是完了一個階段
[00:00:11.640 --> 00:00:13.640]  完了第一個階段
[00:00:13.640 --> 00:00:18.400]  今天的比喻本身有它的解釋
[00:00:18.400 --> 00:00:19.680]  但是最後的時候
[00:00:19.680 --> 00:00:21.920]  我會將這三個比喻放在一起來解釋
[00:00:21.920 --> 00:00:23.960]  那你就會看到一幅大的圖畫
[00:00:23.960 --> 00:00:26.560]  這個也是我這兩年裡面
[00:00:26.560 --> 00:00:28.480]  很希望跟大家做的事情
[00:00:28.480 --> 00:00:32.960]  就是大家在神的話語上是紮根
[00:00:32.960 --> 00:00:34.800]  認識正確
[00:00:34.800 --> 00:00:36.880]  並且深入
[00:00:36.880 --> 00:00:39.040]  又是夠闊的
[00:00:39.040 --> 00:00:42.760]  那我希望我樓下的遺產
[00:00:42.760 --> 00:00:44.840]  就是其中一樣最重要就是這一點
[00:00:44.840 --> 00:00:49.840]  看看大家今天可以拿到多少屬靈的信息
[00:00:49.840 --> 00:00:51.280]  我們感謝神
[00:00:51.280 --> 00:00:52.720]  剛才讀了這段經文
[00:00:52.720 --> 00:00:54.960]  大家都知道我真的很喜歡
[00:00:54.960 --> 00:00:58.120]  就將一些不同顏色放在經文裡面
[00:00:58.120 --> 00:01:00.560]  來將一些重點突出來
[00:01:00.560 --> 00:01:04.520]  這個比喻很明顯就是介菜種的比喻
[00:01:04.520 --> 00:01:07.560]  我相信我們在當中沒有人見過介菜種
[00:01:07.560 --> 00:01:08.880]  因為我們都不是農夫
[00:01:08.880 --> 00:01:10.440]  我們是城市人
[00:01:10.440 --> 00:01:12.120]  但是介菜種很簡單的
[00:01:12.120 --> 00:01:16.880]  就是在這麼多種的種子裡面最小顆的
[00:01:16.880 --> 00:01:18.720]  有些小顆的我們未見過不知道的
[00:01:18.720 --> 00:01:20.240]  那你想像一下總是很小顆的
[00:01:20.240 --> 00:01:23.480]  可能好像一粒米那樣都不一定
[00:01:23.480 --> 00:01:25.520]  有人拿去田裡面種了
[00:01:25.520 --> 00:01:28.600]  那就是等到長起來
[00:01:28.600 --> 00:01:30.600]  是很奇怪的
[00:01:30.600 --> 00:01:32.800]  這麼小顆的介菜種
[00:01:32.800 --> 00:01:37.440]  卻長起來比各樣的菜都大
[00:01:37.440 --> 00:01:38.520]  不僅如此
[00:01:38.520 --> 00:01:40.320]  聖經形容得很仔細的
[00:01:40.320 --> 00:01:41.680]  扯成鳥樹
[00:01:41.680 --> 00:01:43.000]  接著看看這棵樹
[00:01:43.000 --> 00:01:44.320]  我都很有心機做的
[00:01:44.320 --> 00:01:45.640]  看到嗎
[00:01:45.640 --> 00:01:46.960]  那些飛鳥不是自己在那裡的
[00:01:46.960 --> 00:01:48.200]  是我逐隻加上去的
[00:01:48.200 --> 00:01:48.920]  我畫上去的
[00:01:48.920 --> 00:01:50.080]  不是畫上去
[00:01:50.080 --> 00:01:52.360]  我逐隻貼上去的
[00:01:52.360 --> 00:01:55.520]  「天上的飛鳥縮在他的肢上」
[00:01:55.520 --> 00:01:57.200]  這兩節經文很簡單
[00:01:57.200 --> 00:01:59.800]  但是裡面有很深刻的意思
[00:01:59.800 --> 00:02:02.600]  我們來看看
[00:02:02.600 --> 00:02:05.000]  我們來看看這個成語故事
[00:02:05.000 --> 00:02:07.080]  猜不猜得到
[00:02:07.080 --> 00:02:09.840]  盲都知道了 牧師
[00:02:09.840 --> 00:02:12.040]  是什麼
[00:02:12.040 --> 00:02:13.360]  你有沒有讀錯
[00:02:13.360 --> 00:02:14.880]  「額苗助長」
[00:02:14.880 --> 00:02:16.360]  人們常常說有懶音
[00:02:16.360 --> 00:02:19.120]  是「額苗助長」
[00:02:19.120 --> 00:02:22.080]  「比喻違反事物發展的客觀規律」
[00:02:22.080 --> 00:02:25.160]  「因為急於求成,反而壞事」
[00:02:25.160 --> 00:02:26.120]  是不是
[00:02:26.120 --> 00:02:28.120]  這個比喻我們大家都認識的
[00:02:28.120 --> 00:02:30.640]  但是其實我再想深一層
[00:02:30.640 --> 00:02:33.040]  其實這個比喻很大程度
[00:02:33.040 --> 00:02:35.720]  是因為現代人
[00:02:35.720 --> 00:02:37.240]  或者是古古時人都是一樣
[00:02:37.240 --> 00:02:38.800]  人類
[00:02:38.800 --> 00:02:40.760]  很希望
[00:02:40.760 --> 00:02:43.160]  是用最短或者超短
[00:02:43.160 --> 00:02:45.840]  或者是不合理短的時間
[00:02:45.840 --> 00:02:49.080]  獲得也是不合理最大的利益
[00:02:49.080 --> 00:02:51.920]  所以你才要「額苗助長」
[00:02:51.920 --> 00:02:53.600]  不然你任由牠自己生長
[00:02:53.600 --> 00:02:54.640]  你為什麼這麼心急
[00:02:54.640 --> 00:02:56.800]  你為什麼用旁門左道的方法
[00:02:56.800 --> 00:03:01.600]  令到牠是超越牠應該生長的規律
[00:03:01.600 --> 00:03:04.480]  以及超越牠應該生長的高度呢
[00:03:04.480 --> 00:03:05.880]  聽得明白我說什麼意思嗎
[00:03:05.880 --> 00:03:06.960]  OK
[00:03:06.960 --> 00:03:09.080]  所以其實這個「額苗助長」的問題
