
[00:00:00.000 --> 00:00:09.000]  我今天繼續的以《出埃及記》第四章跟大家來分享這個題目叫做「侍奉的闕句」
[00:00:09.000 --> 00:00:13.000]  剛才弟兄姊妹都有唸過這個聖經
[00:00:13.000 --> 00:00:16.000]  聖經的話語很多時候我們難以去接受
[00:00:16.000 --> 00:00:21.000]  是因為當中包含了一些人沒有辦法接受的事情
[00:00:21.000 --> 00:00:23.000]  比方說神疾
[00:00:23.000 --> 00:00:26.000]  比方說神對我們說話的時刻
[00:00:26.000 --> 00:00:32.000]  比方說神話語能夠觸摸我們改變我們的時刻
[00:00:32.000 --> 00:00:35.000]  然而在《出埃及記》第四章裡面特別的強調
[00:00:35.000 --> 00:00:37.000]  又再次的告訴我們
[00:00:37.000 --> 00:00:41.000]  這一位我們在心底中接受的父上帝
[00:00:41.000 --> 00:00:44.000]  仍然在今天裡面跟你說話
[00:00:44.000 --> 00:00:49.000]  這個是一個人類莫大的一個祝福
[00:00:49.000 --> 00:00:54.000]  竟然有一位高高在上這一位的天父
[00:00:54.000 --> 00:00:59.000]  不單止顯明了他在這個世界當中做公的原理
[00:00:59.000 --> 00:01:02.000]  幫助我們去欣賞他的奇妙
[00:01:02.000 --> 00:01:06.000]  並且在其中跟我們心靈中來說話
[00:01:06.000 --> 00:01:08.000]  何等奇妙的救恩
[00:01:08.000 --> 00:01:13.000]  能夠落在心房裡面就可以生長成為盼望
[00:01:13.000 --> 00:01:15.000]  這個是神所給我們的
[00:01:15.000 --> 00:01:20.000]  在今天跟大家來分享這個經文的之前
[00:01:20.000 --> 00:01:22.000]  我就稍微跟大家講一下
[00:01:22.000 --> 00:01:25.000]  在一節到十七節裡面
[00:01:25.000 --> 00:01:28.000]  其實是當中有三種的對話
[00:01:28.000 --> 00:01:32.000]  若是大家還記得
[00:01:32.000 --> 00:01:35.000]  閻華親自的向摩西來說話
[00:01:35.000 --> 00:01:39.000]  神的言語跟聲音
[00:01:39.000 --> 00:01:41.000]  除了他幼年的時候
[00:01:41.000 --> 00:01:47.000]  透過他的母親讓他稍微有體會以外
[00:01:47.000 --> 00:01:50.000]  在他的一生八十年的光景當中
[00:01:50.000 --> 00:01:54.000]  沒有一次是神直接向他說話
[00:01:54.000 --> 00:01:58.000]  然而這個俗靈中的意象帶來的
[00:01:58.000 --> 00:02:02.000]  我們很自然想到應該就是摩西甘心的順服
[00:02:02.000 --> 00:02:06.000]  結果我們看到的卻不是這樣子
[00:02:06.000 --> 00:02:12.000]  當神把意象沉重歷史性的意象交給我們的時候
[00:02:12.000 --> 00:02:16.000]  往往人都不願意去接受
[00:02:16.000 --> 00:02:20.000]  但是面對著神所給我們的差遣
[00:02:20.000 --> 00:02:23.000]  人可能在心意中有擺動
[00:02:23.000 --> 00:02:28.000]  但是神面對著我們需要所要領受的這個差遣
[00:02:28.000 --> 00:02:31.000]  卻不會旁觀
[00:02:31.000 --> 00:02:34.000]  他把我們生命中一個一個的疑問
[00:02:34.000 --> 00:02:36.000]  一個一個的來回答
[00:02:36.000 --> 00:02:41.000]  要我們能夠在神國度中能夠成為一個精明
[00:02:41.000 --> 00:02:48.000]  所以在今天我們看到摩西回應上帝的意象跟聲音的背後
[00:02:48.000 --> 00:02:51.000]  其實我們看到一個不改變的真理
[00:02:51.000 --> 00:02:56.000]  就是當神願意把使命交在你的身上
[00:02:56.000 --> 00:02:59.000]  神必然在當中也繼續的要你
[00:02:59.000 --> 00:03:03.000]  能夠完成這個使命跟意象
[00:03:03.000 --> 00:03:06.000]  迪奧穆迪是一個很出名的一個牧師
[00:03:06.000 --> 00:03:11.000]  他寫了一句很簡單的說話來描寫摩西的一生
