
[00:00:00.000 --> 00:00:02.560]  今天我們會講另外一個題目
[00:00:02.560 --> 00:00:06.160]  也是我們一直以來鼓勵匯點人去做的事情
[00:00:06.160 --> 00:00:08.640]  就是有一隻outreach的腳
[00:00:08.640 --> 00:00:10.000]  或者一雙腿
[00:00:10.000 --> 00:00:12.560]  要走到人羣當中
[00:00:12.560 --> 00:00:14.800]  將人帶到教會里面
[00:00:14.800 --> 00:00:16.880]  當我預備這個題目的時候
[00:00:16.880 --> 00:00:18.400]  我找到一個故事
[00:00:18.400 --> 00:00:21.200]  我相信可能真的會發生在教會當中
[00:00:21.200 --> 00:00:22.800]  這個故事是講什麼呢
[00:00:22.800 --> 00:00:26.480]  講到有一個教會有一個couple小組
[00:00:26.480 --> 00:00:31.360]  很長的時間都是五六個人聚會
[00:00:31.360 --> 00:00:35.440]  後來就來了一對年輕的夫婦
[00:00:35.440 --> 00:00:37.200]  很快就投入到這個小組當中
[00:00:37.200 --> 00:00:41.840]  而且就拾起了這個做小組領袖的工作
[00:00:41.840 --> 00:00:43.600]  在短短幾個月裏面
[00:00:43.600 --> 00:00:46.880]  這個小組本來一直很長時間都是
[00:00:46.880 --> 00:00:49.440]  here and there 來來去去
[00:00:49.440 --> 00:00:50.720]  五六個人聚會
[00:00:50.720 --> 00:00:54.880]  幾個月裏面竟然就變成有二十幾三十人聚會
[00:00:54.880 --> 00:00:59.520]  而且還有好幾個人缺自信耶穌
[00:00:59.520 --> 00:01:01.600]  應該是很開心快樂的事
[00:01:01.600 --> 00:01:03.600]  但是有時候教會也很特別
[00:01:03.600 --> 00:01:08.480]  就是那些人應該感謝着這個小組可能起飛了
[00:01:08.480 --> 00:01:10.640]  開始有人投訴了
[00:01:10.640 --> 00:01:12.080]  投訴什麼呢
[00:01:12.080 --> 00:01:14.800]  原來這個小組每次聚會的時候
[00:01:14.800 --> 00:01:15.760]  以前沒有的
[00:01:15.760 --> 00:01:19.600]  不過這對年輕夫婦來了之後就開始了
[00:01:19.600 --> 00:01:22.480]  每次聚會都會喫donut
[00:01:22.480 --> 00:01:24.240]  五六個人喫donutok
[00:01:24.240 --> 00:01:26.240]  二三個人喫donut
[00:01:26.240 --> 00:01:28.720]  而教會就有一個規矩
[00:01:28.720 --> 00:01:30.160]  教會有個規矩說
[00:01:30.160 --> 00:01:32.800]  不可以在聚會的地方喫東西
[00:01:32.800 --> 00:01:33.840]  ok
[00:01:33.840 --> 00:01:38.320]  於是教會的那個facility我相信
[00:01:38.320 --> 00:01:41.840]  那個場地管理小組諸如此類
[00:01:41.840 --> 00:01:43.040]  就和牧師投訴
[00:01:43.040 --> 00:01:45.280]  喂這幫人在這裏喫東西
[00:01:45.280 --> 00:01:46.480]  還要喫donut
[00:01:46.480 --> 00:01:47.760]  野蟻的
[00:01:47.760 --> 00:01:50.720]  教會是不可以讓人在聚會的地方喫東西的
[00:01:50.720 --> 00:01:53.120]  是不是很多教會都有這種情況出現呢
[00:01:53.120 --> 00:01:56.720]  不知道我們教會有沒有這種情況出現
[00:01:56.720 --> 00:01:57.840]  那怎麼辦呢
[00:01:57.840 --> 00:01:58.880]  我來到牧師投訴
[00:01:58.880 --> 00:02:03.360]  如果你是牧師你會怎麼做呢
[00:02:03.360 --> 00:02:04.320]  教會有這樣的規矩
[00:02:04.320 --> 00:02:06.960]  這幫人有這樣的做法
[00:02:06.960 --> 00:02:10.480]  牧師經過祈禱之後
[00:02:10.480 --> 00:02:12.800]  他就選擇找一個主人
[00:02:12.800 --> 00:02:14.320]  好像大家在聚會
[00:02:14.320 --> 00:02:15.840]  可能他教會不是很多人都沒訂過
[00:02:15.840 --> 00:02:16.960]  I don't know
[00:02:16.960 --> 00:02:18.320]  他崇拜的時候就說
[00:02:18.320 --> 00:02:19.520]  這個小組
[00:02:19.520 --> 00:02:21.120]  這對couple小組長
[00:02:21.120 --> 00:02:23.200]  我想問一下你們有人和我投訴
[00:02:23.200 --> 00:02:25.680]  他說你們每次聚會都喫donut
[00:02:25.680 --> 00:02:27.200]  真的假的
[00:02:27.200 --> 00:02:29.040]  是真的
[00:02:29.040 --> 00:02:30.080]  他就告訴我
[00:02:30.080 --> 00:02:32.320]  你剛剛來這個小組的時候
[00:02:32.320 --> 00:02:34.560]  有多少人蔘加你的小組聚會
[00:02:34.560 --> 00:02:36.320]  大概五六個
[00:02:36.320 --> 00:02:38.240]  現在有多少人聚會
[00:02:38.240 --> 00:02:41.120]  二十五到三十人左右
[00:02:41.120 --> 00:02:44.640]  哇你二十五三十個人在這個地方喫donut
[00:02:44.640 --> 00:02:45.680]  是啊
[00:02:45.680 --> 00:02:46.880]  每次都是這樣
[00:02:46.880 --> 00:02:48.320]  Yes
[00:02:48.320 --> 00:02:48.880]  好
[00:02:48.880 --> 00:02:50.400]  那你告訴我
[00:02:50.400 --> 00:02:51.520]  自從你來了之後
[00:02:51.520 --> 00:02:52.960]  這個小組裏面
[00:02:52.960 --> 00:02:55.200]  有多少人信耶穌
[00:02:55.200 --> 00:02:56.400]  牧師我不記得清楚了
[00:02:56.400 --> 00:02:58.400]  可能七八個吧
[00:02:58.400 --> 00:03:00.000]  應該不上下吧
[00:03:00.000 --> 00:03:01.120]  OK
[00:03:01.120 --> 00:03:03.760]  每次你們都喫這個donut
[00:03:03.760 --> 00:03:04.800]  你們又知道
[00:03:04.800 --> 00:03:07.760]  其實教會的policy是不讓他們喫東西的
[00:03:07.760 --> 00:03:10.080]  那應該怎麼做呢
[00:03:10.080 --> 00:03:10.800]  那就叫牧師
[00:03:10.800 --> 00:03:11.360]  OK
[00:03:11.360 --> 00:03:13.120]  現在請你招待
[00:03:13.120 --> 00:03:14.480]  把現金袋拿上來
[00:03:14.480 --> 00:03:15.440]  我不是真的
[00:03:15.440 --> 00:03:16.960]  講故事而已
[00:03:16.960 --> 00:03:18.080]  招待
[00:03:18.080 --> 00:03:21.200]  把你的現金袋全部拿上來
[00:03:21.200 --> 00:03:23.920]  然後當你的現金袋傳到你們那裏
[00:03:23.920 --> 00:03:25.520]  你們的手袋
[00:03:25.520 --> 00:03:26.080]  褲袋
[00:03:26.080 --> 00:03:27.040]  衣服袋裏面
[00:03:27.040 --> 00:03:28.160]  有什麼香口膠
[00:03:28.160 --> 00:03:29.280]  零食
[00:03:29.280 --> 00:03:32.560]  那些東西請你放進去
[00:03:32.560 --> 00:03:34.640]  於是現金袋就在那裏傳
[00:03:34.640 --> 00:03:36.560]  每個人就把手袋
