
[00:00:00.000 --> 00:00:02.000]  去了一趟日本
[00:00:02.000 --> 00:00:04.000]  有一天在日本的街上走著走著
[00:00:04.000 --> 00:00:07.000]  突然發現我是整條街上唯一的胖子
[00:00:07.000 --> 00:00:09.000]  你知道那種感覺是非常震撼的
[00:00:09.000 --> 00:00:12.000]  你會覺得 突然覺得很自卑 是吧
[00:00:12.000 --> 00:00:15.000]  日本人都很瘦 唯一的胖子
[00:00:15.000 --> 00:00:16.000]  這時候你就一直懷疑說
[00:00:16.000 --> 00:00:19.000]  身邊的人是不是都在用異樣的眼光看自己
[00:00:19.000 --> 00:00:22.000]  雖然我知道他們並沒有在看我
[00:00:22.000 --> 00:00:23.000]  但是因為自己心虛嘛
[00:00:23.000 --> 00:00:27.000]  就會覺得身邊的人都一直在笑自己
[00:00:27.000 --> 00:00:30.000]  又不是專業練相撲 幹嘛吃成這樣
[00:00:30.000 --> 00:00:33.000]  後來搞得自己就不好意思上街了
[00:00:33.000 --> 00:00:34.000]  在日本是這樣
[00:00:34.000 --> 00:00:35.000]  在美國就不會
[00:00:35.000 --> 00:00:36.000]  在美國就覺得走在街上
[00:00:36.000 --> 00:00:38.000]  反正我自己蠻苗條的 是吧
[00:00:38.000 --> 00:00:39.000]  還行 還行
[00:00:39.000 --> 00:00:41.000]  但是在日本就不行
[00:00:41.000 --> 00:00:43.000]  到了韓國就更慘
[00:00:43.000 --> 00:00:44.000]  這次我到韓國
[00:00:44.000 --> 00:00:48.000]  就真的是把我最後一點人生的自尊都拿掉了
[00:00:48.000 --> 00:00:49.000]  這很恐怖的
[00:00:49.000 --> 00:00:52.000]  到韓國因為也不知道
[00:00:52.000 --> 00:00:56.000]  不知道是不是韓國人都有東北人的
[00:00:56.000 --> 00:00:57.000]  有些血統嘛
[00:00:57.000 --> 00:01:00.000]  所以韓國的男生都非常高大
[00:01:00.000 --> 00:01:02.000]  而且都大長腿
[00:01:02.000 --> 00:01:04.000]  而且都喜歡穿吊腳褲
[00:01:04.000 --> 00:01:08.000]  然後就穿那種什麼不穿襪子的皮鞋
[00:01:08.000 --> 00:01:12.000]  看起來他們穿起來就真的很帥
[00:01:12.000 --> 00:01:14.000]  但是他穿起來像歐巴
[00:01:14.000 --> 00:01:15.000]  但是我不行的話
[00:01:15.000 --> 00:01:18.000]  然後我後來去了三天我就受不了了
[00:01:18.000 --> 00:01:20.000]  我說我也得試試吊腳褲
[00:01:20.000 --> 00:01:22.000]  那我就把褲腳捲起來
[00:01:22.000 --> 00:01:24.000]  發現感覺完全不一樣
[00:01:24.000 --> 00:01:26.000]  韓國的男生穿吊腳褲
[00:01:26.000 --> 00:01:27.000]  看起來像歐巴
[00:01:27.000 --> 00:01:31.000]  我穿起來感覺像夏天插秧似的
[00:01:31.000 --> 00:01:36.000]  後來我發現我腿的長度是不能夠穿吊腳褲的
[00:01:36.000 --> 00:01:37.000]  褲頭往上一捲
[00:01:37.000 --> 00:01:38.000]  直接到膝蓋
[00:01:38.000 --> 00:01:40.000]  發生什麼事情
[00:01:40.000 --> 00:01:42.000]  所以是不行的
[00:01:42.000 --> 00:01:44.000]  但是到了馬爾代夫
[00:01:44.000 --> 00:01:46.000]  整個畫面就變了
[00:01:46.000 --> 00:01:47.000]  你知道到了馬爾代夫
[00:01:47.000 --> 00:01:50.000]  像我這種不是走偶像路線的
[00:01:50.000 --> 00:01:51.000]  走在街上走著走著
[00:01:51.000 --> 00:01:53.000]  都會覺得我自己蠻帥的
[00:01:53.000 --> 00:01:56.000]  因為當地的土著我覺得都蠻土癟的
[00:01:56.000 --> 00:01:58.000]  自己覺得就很自大
[00:01:58.000 --> 00:02:00.000]  雖然他們覺得自己很帥
[00:02:00.000 --> 00:02:01.000]  即使到了馬爾代夫
[00:02:01.000 --> 00:02:02.000]  他們都覺得
[00:02:02.000 --> 00:02:04.000]  本地人覺得自己很帥
[00:02:04.000 --> 00:02:06.000]  他們都是喜歡成群結隊的
[00:02:06.000 --> 00:02:09.000]  騎著小綿羊在海邊飛奔
[00:02:09.000 --> 00:02:11.000]  經過你的時候還逼你一下
[00:02:11.000 --> 00:02:13.000]  還轉個頭這樣看你一下
[00:02:13.000 --> 00:02:15.000]  他很有自信覺得我很帥
[00:02:15.000 --> 00:02:16.000]  但是我就覺得很奇怪
[00:02:16.000 --> 00:02:17.000]  騎個小綿羊
[00:02:17.000 --> 00:02:20.000]  而且迎風吹的那頭不會動的頭髮
[00:02:20.000 --> 00:02:22.000]  我留意到當地很奇怪
[00:02:22.000 --> 00:02:24.000]  就是他們在吹海風的時候頭髮不會動
[00:02:24.000 --> 00:02:26.000]  頭髮很長但是不會動
