
[00:00:00.000 --> 00:00:04.720]  我給他一個主題叫「福音的延續」
[00:00:04.720 --> 00:00:09.960]  經文在《路加福音》二章十至十一、十七至十八
[00:00:09.960 --> 00:00:13.200]  《南華書》還有一些經文
[00:00:13.200 --> 00:00:19.520]  《路加福音》二章那四節的經文
[00:00:19.520 --> 00:00:26.200]  我想我在過去那五個星期到六個星期
[00:00:26.200 --> 00:00:33.480]  只聽港獨講了三次 不同的教會 不同的講員
[00:00:33.480 --> 00:00:38.600]  我在香港已經聽過 香港又是講《路加福音》
[00:00:38.600 --> 00:00:41.560]  然後回來這裡 我們又請了一個外來講員
[00:00:41.560 --> 00:00:45.200]  在我們退休社區團契那裡講信息
[00:00:45.200 --> 00:00:47.840]  他又是講同樣的經文
[00:00:47.840 --> 00:00:53.640]  上次李牧師基德也提到這些是經文
[00:00:53.640 --> 00:00:58.560]  連續聽了很多次
[00:00:58.560 --> 00:01:05.240]  還有差不多每次聖誕節經文都會出來
[00:01:05.240 --> 00:01:08.880]  這些經文是不是這麼重要呢?
[00:01:08.880 --> 00:01:11.040]  那麼多人講過 那我講什麼呢?
[00:01:11.040 --> 00:01:15.440]  你試聽幾次可能是
[00:01:15.440 --> 00:01:19.840]  很重要 這個經文是很重要的
[00:01:19.840 --> 00:01:23.680]  為什麼呢?
[00:01:23.680 --> 00:01:27.240]  我們看一看這幾節經文
[00:01:27.240 --> 00:01:30.960]  你們看 我讀出來
[00:01:30.960 --> 00:01:32.760]  在《路加福音》第二章第十節開始
[00:01:32.760 --> 00:01:37.040]  「那天是對他們說 不要懼怕
[00:01:37.040 --> 00:01:44.080]  我報給你們 大喜的盛事是關乎萬民的」
[00:01:44.080 --> 00:01:47.400]  第十一節 「因今天在大衛的城裡
[00:01:47.400 --> 00:01:51.200]  為你們生了救主 就是主基督」
[00:01:51.200 --> 00:01:53.240]  接著跳到第十七節
[00:01:53.240 --> 00:01:58.640]  「既然看見 就把天使論者孩子的話傳開了
[00:01:58.640 --> 00:02:06.600]  凡聽見的 就察以目揚之人對他們所說的話」
[00:02:06.600 --> 00:02:09.120]  《羅馬書》十章十四節
[00:02:09.120 --> 00:02:12.920]  「然而人未曾信他 怎能求他呢?
[00:02:12.920 --> 00:02:15.920]  未曾聽見他 怎能信他呢?
[00:02:15.920 --> 00:02:19.160]  沒有傳道的 怎能聽見呢?
[00:02:19.160 --> 00:02:23.520]  若沒有奉差遣 怎能傳道呢?
[00:02:23.520 --> 00:02:26.680]  如經上所記 報福音傳喜訊的人
[00:02:26.680 --> 00:02:30.440]  他們的腳踭何等皆微」
