
[00:00:00.000 --> 00:00:01.440]  鄒同志 我也很感謝你
[00:00:01.440 --> 00:00:04.480]  感謝你給我們今天有這個時間來敬拜你
[00:00:04.480 --> 00:00:06.760]  我們也再次為此事感恩
[00:00:06.760 --> 00:00:08.080]  你也知道在這個世界上
[00:00:08.080 --> 00:00:13.120]  不是那麼多人能夠有這個自由敬拜
[00:00:13.120 --> 00:00:15.000]  我們也在這件事上感恩
[00:00:15.000 --> 00:00:17.560]  也很感謝你給我們有這個機會
[00:00:17.560 --> 00:00:20.960]  在你的話語當中得著兩方的提醒
[00:00:20.960 --> 00:00:24.080]  在這個時間 無論是在會中還是下節頭
[00:00:24.080 --> 00:00:24.920]  你都在引導
[00:00:24.920 --> 00:00:27.960]  我們在這個經歷當中得著你的說話提醒
[00:00:27.960 --> 00:00:33.160]  使我們在往後的日子能夠更加準確地跟隨你
[00:00:33.160 --> 00:00:35.280]  我們期待同志的屬基督的祈求
[00:00:35.280 --> 00:00:36.800]  感恩
[00:00:36.800 --> 00:00:38.400]  在2014年的時候
[00:00:38.400 --> 00:00:42.800]  美國的一個基督教大學就曾經有一段新聞出現過
[00:00:42.800 --> 00:00:48.040]  在2014年在美國的一個基督教大學有一個新聞出現
[00:00:48.040 --> 00:00:51.680]  這個事件是關乎這個基督教大學
[00:00:51.680 --> 00:00:54.240]  它所委派一個獨立機構
[00:00:54.240 --> 00:00:59.160]  就是發表了一個長達300頁的一個報告
[00:00:59.160 --> 00:01:02.200]  就是這個大學的委托一個機構
[00:01:02.200 --> 00:01:04.640]  發表了一個很長的三倍的報告
[00:01:04.640 --> 00:01:06.280]  這個報告是什麼呢
[00:01:06.280 --> 00:01:09.480]  就是在過去那兩年裏面
[00:01:09.480 --> 00:01:11.360]  他們用了這個時間
[00:01:11.360 --> 00:01:14.880]  是去看回過去二三十年裏面
[00:01:14.880 --> 00:01:22.360]  這一間大學它去處理受到性侵犯的學生的一些報告
[00:01:22.360 --> 00:01:24.240]  怎樣去處理這些事的報告
[00:01:24.240 --> 00:01:29.840]  這個報告是花了兩年時間去尋找過去三十多年
[00:01:29.840 --> 00:01:34.440]  曾經受到性騷擾的處理的一個報告
[00:01:34.440 --> 00:01:39.560]  報告裏面指出這個大學有很多處理這些性侵犯的投訴
[00:01:39.560 --> 00:01:42.880]  或者援助的一些不恰當的地方
[00:01:42.880 --> 00:01:46.000]  這個報告指出在大學裏面
[00:01:46.000 --> 00:01:51.640]  在處理這個性侵犯不適當的地方
[00:01:51.640 --> 00:01:55.440]  這間基督教的大學的輔導員
[00:01:55.440 --> 00:02:04.320]  在受助者和輔導員接受查詢的過程裏面發現了一些東西
[00:02:04.320 --> 00:02:09.000]  在輔導員或者受害者進行查詢的時候
[00:02:09.000 --> 00:02:10.160]  發生了一些事情
[00:02:10.160 --> 00:02:14.800]  這些輔導員他們是嘗試去阻止這些學生
[00:02:14.800 --> 00:02:18.080]  是將這件事情報警方處理
[00:02:18.080 --> 00:02:24.840]  就是說輔導員通常被阻止學生受害者去報警方式處理
[00:02:24.840 --> 00:02:27.560]  即是大學裏面關上門自己處理
[00:02:27.560 --> 00:02:30.120]  就大學裏面自己把門關上
[00:02:30.120 --> 00:02:32.800]  我們自己內部把這件事情處理好就行了
[00:02:32.800 --> 00:02:37.240]  另外就是這些報告裏面提及
[00:02:37.240 --> 00:02:43.320]  他們這些輔導員用些什麽理由去叫他們不要報警呢
[00:02:43.320 --> 00:02:47.080]  就是說輔導員用什麽理由讓這些學生們不去報警呢
[00:02:47.080 --> 00:02:50.200]  他們說這樣報警法如果宣揚出去
[00:02:50.200 --> 00:02:52.760]  會損毀了基督的名聲
[00:02:52.760 --> 00:02:56.040]  因為這樣報告出去會損害基督的名聲
[00:02:56.040 --> 00:02:57.880]  如果這樣報警法
[00:02:57.880 --> 00:03:02.600]  這些侵犯者 即性侵犯者
[00:03:02.600 --> 00:03:05.240]  他們等於送了他們去地獄一樣
[00:03:05.240 --> 00:03:07.920]  如果說你這樣報告這個性侵犯者
[00:03:07.920 --> 00:03:11.360]  就如同把他送進了地獄
[00:03:11.360 --> 00:03:15.400]  這些被告是沒有好日子過
[00:03:15.400 --> 00:03:17.840]  這被告從此就沒有好日子過了
[00:03:17.840 --> 00:03:21.000]  輔導員也跟著說 要求這些學生
[00:03:21.000 --> 00:03:24.200]  不要為了這些過去的事繼續執著
[00:03:24.200 --> 00:03:30.480]  應該繼續向前走
[00:03:30.480 --> 00:03:33.360]  將這些性侵犯的事拋諸腦後
[00:03:33.360 --> 00:03:36.040]  應該向前走 向前看
[00:03:36.040 --> 00:03:38.760]  把這不愉快的事情拋諸腦後
[00:03:38.760 --> 00:03:44.160]  報告出來之後也吸引了很多傳媒的報告
[00:03:44.160 --> 00:03:47.640]  報告出來之後也吸引了很多傳媒的注意
[00:03:47.640 --> 00:03:52.960]  以上我剛才說的其實是根據紐約時報的報告技術
[00:03:52.960 --> 00:03:57.040]  我剛才說的這些是根據紐約時報的內容
[00:03:57.040 --> 00:04:02.840]  也因此驚動了警方插手調查
