
[00:00:00.000 --> 00:00:04.540]  上星期我們開始看摩西的信心
[00:00:04.540 --> 00:00:08.220]  希望大家都記得摩西的人生故事
[00:00:08.220 --> 00:00:12.420]  他在前四十年在埃及皇宮長大
[00:00:12.420 --> 00:00:15.220]  然後由於殺了一個埃及人
[00:00:15.220 --> 00:00:18.820]  他就要逃亡到曠野的地方
[00:00:18.820 --> 00:00:21.340]  即是人煙稀少的地方
[00:00:21.340 --> 00:00:23.340]  成為牧羊人
[00:00:23.340 --> 00:00:26.080]  當他八十歲的時候
[00:00:26.080 --> 00:00:27.780]  上帝就呼召他
[00:00:27.780 --> 00:00:30.380]  要他做領袖去見埃及王
[00:00:30.380 --> 00:00:34.380]  要求埃及王讓以色列人走三天的路
[00:00:34.380 --> 00:00:36.680]  去到曠野敬拜上帝
[00:00:36.680 --> 00:00:42.480]  八十歲的摩西早就已經沒有了雄心壯志了
[00:00:42.480 --> 00:00:46.780]  於是用了四個問題企圖說服上帝
[00:00:46.780 --> 00:00:50.480]  想上帝知道他選錯人了
[00:00:50.480 --> 00:00:52.980]  希望上帝另選言論
[00:00:52.980 --> 00:00:56.980]  但是上帝卻堅持要摩西去做
[00:00:57.380 --> 00:01:00.980]  不過其實上帝也對摩西有些讓步
[00:01:00.980 --> 00:01:03.380]  例如摩西提到
[00:01:03.380 --> 00:01:06.080]  以色列人會要求證據的
[00:01:06.080 --> 00:01:08.580]  上帝就給他
[00:01:08.580 --> 00:01:12.380]  可以走三個神蹟的能力
[00:01:12.380 --> 00:01:13.980]  作為證據
[00:01:13.980 --> 00:01:16.580]  當摩西堅持說
[00:01:16.580 --> 00:01:18.580]  我又沒有口才
[00:01:18.580 --> 00:01:23.180]  上主就委派了他哥哥來做他的代言人
[00:01:23.980 --> 00:01:28.680]  上星期我們也看過摩西見埃及王的時候
[00:01:28.680 --> 00:01:31.680]  真是正如摩西所料
[00:01:31.680 --> 00:01:35.780]  埃及王不但看不起摩西
[00:01:35.780 --> 00:01:38.780]  甚至看不起摩西所說的上帝
[00:01:38.780 --> 00:01:40.480]  他對摩西說
[00:01:40.480 --> 00:01:42.480]  上主是誰?
[00:01:42.480 --> 00:01:43.980]  我何必聽他呢?
[00:01:43.980 --> 00:01:46.680]  我為什麼要放以色列人走?
[00:01:46.680 --> 00:01:49.480]  我不認識他,我不放以色列人走
[00:01:49.480 --> 00:01:52.280]  埃及王甚至認為
[00:01:52.280 --> 00:01:56.280]  以色列人太空閒
[00:01:56.280 --> 00:01:57.780]  工作不夠多
[00:01:57.780 --> 00:02:00.780]  才會要求讓他們放假
[00:02:00.780 --> 00:02:02.780]  去敬拜上帝
[00:02:02.780 --> 00:02:04.280]  於是
[00:02:04.280 --> 00:02:07.980]  埃及王下令要加添他們的工作壓力
[00:02:07.980 --> 00:02:11.280]  要他們自己去找那些做專用的草
[00:02:11.280 --> 00:02:14.780]  並且要他們生產
[00:02:14.780 --> 00:02:18.080]  跟以前有草供應給他們的時候
[00:02:18.080 --> 00:02:21.080]  同樣的數量的磚塊
[00:02:22.280 --> 00:02:24.280]  以色列人覺得很慘
[00:02:24.280 --> 00:02:26.780]  他們就埋怨摩西
[00:02:26.780 --> 00:02:28.780]  摩西就去問上帝
[00:02:28.780 --> 00:02:31.280]  為什麼?為什麼?
[00:02:31.280 --> 00:02:33.280]  聖經記載
[00:02:33.280 --> 00:02:34.780]  上主回答摩西
[00:02:34.780 --> 00:02:36.780]  給他的原因是
[00:02:36.780 --> 00:02:40.280]  你就要看見我怎樣對付埃及王了
[00:02:40.280 --> 00:02:43.280]  我要逼他放我的子民走
[00:02:43.280 --> 00:02:45.280]  我要逼得他
[00:02:45.280 --> 00:02:49.280]  不得不把他們趕出國境
[00:02:49.280 --> 00:02:52.280]  從這裡的記載我們知道
[00:02:52.280 --> 00:02:56.280]  上主要以色列人受更大的苦
[00:02:56.280 --> 00:02:58.280]  就是要找一個理由
[00:02:58.280 --> 00:03:00.280]  來對付埃及王
[00:03:00.280 --> 00:03:02.280]  此外他說我要逼他
[00:03:02.280 --> 00:03:05.280]  就說了兩次
[00:03:05.280 --> 00:03:07.280]  這裡的逼
[00:03:07.280 --> 00:03:10.280]  這兩次的逼有沒有分別呢?
[00:03:10.280 --> 00:03:12.280]  假如我們深入思想的話
[00:03:12.280 --> 00:03:14.280]  這兩句話不是重複的
[00:03:14.280 --> 00:03:17.280]  第一個逼是
[00:03:17.280 --> 00:03:19.280]  要放以色列人走
[00:03:19.280 --> 00:03:24.280]  所有自願肯走的以色列人都可以走
[00:03:24.280 --> 00:03:27.280]  第二個逼是要埃及王
[00:03:27.280 --> 00:03:30.280]  趕以色列人出境
[00:03:30.280 --> 00:03:35.280]  只要你是一個以色列人
[00:03:35.280 --> 00:03:38.280]  你想不走都不行
[00:03:38.280 --> 00:03:40.280]  埃及人要趕他走
[00:03:40.280 --> 00:03:42.280]  一定要走
[00:03:42.280 --> 00:03:45.280]  結果上主就用了十個神蹟
[00:03:45.280 --> 00:03:48.280]  來懲罰埃及王
[00:03:48.280 --> 00:03:50.280]  我們不說那些神蹟了
[00:03:50.280 --> 00:03:53.280]  如果你很有興趣想知道那些神蹟的詳細過程
[00:03:53.280 --> 00:03:56.280]  請大家自己回家看出埃及記
[00:03:56.280 --> 00:03:59.280]  十個神蹟的最後一個
