
[00:00:00.000 --> 00:00:04.800]  「無最荒謬,只有更荒謬」
[00:00:04.800 --> 00:00:07.400]  可以說是今天不少的香港人
[00:00:07.400 --> 00:00:10.400]  對香港現在的情況
[00:00:10.400 --> 00:00:13.000]  常常說的一句話
[00:00:13.000 --> 00:00:17.200]  其實不要說過去整整一年
[00:00:17.200 --> 00:00:20.200]  只是說過去的幾個月
[00:00:20.200 --> 00:00:23.000]  市民都會看到一些情況
[00:00:23.000 --> 00:00:27.000]  都內心感到有些荒謬
[00:00:28.000 --> 00:00:33.000]  新冠肺炎抗疫都應該是快和準
[00:00:33.000 --> 00:00:37.000]  雖然香港抗疫都算不錯
[00:00:37.000 --> 00:00:43.000]  我們知道患病的人數遠遠是非常低
[00:00:43.000 --> 00:00:47.000]  但我們看到特區政府往往的回應
[00:00:47.000 --> 00:00:51.000]  都是被人留下一種有點荒謬的情形
[00:00:51.000 --> 00:00:54.000]  例如封關
[00:00:54.000 --> 00:00:57.000]  往往都是猶疑不決
[00:00:58.000 --> 00:01:00.000]  限聚令
[00:01:00.000 --> 00:01:04.000]  它自己都說是沒有什麼科學的根據
[00:01:04.000 --> 00:01:09.000]  甚至我們看到有些是互相矛盾的情況出現
[00:01:09.000 --> 00:01:13.000]  例如限聚令有
[00:01:13.000 --> 00:01:19.000]  但教會仍然可以有聚會可以唱詩
[00:01:19.000 --> 00:01:23.000]  但有些人在商場唱歌就不行了
[00:01:23.000 --> 00:01:25.000]  就犯了限聚令
[00:01:26.000 --> 00:01:31.000]  現在限聚令放寬至50人
[00:01:31.000 --> 00:01:34.000]  茶樓酒館等等好像不太限
[00:01:34.000 --> 00:01:36.000]  在教堂裏面
[00:01:36.000 --> 00:01:41.000]  甚至可以坐到座位八成的人數
[00:01:41.000 --> 00:01:46.000]  不過室外仍然只限50人
[00:01:46.000 --> 00:01:50.000]  究竟病毒傳播得快
[00:01:50.000 --> 00:01:52.000]  是一個封閉的環境
[00:01:52.000 --> 00:01:56.000]  還是在室外傳播比較快呢
[00:01:56.000 --> 00:02:00.000]  口口聲聲都說是沒有政治的考慮
[00:02:00.000 --> 00:02:03.000]  但又沒有什麼科學的根據的時候
[00:02:03.000 --> 00:02:10.000]  究竟限聚令是根據什麼原則去制定的呢
[00:02:10.000 --> 00:02:15.000]  因為新冠肺炎
[00:02:15.000 --> 00:02:18.000]  學生都不能夠上學
[00:02:18.000 --> 00:02:20.000]  影響最大的
[00:02:20.000 --> 00:02:25.000]  我相信就是那班參加文憑試的學生
[00:02:25.000 --> 00:02:28.000]  學生已經受到疫情的影響
[00:02:28.000 --> 00:02:31.000]  影響了他們的學習
[00:02:31.000 --> 00:02:34.000]  但竟然一條很簡單的歷史題目
[00:02:34.000 --> 00:02:38.000]  要傷害一些人的感情
[00:02:38.000 --> 00:02:41.000]  是沒有任何討論的空間
[00:02:41.000 --> 00:02:45.000]  學生努力地作答之後
[00:02:45.000 --> 00:02:47.000]  就被取消
[00:02:49.000 --> 00:02:54.000]  最近教育局都時時發信給學校
[00:02:54.000 --> 00:02:55.000]  告訴學校
[00:02:55.000 --> 00:02:59.000]  如果學生對國歌不尊重
[00:02:59.000 --> 00:03:02.000]  或者參與罷課的情況下
[00:03:02.000 --> 00:03:04.000]  屢勸不改
[00:03:04.000 --> 00:03:06.000]  就可以去報警
[00:03:06.000 --> 00:03:08.000]  我常常問一個問題
[00:03:08.000 --> 00:03:15.000]  教育是不是可以透過報警去達成呢
[00:03:17.000 --> 00:03:19.000]  當然再放遠一點
[00:03:19.000 --> 00:03:21.000]  看看過去一年
[00:03:21.000 --> 00:03:25.000]  無論你有什麼政治立場
[00:03:25.000 --> 00:03:27.000]  我們都看到香港的社會
[00:03:27.000 --> 00:03:31.000]  陷在一個撕裂的當中
