
[00:00:00.000 --> 00:00:03.520]  大家好,我們今天一齊看經文
[00:00:03.520 --> 00:00:05.520]  我們彼此學習
[00:00:05.520 --> 00:00:10.020]  特別是檢視我們的信仰,我們的生命
[00:00:10.020 --> 00:00:12.020]  我們一起有個禱告
[00:00:12.020 --> 00:00:15.020]  天父,我們感謝祢讓我們一起學習
[00:00:15.020 --> 00:00:18.020]  願以祢的聖靈開啟我們的心
[00:00:18.020 --> 00:00:21.520]  看到祢自己聖經裏面的寶貴
[00:00:21.520 --> 00:00:23.520]  去改變我們的生命
[00:00:23.520 --> 00:00:26.520]  讓我們反思我們的信仰
[00:00:26.520 --> 00:00:29.020]  我們這樣祈禱,奉主耶穌基督的名
[00:00:29.020 --> 00:00:31.020]  阿門
[00:00:31.020 --> 00:00:36.020]  我以前在美國讀神學院的時候
[00:00:36.020 --> 00:00:40.020]  在那裏受裝備,預備做傳道人
[00:00:40.020 --> 00:00:42.020]  我們其中有一個學科
[00:00:42.020 --> 00:00:45.020]  是學習怎樣去敬拜
[00:00:45.020 --> 00:00:48.020]  敬拜裏面有甚麼要留意
[00:00:48.020 --> 00:00:51.020]  有一個功課叫我們一班同學
[00:00:51.020 --> 00:00:53.020]  幾個幾個一組
[00:00:53.020 --> 00:00:56.020]  有好幾組的人去帶一個敬拜
[00:00:56.020 --> 00:01:00.020]  其中一組的組員帶一個領聖餐
[00:01:00.020 --> 00:01:02.020]  帶我們守聖餐
[00:01:02.020 --> 00:01:05.020]  我們知道守聖餐會有
[00:01:05.020 --> 00:01:08.020]  有煮的餅和煮的杯
[00:01:08.020 --> 00:01:11.020]  代表主為我們的死而復活
[00:01:11.020 --> 00:01:13.020]  紀念主
[00:01:13.020 --> 00:01:18.020]  這些都是我們這班弟兄姊妹
[00:01:18.020 --> 00:01:21.020]  他們負責帶領崇拜
[00:01:21.020 --> 00:01:22.020]  就會這樣安排
[00:01:22.020 --> 00:01:24.020]  都是有餅和杯
[00:01:24.020 --> 00:01:26.020]  他們有些特別
[00:01:26.020 --> 00:01:29.020]  我們一起去崇拜的地方
[00:01:29.020 --> 00:01:31.020]  他們擺了幾張桌子
[00:01:31.020 --> 00:01:33.020]  然後鋪了桌布
[00:01:33.020 --> 00:01:38.020]  桌布類似餐廳的擺設
