
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹 主內平安
[00:00:05.000 --> 00:00:08.000]  剛才楊牧師跟我們讀出
[00:00:08.000 --> 00:00:14.000]  路加福音耶穌的教導
[00:00:14.000 --> 00:00:16.000]  我們每個字都懂得解釋
[00:00:16.000 --> 00:00:18.000]  不過聽下去
[00:00:18.000 --> 00:00:22.000]  總是有少少掩著的感覺
[00:00:22.000 --> 00:00:25.000]  為什麼耶穌會這樣講呢?
[00:00:25.000 --> 00:00:27.000]  有沒有呀?
[00:00:27.000 --> 00:00:29.000]  還是聽完就聽完
[00:00:29.000 --> 00:00:32.000]  耶穌當然是這樣講的
[00:00:32.000 --> 00:00:34.000]  掩著什麼呢?
[00:00:34.000 --> 00:00:37.000]  我們今天也不是這樣對我們的菲傭姐姐
[00:00:37.000 --> 00:00:40.000]  不應該這樣的
[00:00:40.000 --> 00:00:44.000]  首先我們要懂得聽
[00:00:44.000 --> 00:00:50.000]  教導主人怎樣對僕人的經文
[00:00:50.000 --> 00:00:53.000]  並沒有出現在福音書
[00:00:53.000 --> 00:00:55.000]  出現在哪一本書?
[00:00:55.000 --> 00:00:57.000]  保羅書信
[00:00:57.000 --> 00:00:58.000]  記得嗎?
[00:00:58.000 --> 00:01:00.000]  你們作主人的
[00:01:00.000 --> 00:01:03.000]  要公公平平對待僕人
[00:01:03.000 --> 00:01:08.000]  因為你們同有一位主在天上
[00:01:08.000 --> 00:01:12.000]  這一書耶穌講的是比喻
[00:01:12.000 --> 00:01:17.000]  而且主耶穌是跟聽他講道的人群
[00:01:17.000 --> 00:01:20.000]  問了三個問題的
[00:01:20.000 --> 00:01:22.000]  剛才你有沒有留意到
[00:01:22.000 --> 00:01:26.000]  我們中文聖經翻譯的那些座語詞
[00:01:26.000 --> 00:01:29.000]  你們誰有僕人耕地
[00:01:29.000 --> 00:01:32.000]  或是放羊從田裡回來
[00:01:32.000 --> 00:01:34.000]  就對他說
[00:01:34.000 --> 00:01:39.000]  你快來坐下吃飯
[00:01:39.000 --> 00:01:41.000]  最後還有個「呢」
[00:01:41.000 --> 00:01:43.000]  是問題來的
[00:01:43.000 --> 00:01:44.000]  懂得看啦
[00:01:44.000 --> 00:01:46.000]  翻譯聖經很重要的
[00:01:46.000 --> 00:01:52.000]  這個是耶穌引用一個當時的情況
[00:01:52.000 --> 00:01:55.000]  如果你們當中有僕人的
[00:01:55.000 --> 00:01:57.000]  他很辛苦、身水身汗
[00:01:57.000 --> 00:02:01.000]  從外面回來做完他當日的工作
[00:02:01.000 --> 00:02:03.000]  你會不會跟他說
[00:02:03.000 --> 00:02:06.000]  快點快點快點來坐下吃飯
[00:02:06.000 --> 00:02:09.000]  那個「呢」字不是主人講的
[00:02:09.000 --> 00:02:10.000]  是耶穌講的
[00:02:10.000 --> 00:02:12.000]  會不會這樣做?
[00:02:12.000 --> 00:02:14.000]  聽道的人心裡面
[00:02:14.000 --> 00:02:17.000]  個個都知道答案的
