
[00:00:00.000 --> 00:00:03.000]  不知道大家有沒有試過開了個冰箱
[00:00:03.000 --> 00:00:06.000]  打開你的奶,過期了,又臭又臭
[00:00:06.000 --> 00:00:10.000]  我相信那個味道大家很深刻印象
[00:00:10.000 --> 00:00:13.000]  你如果開了一瓶這樣的壞奶的時候
[00:00:13.000 --> 00:00:15.000]  你通常會怎樣做?
[00:00:15.000 --> 00:00:19.000]  我相信大部分人的反應都馬上倒了,是不是?
[00:00:19.000 --> 00:00:22.000]  大家想一想,會不會有一個人說
[00:00:22.000 --> 00:00:25.000]  咦?不是啊,這瓶壞奶只有小半瓶而已
[00:00:25.000 --> 00:00:28.000]  不要緊,我隔離了一瓶完整新鮮的奶
[00:00:28.000 --> 00:00:33.000]  我將那瓶好的奶倒在那瓶剩下的壞奶那裡
[00:00:33.000 --> 00:00:36.000]  壞奶就變好奶了
[00:00:36.000 --> 00:00:39.000]  有沒有這樣的人會這樣做的?
[00:00:39.000 --> 00:00:43.000]  我相信只要有一點常識的人都不會這樣做的,是不是?
[00:00:43.000 --> 00:00:46.000]  好與壞混在一起的時候
[00:00:46.000 --> 00:00:49.000]  好是不會將壞的變好
[00:00:49.000 --> 00:00:53.000]  相反壞的可以將好的變壞,是不是?
[00:00:53.000 --> 00:00:57.000]  如果大家有留意最近一個很多人熱議的一段新聞
[00:00:57.000 --> 00:01:01.000]  有一個澳大利亞的女士
[00:01:01.000 --> 00:01:05.000]  她用一些有毒的蘑菇
[00:01:05.000 --> 00:01:09.000]  來做一個很美味的威靈頓牛排
[00:01:09.000 --> 00:01:15.000]  用很多很多好的新鮮的蘑菇
[00:01:15.000 --> 00:01:19.000]  不要緊,倒兩顆有毒的蘑菇進去
[00:01:19.000 --> 00:01:21.000]  之後怎樣?
[00:01:21.000 --> 00:01:24.000]  好的蘑菇不會因為份量多
[00:01:24.000 --> 00:01:29.000]  就將那個有毒性的蘑菇中和了毒性,是不是?
[00:01:29.000 --> 00:01:31.000]  最後怎樣?
[00:01:31.000 --> 00:01:36.000]  最後整個看上去很美味的威靈頓牛排
[00:01:36.000 --> 00:01:39.000]  就成為一個殺人的毒氣
[00:01:39.000 --> 00:01:41.000]  今天我們所讀的經文
[00:01:41.000 --> 00:01:44.000]  剛才這個故事告訴我們
[00:01:44.000 --> 00:01:50.000]  當時的以色列人犯了一個很明顯
[00:01:50.000 --> 00:01:55.000]  很明顯的錯誤
[00:01:55.000 --> 00:01:58.000]  這個錯誤大家都不會犯
[00:01:58.000 --> 00:02:00.000]  不過很不幸地
[00:02:00.000 --> 00:02:04.000]  其實我們今天很多基督徒都犯同一個很明顯
[00:02:04.000 --> 00:02:07.000]  很容易辨察到的一個錯誤
[00:02:07.000 --> 00:02:09.000]  讓我們一同通過今天的經文
[00:02:09.000 --> 00:02:13.000]  來看看我們所謂的這個很明顯的錯誤
[00:02:13.000 --> 00:02:15.000]  是什麼錯誤呢?
[00:02:15.000 --> 00:02:20.000]  又怎樣去防範犯一個這樣的錯誤呢?
[00:02:20.000 --> 00:02:23.000]  如果我們看這個經文
[00:02:23.000 --> 00:02:26.000]  開始的時候這裡講到一個日子
[00:02:26.000 --> 00:02:27.000]  那個日子是什麼?
[00:02:27.000 --> 00:02:32.000]  是大理烏皇的第二年九月二十四號
[00:02:32.000 --> 00:02:35.000]  大家記不記得我們之前所講的經文
[00:02:35.000 --> 00:02:38.000]  這個以色列人當時是
[00:02:38.000 --> 00:02:42.000]  哪一個月份開始重建聖殿的?
[00:02:42.000 --> 00:02:43.000]  大家記不記得?
[00:02:43.000 --> 00:02:44.000]  是六月
[00:02:44.000 --> 00:02:47.000]  上個星期我們講到
[00:02:47.000 --> 00:02:50.000]  耶和華的說話再一次臨到那些以色列人
[00:02:50.000 --> 00:02:51.000]  叫他們什麼?
[00:02:51.000 --> 00:02:52.000]  你們要剛強
[00:02:52.000 --> 00:02:53.000]  那時候是什麼月份?
[00:02:53.000 --> 00:02:55.000]  七月
[00:02:55.000 --> 00:02:56.000]  現在來到九月
