
[00:00:00.000 --> 00:00:06.000]  早晨,不知道大家有沒有留意風暴消息呢?
[00:00:06.000 --> 00:00:19.000]  昨天已經出了,風暴消息就是明天會有一個黃色警告
[00:00:19.000 --> 00:00:27.000]  大家不用擔心,因為這個黃色警告在英國的北部受影響大一點
[00:00:27.000 --> 00:00:33.000]  如果你明天出行,去曼城或以上,就要小心一點
[00:00:33.000 --> 00:00:37.000]  我們南部應該暫時沒什麼問題,沒什麼影響
[00:00:37.000 --> 00:00:41.000]  其實打風應該都會很害怕
[00:00:41.000 --> 00:00:46.000]  但是我們很多都是從香港過來的,大部份
[00:00:46.000 --> 00:00:52.000]  我們都是見慣風暴,十號風球我們都沒害怕過,還很開心
[00:00:52.000 --> 00:00:58.000]  很奇怪的,我們十號看著天氣圖
[00:00:58.000 --> 00:01:04.000]  接著進入800公里範圍的時候,我們就要盯著,聽著
[00:01:04.000 --> 00:01:10.000]  聽著,不是聽著編譯報告,除了希望左一點,右一點,近一點,遠一點
[00:01:10.000 --> 00:01:17.000]  喊著八號,八號,我們可能要想一想,究竟是打火鍋還是看電影呢?
[00:01:17.000 --> 00:01:22.000]  很開心,想到一些節目,我們有些很不同的想法
[00:01:22.000 --> 00:01:28.000]  我們來到英國打風,就真的遇到一些很不同的感受
[00:01:28.000 --> 00:01:33.000]  打法呢,我來了剛剛兩年了,還沒很適應
[00:01:33.000 --> 00:01:37.000]  我們住房子,還沒住房子,可能房子的感受會大一點
[00:01:37.000 --> 00:01:41.000]  我們住房子的時候,好像沒什麼特別,跟香港差不多
[00:01:41.000 --> 00:01:49.000]  英國打風,氣象局通常會弄一個黃色預警,一些天氣圖給大家看
[00:01:49.000 --> 00:01:53.000]  告訴大家,風在來,哪裡下雨,哪裡大風
[00:01:53.000 --> 00:02:00.000]  英國沒有什麼超前部署,香港現在已經超前部署
[00:02:00.000 --> 00:02:04.000]  但是又很難發覺,這樣又不行,這樣又不行,一直吵
[00:02:04.000 --> 00:02:13.000]  應該是沒有的,多數都是學校家長跟老師或者僱主協調
[00:02:13.000 --> 00:02:16.000]  大家是不是在一個安全的地方上班
[00:02:16.000 --> 00:02:22.000]  所以其實都挺難適應的,有時候都不知道是怎樣的,很難判斷
