
[00:00:00.000 --> 00:00:02.520]  今天題目是「不要怕」
[00:00:02.520 --> 00:00:06.360]  其實「怕」或「fear」這個主題
[00:00:06.360 --> 00:00:09.940]  不知道大家有沒有留意到馬福音是很情然的
[00:00:09.940 --> 00:00:12.540]  今天很想和大家用一個敘事
[00:00:12.540 --> 00:00:14.900]  或者我們英文叫Narrative的形式
[00:00:14.900 --> 00:00:18.140]  去和大家一起去看這段聖經
[00:00:18.140 --> 00:00:24.180]  但是看這段聖經我們不能純粹單看剛才我們讀那段經文
[00:00:24.180 --> 00:00:28.580]  我們要去到究竟這段經文開始在哪裡
[00:00:28.580 --> 00:00:33.680]  我們要回去看馬福音六章十四節
[00:00:33.680 --> 00:00:36.960]  馬福音六章十四節記載一件事
[00:00:36.960 --> 00:00:41.400]  就是耶穌的名聲傳揚出來
[00:00:41.400 --> 00:00:43.800]  當耶穌的名聲傳揚出來
[00:00:43.800 --> 00:00:48.500]  你幻想一下耶穌的名聲傳揚出來的時候
[00:00:48.500 --> 00:00:50.500]  會發生什麼事呢?
[00:00:50.500 --> 00:00:53.840]  原來會發生一件很怕的事情
[00:00:53.840 --> 00:00:55.840]  當我問到很怕的事情的時候
[00:00:55.840 --> 00:01:02.240]  究竟誰會怕耶穌的名聲或祂出現呢?
[00:01:02.240 --> 00:01:07.280]  在後面的經文你會看到敘事的方式就是
[00:01:07.280 --> 00:01:10.380]  當時希律王也聽到了
[00:01:10.380 --> 00:01:13.400]  希律王聽到的時候他的第一反應是什麼呢?
[00:01:13.400 --> 00:01:18.800]  他說被斬的施洗約翰復活了
[00:01:18.800 --> 00:01:21.560]  被斬的施洗約翰復活了
[00:01:21.560 --> 00:01:29.160]  原來他本來對施洗約翰這個人也有些懼怕
[00:01:29.160 --> 00:01:30.600]  不過他斬了他
[00:01:30.600 --> 00:01:32.600]  但現在出現了另一個耶穌
[00:01:32.600 --> 00:01:34.120]  他的名聲又來了
[00:01:34.120 --> 00:01:36.360]  所以誰會怕耶穌呢?
[00:01:36.360 --> 00:01:38.040]  很明顯這段經文的呈現就是
[00:01:38.040 --> 00:01:40.600]  希律王心知不妙
[00:01:40.600 --> 00:01:44.400]  耶穌出來會不會是被斬的施洗約翰呢?
[00:01:44.400 --> 00:01:48.200]  所以在六章十七到十九節的經文記載
[00:01:48.200 --> 00:01:53.680]  去解釋施洗約翰為什麼會被斬頭
[00:01:53.680 --> 00:01:56.520]  長話短說 大家回去看看經文
[00:01:56.520 --> 00:02:01.680]  這段經文講到原來施洗約翰指出希律王的不對
[00:02:01.680 --> 00:02:02.960]  他有什麼不對呢?
[00:02:02.960 --> 00:02:06.760]  原來他娶了他弟兄的妻子希羅底
[00:02:06.760 --> 00:02:10.000]  而希羅底懷恨在心
[00:02:10.000 --> 00:02:14.000]  最後因為這個王有些誓言
[00:02:14.000 --> 00:02:18.680]  他沒辦法就把約翰的頭斬下來
[00:02:18.680 --> 00:02:21.640]  當我們看這段經文的時候
[00:02:21.640 --> 00:02:24.400]  呈現一個很特別的訊息就是
[00:02:24.400 --> 00:02:28.440]  原來施洗約翰的生命讓我們看見一樣很重要的事情
[00:02:28.440 --> 00:02:32.120]  他不怕權勢
[00:02:32.120 --> 00:02:39.680]  他不怕希律王勇敢指出那些不合乎真理的事情
[00:02:39.680 --> 00:02:42.840]  所以當我們看施洗約翰的記載
[00:02:42.840 --> 00:02:47.040]  其實可以看見一個不怕的主題出現了
[00:02:47.040 --> 00:02:51.200]  在施洗約翰的生命中我們看見他不怕
[00:02:51.200 --> 00:02:54.920]  剛才我們說到怕的英文是fear
[00:02:54.920 --> 00:02:57.760]  通常我們fear是怕的
[00:02:57.760 --> 00:03:00.760]  但原來fear是敬畏的
[00:03:00.760 --> 00:03:02.560]  我們說fear god
[00:03:02.560 --> 00:03:05.360]  我們很少說我們怕神
[00:03:05.360 --> 00:03:07.680]  其實有這樣的味道
[00:03:07.680 --> 00:03:11.800]  但我們中文譯做fear god就是敬畏上帝
[00:03:11.800 --> 00:03:14.400]  怕或敬畏這個題目
[00:03:14.400 --> 00:03:16.080]  其實我們一路讀下去
[00:03:16.080 --> 00:03:21.400]  你會看見在敘事中不斷地出現
[00:03:21.400 --> 00:03:23.880]  施洗約翰不怕誰?
[00:03:23.880 --> 00:03:25.360]  不怕希律王
[00:03:25.360 --> 00:03:26.880]  不怕人
[00:03:26.880 --> 00:03:28.120]  為什麼呢?
[00:03:28.120 --> 00:03:33.560]  因為施洗約翰是一個敬畏或怕上帝的人
[00:03:33.560 --> 00:03:37.360]  他怕上帝比怕人還要多
[00:03:37.360 --> 00:03:42.200]  我們人生中可能有些事情是我們很怕的
[00:03:42.200 --> 00:03:44.600]  今天我們經常說疫情
