
[00:00:00.000 --> 00:00:04.280]  好 今天我們繼續來講約翰書信系列
[00:00:04.280 --> 00:00:08.760]  那我們上次講到約翰一書的第三章已經講完
[00:00:08.760 --> 00:00:11.160]  今天會進入第四章
[00:00:11.160 --> 00:00:14.600]  那在分享今天的經文之前
[00:00:14.600 --> 00:00:16.760]  我們先來一起讀一下
[00:00:16.760 --> 00:00:18.520]  這章的經文有點長
[00:00:18.520 --> 00:00:21.320]  不過大家沒有關係
[00:00:21.320 --> 00:00:23.720]  我們一起慢慢的可以把它讀完
[00:00:23.720 --> 00:00:26.720]  從四章的第一節開始
[00:00:26.720 --> 00:00:29.000]  我們一直讀到二十一節
[00:00:30.800 --> 00:00:32.880]  我們可以看這個屏幕
[00:00:32.880 --> 00:00:34.880]  或者看你手上的聖經
[00:00:34.880 --> 00:00:37.560]  看到經文我們一起來念
[00:00:37.560 --> 00:00:40.240]  親愛的弟兄
[00:00:40.240 --> 00:00:43.640]  一切的靈你們不可都信
[00:00:43.640 --> 00:00:48.240]  總要試驗那些靈是出於神的不是
[00:00:48.240 --> 00:00:53.200]  因為世上有許多假先知已經出來了
[00:00:53.200 --> 00:00:57.640]  凡靈認耶穌基督是成了肉身來的
[00:00:57.640 --> 00:00:59.760]  就是出於神的
[00:00:59.760 --> 00:01:03.960]  從此你們可以認出神的靈來
[00:01:03.960 --> 00:01:08.120]  凡靈不認耶穌就不是出於神
[00:01:08.120 --> 00:01:10.880]  這是那比基督者的靈
[00:01:10.880 --> 00:01:13.760]  你們從前聽見祂要來
[00:01:13.760 --> 00:01:16.960]  現在已經在世上了
[00:01:16.960 --> 00:01:18.640]  小子們啊
[00:01:18.640 --> 00:01:22.560]  你們是屬神的並且勝了他們
[00:01:22.560 --> 00:01:25.120]  因為那在你們裡面的
[00:01:25.120 --> 00:01:28.160]  比那在世界上的更大
[00:01:28.160 --> 00:01:30.480]  我們是屬世界的
[00:01:30.480 --> 00:01:32.800]  所以論世界的事
[00:01:32.800 --> 00:01:35.520]  世人也聽從他們
[00:01:35.520 --> 00:01:37.840]  我們是屬神的
[00:01:37.840 --> 00:01:40.880]  認識神的就聽從我們
[00:01:40.880 --> 00:01:44.320]  不屬神的就不聽從我們
[00:01:44.320 --> 00:01:47.920]  從此我們可以認出真理的靈
[00:01:47.920 --> 00:01:50.960]  和謬妄的靈來
[00:01:50.960 --> 00:01:53.040]  親愛的弟兄啊
[00:01:53.040 --> 00:01:55.480]  我們應當彼此相愛
[00:01:55.480 --> 00:01:58.280]  因為愛是從神來的
[00:01:58.280 --> 00:02:02.360]  凡有愛心的都是從神而生
[00:02:02.360 --> 00:02:04.480]  並且認識神
[00:02:04.480 --> 00:02:07.800]  沒有愛心的就不認識神
[00:02:07.800 --> 00:02:10.200]  因為神就是愛
[00:02:10.200 --> 00:02:14.080]  神猜他獨生子來到世間來
[00:02:14.080 --> 00:02:16.640]  使我們藉著他得生
[00:02:16.640 --> 00:02:20.800]  神愛我們的心在此就顯明了
[00:02:20.800 --> 00:02:22.920]  不是我們愛神
[00:02:22.920 --> 00:02:25.080]  乃是神愛我們
[00:02:25.080 --> 00:02:29.760]  猜他的兒子為我們的罪做了挽回記
[00:02:29.760 --> 00:02:32.080]  這就是愛了
[00:02:32.080 --> 00:02:34.240]  親愛的弟兄啊
[00:02:34.240 --> 00:02:36.680]  神既是這樣愛我們
[00:02:36.680 --> 00:02:39.680]  我們也當彼此相愛
[00:02:39.680 --> 00:02:42.160]  從來沒有人見過神
[00:02:42.160 --> 00:02:44.520]  我們若彼此相愛
[00:02:44.520 --> 00:02:47.280]  神就住在我們裡面
[00:02:47.280 --> 00:02:52.160]  愛他的心在我們裡面得以完全了
[00:02:52.160 --> 00:02:55.680]  神將他的靈賜給我們
[00:02:55.680 --> 00:02:59.800]  從此就知道我們是住在他裡面
[00:02:59.800 --> 00:03:02.480]  他也住在我們裡面
[00:03:02.480 --> 00:03:05.800]  父猜子做世人的救主
[00:03:05.800 --> 00:03:10.240]  這是我們所看見且做見證的
[00:03:10.240 --> 00:03:13.480]  凡認耶穌為神兒子的
[00:03:13.480 --> 00:03:16.040]  神就住在他裡面
[00:03:16.040 --> 00:03:18.840]  他也住在神裡面
[00:03:18.840 --> 00:03:20.600]  神愛我們的心
[00:03:20.600 --> 00:03:23.240]  我們也知道也信
[00:03:23.240 --> 00:03:25.080]  神就是愛
[00:03:25.080 --> 00:03:27.000]  住在愛裡面的
[00:03:27.000 --> 00:03:29.480]  就是住在神裡面
[00:03:29.480 --> 00:03:32.640]  神也住在他裡面
[00:03:32.640 --> 00:03:37.400]  這樣愛在我們裡面得以完全
[00:03:37.400 --> 00:03:42.040]  我們就可以在審判的日子坦然無懼
[00:03:42.040 --> 00:03:43.760]  因為他如何
[00:03:43.760 --> 00:03:47.320]  我們在這世上也如何
