
[00:00:00.000 --> 00:00:03.360]  我今日會繼續同大家講全道書
[00:00:03.360 --> 00:00:05.360]  是講到第四章
[00:00:05.360 --> 00:00:10.080]  上次講上半章
[00:00:10.080 --> 00:00:11.280]  其實都不是上半章
[00:00:11.280 --> 00:00:13.880]  只是講了六節的聖經 一至六
[00:00:13.880 --> 00:00:17.960]  是講能夠在神面前
[00:00:17.960 --> 00:00:20.280]  安靜知足
[00:00:20.280 --> 00:00:25.080]  比賺多些錢更重要
[00:00:25.080 --> 00:00:29.440]  人能夠如果是安靜知足
[00:00:29.440 --> 00:00:34.760]  社會上欺壓的事情亦都會少
[00:00:34.760 --> 00:00:37.920]  這是上次講的主要訊息
[00:00:37.920 --> 00:00:43.200]  今日講由七至到第十六節
[00:00:43.200 --> 00:00:45.440]  亦都是剛才
[00:00:45.440 --> 00:00:50.080]  我們大家一起所讀的那段經文
[00:00:50.080 --> 00:00:55.920]  傳道者他繼續去列舉了幾樣人生之中
[00:00:55.920 --> 00:00:59.960]  令到別人很遺憾的事情
[00:00:59.960 --> 00:01:05.040]  包括沒有人生目標
[00:01:05.040 --> 00:01:09.640]  沒有朋友 沒有家人
[00:01:09.640 --> 00:01:14.000]  時代已經改變
[00:01:14.000 --> 00:01:19.120]  沒有人再擁護 沒有人再認同
[00:01:19.120 --> 00:01:27.160]  在這樣的處境裏面人應該怎樣去面對呢?
[00:01:27.160 --> 00:01:29.960]  怎樣在當中去生活呢?
[00:01:29.960 --> 00:01:39.360]  這亦是我們今日的人同樣要面對的處境
[00:01:39.360 --> 00:01:41.080]  聖經告訴我們
[00:01:41.080 --> 00:01:45.480]  信了耶穌 我們就是被聖靈重生
[00:01:45.480 --> 00:01:52.400]  我們就需要按神的心意 話語來更新我們的生活方式
[00:01:52.400 --> 00:01:57.920]  和去調校正我們的人生方向
[00:01:57.920 --> 00:02:01.400]  要按照神的話語來做決定
[00:02:01.400 --> 00:02:05.840]  去決定甚麼是可以放手
[00:02:05.840 --> 00:02:09.680]  又甚麼是不可以放手
[00:02:09.680 --> 00:02:15.680]  這亦是我今日要跟大家講的主要訊息
[00:02:15.680 --> 00:02:18.560]  甚麼可以改變
[00:02:18.560 --> 00:02:25.640]  但有些事是一定不可以改變
[00:02:25.640 --> 00:02:34.120]  我們先看傳道書四章七節
[00:02:34.120 --> 00:02:38.160]  「我又轉念見日光之下有一件虛空的事」
[00:02:38.160 --> 00:02:43.760]  「第八節 有人孤單無異 無子無兄 竟勞碌不息」
[00:02:43.760 --> 00:02:46.400]  「眼目也不以錢財為足」
[00:02:46.400 --> 00:02:50.800]  「他說 我勞勞碌碌 刻苦自己不享福樂」
[00:02:50.800 --> 00:02:53.320]  「到底是為誰呢?」
[00:02:53.320 --> 00:02:58.960]  「這也是虛空 是極重的勞苦」
[00:02:58.960 --> 00:03:05.240]  傳道者從經文所寫的方法
[00:03:05.240 --> 00:03:09.200]  傳道者可能認識一個人 可能只是普通朋友
[00:03:09.200 --> 00:03:17.000]  或者他是皇帝 他可能認識其中一個平民
[00:03:17.000 --> 00:03:18.840]  他可能認識這個人
[00:03:18.840 --> 00:03:22.840]  而這個人是孤單一人地生活
[00:03:22.840 --> 00:03:27.760]  沒有妻子 可能有 但早死了
[00:03:27.760 --> 00:03:30.760]  甚至沒有結婚
[00:03:30.760 --> 00:03:34.440]  沒有子女 沒有兄弟姐妹
[00:03:34.440 --> 00:03:37.600]  父母相信都不在了
[00:03:37.600 --> 00:03:43.120]  甚至是沒有朋友 沒有工作的夥伴
[00:03:43.120 --> 00:03:50.400]  這就是所謂「孤單無異」的意思
[00:03:50.400 --> 00:03:59.680]  這個人 我們看到他的背景是多麼淒涼
[00:03:59.680 --> 00:04:07.600]  經文沒有說實際這個人是否一個財主
[00:04:07.600 --> 00:04:11.520]  應該是 你會猜到他是一個財主
[00:04:11.520 --> 00:04:16.000]  是否一個守財奴 也可能是
[00:04:16.000 --> 00:04:18.920]  或者是否一個孤寒財主 也可能是
[00:04:18.920 --> 00:04:20.160]  因為這樣寫的時候
[00:04:20.160 --> 00:04:26.240]  我們一大堆背後的資料就會落在這個人身上
[00:04:26.240 --> 00:04:30.000]  但是這個都不是最重要
[00:04:30.000 --> 00:04:33.840]  可以說是最可憐的 更加可憐的
[00:04:33.840 --> 00:04:42.960]  就是他失去了人生的目標和工作的目標
