
[00:00:00.000 --> 00:00:02.000]  嘿,大家好,我是林牧師
[00:00:02.000 --> 00:00:06.000]  又是邀請大家和我一起展望未來十年
[00:00:06.000 --> 00:00:09.000]  又或者和我一起發白日夢
[00:00:09.000 --> 00:00:16.000]  夢想我們周六和八五週年紀念之後有什麼願望
[00:00:16.000 --> 00:00:19.000]  如果你之前有聽過我這個系列
[00:00:19.000 --> 00:00:25.000]  你都聽過一個簡介,十年展望
[00:00:25.000 --> 00:00:33.000]  上星期我錄了一封聖賢席講未來十年我想講的聖經書卷
[00:00:33.000 --> 00:00:39.000]  今天我們要講的是不朽保護媒體的事工
[00:00:39.000 --> 00:00:46.000]  我想想除了我們不斷有崇拜,有聚會,有茶經等等
[00:00:46.000 --> 00:00:53.000]  我們怎樣將我們所有擁有的材料通過媒體向這個世界發佈
[00:00:53.000 --> 00:00:56.000]  講到這些事情,你可能馬上想起
[00:00:56.000 --> 00:01:00.000]  我知道林牧師,你是想搞YouTube那些東西
[00:01:00.000 --> 00:01:05.000]  用不同的社交媒體將我們的訊息傳開去
[00:01:05.000 --> 00:01:08.000]  我不知道你知不知道在YouTube上面
[00:01:08.000 --> 00:01:13.000]  被人看過最多的影片是什麼呢
[00:01:13.000 --> 00:01:16.000]  就是這個,Baby Shark Dance
[00:01:16.000 --> 00:01:20.000]  有多少人點擊,點擊率去到哪裏呢
[00:01:20.000 --> 00:01:23.000]  十億,十億是多少呢
[00:01:23.000 --> 00:01:26.000]  一百億,你可以這樣想像
[00:01:26.000 --> 00:01:29.000]  一百億有人點擊過
[00:01:29.000 --> 00:01:34.000]  可能有人會想,如果我們的訊息
[00:01:34.000 --> 00:01:38.000]  講我們的福音可以有一百億的點擊率
[00:01:38.000 --> 00:01:40.000]  你說多棒呢
[00:01:40.000 --> 00:01:45.000]  或者我們一定是風山水起,屬靈上面
[00:01:45.000 --> 00:01:48.000]  將福音廣傳大地
[00:01:48.000 --> 00:01:53.000]  我們是不是要開始一個YouTube頻道呢
[00:01:53.000 --> 00:01:58.000]  有人會說,林牧師,你好像已經有一個YouTube頻道
[00:01:58.000 --> 00:02:02.000]  那個YouTube頻道叫做真理廚房
[00:02:02.000 --> 00:02:06.000]  TrueKitchen.tk,或者TrueKitchenTV.tk
[00:02:06.000 --> 00:02:13.000]  我都有訂閱的,你這個頻道有多少點擊呢
[00:02:13.000 --> 00:02:18.000]  哎呀,你這樣說我當然不好意思說
[00:02:18.000 --> 00:02:23.000]  有多少人真的會看我這個真理廚房呢
[00:02:23.000 --> 00:02:25.000]  其實是很少的
[00:02:25.000 --> 00:02:32.000]  那你比較起那些,我們說的風泉的東西
[00:02:32.000 --> 00:02:36.000]  你會發現,林牧師,你那些東西微不足道
[00:02:36.000 --> 00:02:39.000]  你好像給了很多心機去錄那些東西
[00:02:39.000 --> 00:02:44.000]  但最後好像又沒什麼人看,你會不會覺得失望呢
[00:02:44.000 --> 00:02:49.000]  我們怎麼去明白,是不是還要堅持去做這些東西呢
