
[00:00:00.000 --> 00:00:02.000]  好開心同大家一齊學習
[00:00:02.000 --> 00:00:06.000]  對不起我廣東話係加拿大學
[00:00:06.000 --> 00:00:09.000]  所以麻麻地係我第五種語言
[00:00:09.000 --> 00:00:12.000]  今日同大家一齊思想
[00:00:12.000 --> 00:00:14.000]  華人陌生的愛
[00:00:14.000 --> 00:00:16.000]  大家知道呢個故事
[00:00:16.000 --> 00:00:18.000]  就係狼子的故事
[00:00:18.000 --> 00:00:20.000]  但係今日我地個重點
[00:00:20.000 --> 00:00:22.000]  唔係嗰個狼子
[00:00:22.000 --> 00:00:25.000]  我地個重點係嗰個父親
[00:00:25.000 --> 00:00:28.000]  頭先大家讀過
[00:00:28.000 --> 00:00:32.000]  我頭先補充介紹我自己
[00:00:32.000 --> 00:00:34.000]  我係中國大陸出生
[00:00:34.000 --> 00:00:36.000]  係印尼長大
[00:00:36.000 --> 00:00:39.000]  17歲嗰陣係印尼坐監
[00:00:39.000 --> 00:00:42.000]  你知唔知企係你地面前呢個坐過監呀
[00:00:42.000 --> 00:00:44.000]  有冇嚇親呀
[00:00:44.000 --> 00:00:46.000]  唔係殺人放火
[00:00:46.000 --> 00:00:49.000]  係因為我係印尼冇身份
[00:00:49.000 --> 00:00:53.000]  我就唔可能係印尼讀大學
[00:00:53.000 --> 00:00:57.000]  嗰時候印尼有一啲旅行社
[00:00:57.000 --> 00:00:59.000]  專係幫唐人
[00:00:59.000 --> 00:01:03.000]  作假啲出生証同埋假啲護照
[00:01:03.000 --> 00:01:06.000]  雖然我屋企人冇錢
[00:01:06.000 --> 00:01:08.000]  但係父母知道我鍾意讀書
[00:01:08.000 --> 00:01:11.000]  冇機會讀大學就可惜
[00:01:11.000 --> 00:01:17.000]  所以去搵一個旅行社
[00:01:17.000 --> 00:01:19.000]  佢要好大筆錢
[00:01:19.000 --> 00:01:21.000]  我地冇錢
[00:01:21.000 --> 00:01:23.000]  但係父母都願意付出去
