
[00:00:00.000 --> 00:00:04.280]  所以今天我其實最主要講的一個題目是講「侍奉」
[00:00:04.280 --> 00:00:07.380]  有人是用嘴巴去侍奉的
[00:00:07.380 --> 00:00:11.500]  傳福音、大人信耶穌
[00:00:11.500 --> 00:00:14.280]  用嘴巴去侍奉是甚麼呢 你們想不想到
[00:00:14.280 --> 00:00:16.680]  甚麼是用嘴巴去侍奉
[00:00:16.680 --> 00:00:21.940]  唱歌、講道
[00:00:21.940 --> 00:00:26.000]  還有我們三個月都有一次崇拜
[00:00:26.000 --> 00:00:28.100]  見證 為主作見證
[00:00:28.100 --> 00:00:32.280]  當我們分享神在我們身上所做的事的時候
[00:00:32.280 --> 00:00:33.900]  為主作見證
[00:00:33.900 --> 00:00:37.740]  人們聽到得到幫助 那個是侍奉
[00:00:37.740 --> 00:00:40.260]  或者用嘴巴去鼓勵人
[00:00:40.260 --> 00:00:43.640]  鼓勵人的說話 造就人的說話
[00:00:43.640 --> 00:00:45.740]  或者用嘴巴表示關心
[00:00:45.740 --> 00:00:47.540]  有時都不知道說甚麼
[00:00:47.540 --> 00:00:48.740]  我有時會去探人
[00:00:48.740 --> 00:00:52.400]  因為我都不是講很多話 你問我老婆就知道
[00:00:52.400 --> 00:00:56.320]  在外面不是講很多話
[00:00:56.320 --> 00:00:58.520]  我弟弟也是這樣
[00:00:58.520 --> 00:01:00.900]  好像不是講很多話 但其實都有些說話
[00:01:00.900 --> 00:01:03.200]  但有時有些情況真的不知道說甚麼
[00:01:03.200 --> 00:01:04.520]  探人的時候
[00:01:04.520 --> 00:01:06.440]  有時去醫院
[00:01:06.440 --> 00:01:09.820]  看著一個這樣的人 其實我又不認識他
[00:01:09.820 --> 00:01:12.240]  不過有些這樣的情況
[00:01:12.240 --> 00:01:14.400]  不認識他 但有人說
[00:01:14.400 --> 00:01:17.360]  這個人有事 你去探他
[00:01:17.360 --> 00:01:21.320]  糟了 真的不知道說甚麼
[00:01:21.320 --> 00:01:22.800]  然後站在那裏就說甚麼
[00:01:22.800 --> 00:01:25.080]  我來這裏就表示我關心你
[00:01:27.320 --> 00:01:30.120]  用嘴巴告訴你 我關心你
[00:01:30.120 --> 00:01:36.100]  不過當然你身體力行
[00:01:36.100 --> 00:01:37.600]  你去到當中
[00:01:37.600 --> 00:01:41.740]  其實那個都不單止是一個口的侍奉
[00:01:41.740 --> 00:01:43.200]  是一個行動
[00:01:43.200 --> 00:01:47.800]  有些人是實際的
[00:01:47.800 --> 00:01:49.300]  實際的服侍
[00:01:49.300 --> 00:01:51.480]  有沒有人是接載人
[00:01:51.480 --> 00:01:52.940]  即是載人回來教會
[00:01:52.940 --> 00:01:55.820]  或者載一些人去有需要的地方
[00:01:55.820 --> 00:01:57.600]  有沒有人是這樣做的
[00:01:57.600 --> 00:01:58.800]  有沒有的
[00:01:58.800 --> 00:02:00.520]  舉手來看看
[00:02:00.520 --> 00:02:01.900]  有沒有
[00:02:01.900 --> 00:02:02.560]  有
[00:02:02.560 --> 00:02:05.660]  D
[00:02:05.660 --> 00:02:07.720]  接載是一個侍奉
[00:02:07.720 --> 00:02:10.620]  因為你繞多幾條街
[00:02:10.620 --> 00:02:13.200]  其實要時間
[00:02:13.200 --> 00:02:14.440]  還要甚麼
[00:02:14.440 --> 00:02:17.040]  還要有錢
[00:02:17.040 --> 00:02:20.640]  所以如果你被人查得多
[00:02:20.640 --> 00:02:24.440]  鼓勵你初一、十五
[00:02:26.820 --> 00:02:32.120]  初一、十五就不要做甚麼特別的事
[00:02:32.120 --> 00:02:34.880]  不要想到像那個故事那樣
[00:02:34.880 --> 00:02:36.280]  可能一頭半個月
[00:02:36.280 --> 00:02:38.380]  給5元、10元
[00:02:38.380 --> 00:02:41.180]  因為不是必然這樣做的
[00:02:41.180 --> 00:02:44.780]  我都被人查過
[00:02:44.780 --> 00:02:46.500]  因為我以前初初回教會
[00:02:46.500 --> 00:02:49.060]  因為這裏坐巴士
[00:02:49.060 --> 00:02:50.680]  公共交通工具比較
[00:02:50.680 --> 00:03:00.540]  就會飛來飛去
[00:03:00.540 --> 00:03:01.760]  我以前初初回教會
[00:03:01.760 --> 00:03:04.280]  都是被人載回來教會
[00:03:04.280 --> 00:03:05.980]  我都很欣賞
[00:03:05.980 --> 00:03:07.080]  因為是每個星期
[00:03:07.080 --> 00:03:08.460]  每個星期這樣載
[00:03:08.460 --> 00:03:13.840]  我很欣賞那些載過我的弟兄姊妹
[00:03:13.840 --> 00:03:16.960]  所以我是從被接載的角度去講
[00:03:16.960 --> 00:03:18.460]  現在其實少載了
[00:03:18.460 --> 00:03:21.720]  只剩下自己家裏有幾個在這裏
