
[00:00:00.000 --> 00:00:08.000]  教會給我的經文是《生命記》第三十章,十一節至二十節。
[00:00:08.000 --> 00:00:13.000]  我引用了這段經文中其中一句說話,
[00:00:13.000 --> 00:00:19.000]  「你要揀選生命」,作為我今天的講題。
[00:00:19.000 --> 00:00:25.000]  當我去想這個題目,「你要揀選生命」的時候,
[00:00:25.000 --> 00:00:33.000]  在我心裡就盤算了幾個揀選生命的生命故事。
[00:00:33.000 --> 00:00:36.000]  我先講幾個生命的故事給大家聽。
[00:00:36.000 --> 00:00:40.000]  第一個故事就是在不久之前,
[00:00:40.000 --> 00:00:44.000]  其實我在一個朋友的Facebook上,
[00:00:44.000 --> 00:00:48.000]  現在大家都喜歡看Facebook,所以經常在那裡拿到很多資料。
[00:00:48.000 --> 00:00:55.000]  在那個朋友的Facebook上看到一件發生在好幾年前的事情。
[00:00:55.000 --> 00:00:59.000]  就說到在2010年的時候,
[00:00:59.000 --> 00:01:04.000]  有一位年輕人他很夢想讀醫科,
[00:01:04.000 --> 00:01:09.000]  很可惜他患上了癌病,
[00:01:09.000 --> 00:01:20.000]  甚至最後要把他的右手割掉才能夠使癌病的蔓延停頓。
[00:01:20.000 --> 00:01:23.000]  因為沒有了右手不能寫字,
[00:01:23.000 --> 00:01:27.000]  左手也不是馬上可以練到寫字的原因,
[00:01:27.000 --> 00:01:31.000]  所以他考大學入學試,當然沒得考。
[00:01:31.000 --> 00:01:37.000]  他很希望能夠用一個特殊的方式申請入學,
[00:01:37.000 --> 00:01:43.000]  他就問中大沈祖堯教授,
[00:01:43.000 --> 00:01:48.000]  希望能夠特別收他讀醫科,
[00:01:48.000 --> 00:01:51.000]  不過沈教授拒絕了他,
[00:01:51.000 --> 00:01:55.000]  勸他說不如你放下你的學業,
[00:01:55.000 --> 00:01:58.000]  好好地來生活吧。
[00:01:58.000 --> 00:02:07.000]  但是香港大學的藥劑學就破格地收了這位年輕人,
[00:02:07.000 --> 00:02:13.000]  讀了三年的書,結果真的很好,
[00:02:13.000 --> 00:02:16.000]  一級榮譽畢業。
[00:02:16.000 --> 00:02:21.000]  不過很可惜就是這個畢業禮舉行之後沒多久,
[00:02:21.000 --> 00:02:24.000]  他因病離開了這個世界,
[00:02:24.000 --> 00:02:28.000]  在這個世界生活只剩下二十歲。
[00:02:28.000 --> 00:02:34.000]  記述這件事的那個人就問了一個問題,
[00:02:34.000 --> 00:02:41.000]  他說在命運無常的賽道上,
[00:02:41.000 --> 00:02:45.000]  這位學生是贏了還是輸了?
[00:02:45.000 --> 00:02:51.000]  兩間大學的校長哪一個是做得對,哪一個是做得錯呢?
[00:02:51.000 --> 00:02:53.000]  我不知道你怎麼回答。
[00:02:53.000 --> 00:02:56.000]  他是贏了還是輸了呢?
[00:02:56.000 --> 00:03:01.000]  究竟兩間大學的校長哪一個是對哪一個是錯呢?
[00:03:01.000 --> 00:03:07.000]  我在Facebook裏面回應這位弟兄所說,
[00:03:07.000 --> 00:03:08.000]  我就這樣說,
[00:03:08.000 --> 00:03:11.000]  我說兩間大學的校長所做的,
[00:03:11.000 --> 00:03:17.000]  只不過是從生命不同的角度來給一些意見,
[00:03:17.000 --> 00:03:20.000]  沒有說誰是對誰是錯,
[00:03:20.000 --> 00:03:23.000]  最重要是人家給意見之後,
[00:03:23.000 --> 00:03:27.000]  是自己個人的一個選擇。
[00:03:27.000 --> 00:03:32.000]  學生所選擇的究竟是贏還是輸呢?
[00:03:32.000 --> 00:03:35.000]  大家都知道選擇永遠是怎樣,
[00:03:35.000 --> 00:03:39.000]  當然得到一樣東西就失去另外一樣東西,
[00:03:39.000 --> 00:03:42.000]  很難說是贏還是輸。
[00:03:42.000 --> 00:03:48.000]  最重要的是能夠自己的生命感覺到活得無悔,
[00:03:48.000 --> 00:03:50.000]  其實就是贏了,
[00:03:50.000 --> 00:03:53.000]  無悔就是贏了。
[00:03:53.000 --> 00:03:56.000]  當我寫完這個回應之後,
[00:03:56.000 --> 00:03:58.000]  我再問一個問題,
[00:03:58.000 --> 00:04:02.000]  其實當我選擇一件事的時候,
[00:04:02.000 --> 00:04:08.000]  是不是自己無悔就可以成功呢?
[00:04:08.000 --> 00:04:13.000]  我想到另外第二個生命揀選的故事,
[00:04:13.000 --> 00:04:16.000]  這個故事是一套電影,
[00:04:16.000 --> 00:04:18.000]  其實我已經退休了,
[00:04:18.000 --> 00:04:21.000]  已經沒有做香港堂主任了,
[00:04:21.000 --> 00:04:23.000]  所以有空就看電視,
[00:04:23.000 --> 00:04:27.000]  我開了NOW TV看一些舊電影,
[00:04:27.000 --> 00:04:30.000]  看到一套電影叫「唐山大地震」,
[00:04:30.000 --> 00:04:32.000]  大家看過沒有?
[00:04:32.000 --> 00:04:36.000]  大家知道這件事發生了很久的一件事,
[00:04:36.000 --> 00:04:41.000]  究竟這套電影所描述的角色是真是假呢?
[00:04:41.000 --> 00:04:42.000]  我不知道,
[00:04:42.000 --> 00:04:47.000]  我相信也有類似這類事情發生,
[00:04:47.000 --> 00:04:49.000]  大地震發生的時候,
[00:04:49.000 --> 00:04:54.000]  有一個家庭的影響是非常深遠的,
[00:04:54.000 --> 00:04:55.000]  在地震的時候,
[00:04:55.000 --> 00:04:58.000]  爸爸死了,
[00:04:58.000 --> 00:05:00.000]  剩下媽媽,
[00:05:00.000 --> 00:05:08.000]  而她的一對子女被壓在一些屋磚底下,
[00:05:08.000 --> 00:05:12.000]  在時間很緊急的情況下,
[00:05:12.000 --> 00:05:16.000]  她有一個兒子和一個女兒,
[00:05:16.000 --> 00:05:19.000]  兒子和女兒之間要做一個選擇,
[00:05:19.000 --> 00:05:21.000]  究竟救誰呢?
[00:05:21.000 --> 00:05:22.000]  就問她媽媽,
[00:05:22.000 --> 00:05:23.000]  你想救誰呢?
[00:05:23.000 --> 00:05:25.000]  我只救得一個而已,
[00:05:25.000 --> 00:05:27.000]  當時做媽媽的怎麼辦?
[00:05:27.000 --> 00:05:29.000]  當然很想兩個都救,
[00:05:29.000 --> 00:05:31.000]  但是她發現這件事,
[00:05:31.000 --> 00:05:34.000]  有人說你只能夠救一個而已,
[00:05:34.000 --> 00:05:36.000]  經過很久的掙扎之後,
[00:05:36.000 --> 00:05:39.000]  大家知道中國人多數救誰,
[00:05:39.000 --> 00:05:41.000]  當然是救兒子,
[00:05:41.000 --> 00:05:43.000]  救了兒子出來,
[00:05:43.000 --> 00:05:44.000]  救了之後,
[00:05:44.000 --> 00:05:48.000]  兒子都要割了一隻手,
[00:05:48.000 --> 00:05:52.000]  因為被壓到傷得很厲害,
[00:05:52.000 --> 00:05:54.000]  不能夠救活,
[00:05:54.000 --> 00:05:56.000]  救了兒子,
[00:05:56.000 --> 00:05:58.000]  以為女兒死了,
