
[00:00:00.000 --> 00:00:02.240]  弟兄姊妹 早安
[00:00:02.240 --> 00:00:04.880]  跟大家拜個年
[00:00:04.880 --> 00:00:07.440]  祝大家主恩滿日
[00:00:07.440 --> 00:00:08.960]  龍馬精神
[00:00:08.960 --> 00:00:12.240]  龍馬精神 因為我家有一條龍和一隻馬
[00:00:12.240 --> 00:00:17.760]  所以我經常跟家人拜年都是龍馬精神
[00:00:17.760 --> 00:00:19.680]  這樣
[00:00:19.680 --> 00:00:21.840]  明天是人日 是不是?
[00:00:21.840 --> 00:00:22.720]  初七 是吧?
[00:00:22.720 --> 00:00:25.680]  所以祝大家有個平安的人日
[00:00:25.680 --> 00:00:26.720]  人人生日
[00:00:26.720 --> 00:00:31.920]  也是紀念天父給我們很多恩典的時候
[00:00:31.920 --> 00:00:33.120]  每天都是
[00:00:33.120 --> 00:00:35.840]  我先戴個頭盔
[00:00:35.840 --> 00:00:39.040]  我是一個科學不合格的人
[00:00:39.040 --> 00:00:44.080]  中三的時候要編去理科班或者文科班
[00:00:44.080 --> 00:00:46.160]  我freecam拜都是不合格的
[00:00:46.160 --> 00:00:48.320]  所以很自然就去了文科班
[00:00:48.320 --> 00:00:50.320]  但是我想說一說
[00:00:50.320 --> 00:00:53.440]  有一個很有趣的化學現象
[00:00:53.440 --> 00:00:55.680]  想跟大家分享一下
[00:00:55.680 --> 00:00:59.200]  這個化學現象我也是看回來的
[00:00:59.200 --> 00:01:00.880]  在Christianity Today
[00:01:00.880 --> 00:01:03.200]  今天基督教
[00:01:03.200 --> 00:01:04.320]  有一篇文章寫
[00:01:04.320 --> 00:01:06.160]  跳禍的鹽 seasoned salt
[00:01:06.160 --> 00:01:07.760]  他說有一種叫做鈉
[00:01:07.760 --> 00:01:09.280]  鈉就是sodium
[00:01:09.280 --> 00:01:10.240]  大家都知道
[00:01:10.240 --> 00:01:11.600]  很活躍的
[00:01:11.600 --> 00:01:13.440]  如果你是懂science
[00:01:13.440 --> 00:01:14.240]  chemistry那些
[00:01:14.240 --> 00:01:15.520]  不要挑戰我
[00:01:15.520 --> 00:01:17.360]  我說了我不合格
[00:01:17.360 --> 00:01:18.640]  sodium很活躍的
[00:01:18.640 --> 00:01:22.160]  在自然界裡面幾乎不可以單獨存在
[00:01:22.160 --> 00:01:24.960]  總是要跟其他的元素結合
[00:01:24.960 --> 00:01:27.520]  另一種元素就是chlorine
[00:01:27.520 --> 00:01:28.560]  鹿
[00:01:28.560 --> 00:01:31.280]  是有毒的氣體
[00:01:31.280 --> 00:01:33.600]  就好像在漂白水裡面
[00:01:33.600 --> 00:01:37.840]  你一聞聞那種很刺鼻的成分就是鹿
[00:01:37.840 --> 00:01:39.920]  但原來當很奇妙的
[00:01:39.920 --> 00:01:43.760]  當鈉和鹿結合在一起
[00:01:43.760 --> 00:01:46.720]  就變成了sodium chloride
