
[00:00:00.000 --> 00:00:01.620]  弟兄 姐妹 平安
[00:00:01.620 --> 00:00:04.880]  復活節快樂
[00:00:04.880 --> 00:00:10.140]  我們今天應該是個很開心的日子
[00:00:10.140 --> 00:00:15.380]  因為我們的主耶穌復活了
[00:00:15.380 --> 00:00:20.080]  我們等一下再將這個喜樂的信息
[00:00:20.080 --> 00:00:22.800]  再詳細的來思考
[00:00:22.800 --> 00:00:28.360]  在沒有開始之前
[00:00:28.360 --> 00:00:30.440]  就讓我們在神的面前
[00:00:30.440 --> 00:00:33.240]  我們安靜的再次禱告
[00:00:33.240 --> 00:00:39.760]  親愛的聖天父
[00:00:39.760 --> 00:00:43.720]  我們從心底裏面去感謝祢
[00:00:43.720 --> 00:00:49.680]  因為祢讓耶穌基督復活了
[00:00:49.680 --> 00:00:54.040]  讓我們有不一樣的新生命
[00:00:54.040 --> 00:00:57.780]  現在我們在祢的面前
[00:00:57.780 --> 00:01:01.920]  蒙祢稱為是祢的兒女
[00:01:01.920 --> 00:01:09.600]  都是祢從創世之前為我們預備的恩典
[00:01:09.600 --> 00:01:16.080]  就讓我們從一個感恩和讚美
[00:01:16.080 --> 00:01:19.240]  和高興的心來到祢的面前的時候
[00:01:19.240 --> 00:01:25.920]  就讓我們今天聆聽祢的話
[00:01:27.920 --> 00:01:31.520]  追思主為我們復活
[00:01:31.520 --> 00:01:36.080]  就讓復活的新生命
[00:01:36.080 --> 00:01:40.700]  在我們每一個人當中不斷的成長
[00:01:40.700 --> 00:01:45.480]  讓聖靈掌管這個會場
[00:01:45.480 --> 00:01:48.760]  讓我們復活的主基督
[00:01:48.760 --> 00:01:50.800]  在這裏做我們的頭
[00:01:50.800 --> 00:01:57.360]  禱告是奉主耶穌基督的名字
[00:01:57.780 --> 00:01:59.200]  奉主耶穌基督的名字
[00:01:59.200 --> 00:02:00.200]  阿們
[00:02:00.200 --> 00:02:11.560]  剛才我們歡迎了一些新的朋友來到我們當中
[00:02:11.560 --> 00:02:14.120]  也有一些可能是很久沒來的
[00:02:14.120 --> 00:02:16.960]  今天回來聚會了
[00:02:16.960 --> 00:02:24.000]  在這裏也特別的歡迎你們
[00:02:26.000 --> 00:02:29.480]  願在基督裏面的平安和盼望
[00:02:29.480 --> 00:02:31.520]  常常充滿我們的心
[00:02:31.520 --> 00:02:38.800]  讓喜樂滿足我們的心
[00:02:38.800 --> 00:02:43.560]  但要說到復活節的時候
[00:02:43.560 --> 00:02:50.280]  我們不應該跟著時下流行的那種理解
[00:02:50.280 --> 00:02:53.920]  去對待復活節
[00:02:53.920 --> 00:02:57.800]  我們不應該跟著潮流的理解去對待復活節
[00:02:57.800 --> 00:03:00.760]  在商場裏面有很多人就用
[00:03:00.760 --> 00:03:06.280]  復活蛋、白兔、巧克力這些
[00:03:06.280 --> 00:03:09.600]  來提醒你這個是復活節
[00:03:09.600 --> 00:03:14.240]  在商場裏面我們見到很多人用朱古力蛋、復活蛋
[00:03:14.240 --> 00:03:17.520]  白兔來提醒大家現在是復活節了
[00:03:17.520 --> 00:03:21.800]  復活節不是一個消費的節日
[00:03:21.800 --> 00:03:24.680]  復活節其實不應該是一個消費的節日
[00:03:24.680 --> 00:03:27.560]  也不是在你忙碌的日程裏面
[00:03:27.560 --> 00:03:30.000]  一天的holiday break
[00:03:30.000 --> 00:03:32.880]  也不是在我們忙碌的日程裏面
[00:03:32.880 --> 00:03:35.560]  突然間有一天假期可以休息一下
[00:03:35.560 --> 00:03:40.840]  它的原意是紀念耶穌基督復活的一天
[00:03:40.840 --> 00:03:44.400]  它的原意就是紀念耶穌基督復活的一天
[00:03:44.400 --> 00:03:49.760]  在時下流行的世俗的風氣
[00:03:49.760 --> 00:03:52.000]  希望我們不要跟著這樣走
[00:03:52.000 --> 00:03:55.840]  我們希望大家不會跟著時下的風氣這樣走
[00:03:55.840 --> 00:03:58.160]  它也是要將我們的信仰
[00:03:58.160 --> 00:04:02.800]  修成為我們自己個人生活的小圈子
[00:04:02.800 --> 00:04:06.400]  時下的潮流是想將我們的信仰
[00:04:06.400 --> 00:04:09.840]  縮為一群小圈子的人的信仰
[00:04:09.840 --> 00:04:12.200]  就是只有我們自己知道
[00:04:12.200 --> 00:04:14.720]  但不想我們影響社區
[00:04:14.720 --> 00:04:16.960]  它們的原意就是想
[00:04:16.960 --> 00:04:21.000]  只是我們這群基督徒知道不要讓我們影響社區
[00:04:21.000 --> 00:04:24.520]  所以在復活節我再次提醒弟兄姐妹
[00:04:24.520 --> 00:04:31.200]  我們要常常為耶穌基督的名站起來
[00:04:31.200 --> 00:04:38.400]  用我們的言語和我們的生活見證
[00:04:38.400 --> 00:04:41.920]  向我們的鄰居來說明我們的信仰
[00:04:41.920 --> 00:04:51.960]  特別是要證明耶穌基督已經復活了
[00:04:51.960 --> 00:05:01.200]  我想今天我特別是要說三點
