
[00:00:00.000 --> 00:00:04.020]  掙扎 你問我 我都有很多掙扎
[00:00:04.020 --> 00:00:07.460]  我昨天都有一個掙扎
[00:00:07.460 --> 00:00:12.160]  昨天我去了一個喪禮
[00:00:12.160 --> 00:00:16.580]  不過我就沒有機會去到那個安石禮拜
[00:00:16.580 --> 00:00:21.060]  這個喪禮是一個中學同學
[00:00:21.060 --> 00:00:24.280]  而這個中學同學的先生
[00:00:24.280 --> 00:00:25.200]  也是我的中學同學
[00:00:25.200 --> 00:00:29.360]  就是他們兩個同級的 同級結婚
[00:00:29.360 --> 00:00:33.980]  因為她的先生是一個牧師
[00:00:33.980 --> 00:00:36.280]  他原本是教書的
[00:00:36.280 --> 00:00:38.280]  後來神呼召他
[00:00:38.280 --> 00:00:42.260]  由一個教書的老師去讀神學
[00:00:42.260 --> 00:00:45.560]  然後去做牧者
[00:00:45.560 --> 00:00:47.440]  是一個很好的牧者
[00:00:47.440 --> 00:00:50.160]  對我來說他是一個很好的牧者
[00:00:50.160 --> 00:00:51.700]  雖然未必很多人認識他
[00:00:51.700 --> 00:00:54.060]  在香港這個環境
[00:00:54.060 --> 00:00:57.160]  但是他對聖經那種嚴謹
[00:00:57.160 --> 00:01:04.560]  對學術那種的探求是非常細微
[00:01:04.560 --> 00:01:06.800]  我們讀中學的時候他已經是基督徒
[00:01:06.800 --> 00:01:08.600]  我讀中學的時候不是基督徒
[00:01:08.600 --> 00:01:10.600]  他已經是基督徒
[00:01:10.600 --> 00:01:13.640]  他一直在學校中學那邊成長
[00:01:13.640 --> 00:01:15.680]  一直都是在團契
[00:01:15.680 --> 00:01:17.940]  也經常跟我傳福音
[00:01:17.940 --> 00:01:21.700]  不過我就不信 因為我怎麼都不信
[00:01:21.700 --> 00:01:27.180]  但是他很愛我 很關心我
[00:01:27.180 --> 00:01:29.240]  我昨天才知道
[00:01:29.240 --> 00:01:35.480]  原來他過去四年有一個嚴重的抑鬱
[00:01:35.480 --> 00:01:39.120]  甚至他昨天太太的喪禮
[00:01:39.120 --> 00:01:42.840]  醫院原本不讓他出來
[00:01:42.840 --> 00:01:46.080]  但是因為他們家人哀哀
[00:01:46.080 --> 00:01:50.580]  都讓他先生去領堂看一看
[00:01:50.580 --> 00:01:52.660]  然後回到醫院
[00:01:52.660 --> 00:01:56.480]  當時我聽到他的兒子跟我說
[00:01:56.480 --> 00:02:00.460]  我心裏面很大的掙扎
[00:02:00.460 --> 00:02:02.180]  一個這麼好的牧者
[00:02:02.180 --> 00:02:06.720]  我說上帝 為什麼會有一個這樣的情況出現
[00:02:06.720 --> 00:02:08.860]  為什麼他這幾年
