
[00:00:00.000 --> 00:00:02.280]  歡迎大家來到我們的周到崇拜
[00:00:02.280 --> 00:00:07.440]  上年七月我們開始研讀新約聖經中的約翰福音
[00:00:07.440 --> 00:00:12.160]  我們說到系列的題目是「榮耀君王」
[00:00:12.160 --> 00:00:18.400]  我們花了半年的時間去完成了約翰福音第一章至第四章的宣講
[00:00:18.400 --> 00:00:24.080]  接著今年的一月份我們開始研讀約翰福音第五章
[00:00:24.080 --> 00:00:26.160]  約翰福音第五章開始的時候
[00:00:26.160 --> 00:00:31.720]  耶穌來到耶路撒冷在靠近羊門的不是大池那裡
[00:00:31.720 --> 00:00:36.000]  醫治了一個騎腿了三十八年的人
[00:00:36.000 --> 00:00:40.080]  然而你必須要知道這個不是一個普通的神蹟
[00:00:40.080 --> 00:00:44.000]  而是一個十字架救贖的記號
[00:00:44.000 --> 00:00:48.640]  故事當中一開始就會有上帝的羔羊
[00:00:48.640 --> 00:00:52.480]  耶穌是上帝的羔羊來到聖殿的羊門
[00:00:52.480 --> 00:00:59.680]  將要被獻上通過羊門的羊其實是要送去聖殿那裡作為贖罪祭
[00:00:59.680 --> 00:01:05.120]  圖畫裡面又有一個永生的活傳在那裡出現
[00:01:05.120 --> 00:01:10.720]  這個永生的活傳要拯救要等待著這個將要被人救贖的人
[00:01:10.720 --> 00:01:17.520]  在眾多的病人裡面耶穌選了一個騎腿了正正好三十八年的人
[00:01:17.520 --> 00:01:19.840]  不是因為這個人有信心
[00:01:19.840 --> 00:01:23.200]  又不是因為他特別可憐而是因為三十八年
[00:01:23.200 --> 00:01:26.400]  剛剛好就是以色列人出埃及之後
[00:01:26.400 --> 00:01:29.520]  叛逆不信上帝流浪曠野
[00:01:29.520 --> 00:01:32.720]  沒辦法進入上帝安息的年數
[00:01:32.720 --> 00:01:36.960]  於是耶穌其實是在畫一幅屬靈的圖畫
[00:01:36.960 --> 00:01:46.400]  祂說我來是要呼喚救贖復活帶領靈裡面叛逆癱瘓罪孽深重的以色列人
[00:01:46.400 --> 00:01:48.640]  因為三十八代表了以色列人
[00:01:48.640 --> 00:01:51.920]  這群以色列人他們需要上帝的拯救
[00:01:51.920 --> 00:01:54.640]  他們騎腿走不入安息
[00:01:54.640 --> 00:01:56.160]  我要使他們復活
[00:01:56.160 --> 00:01:58.160]  我要使他們得一個新生命
[00:01:58.160 --> 00:02:03.360]  接著我要帶他們進入上帝永恆的安息
[00:02:03.360 --> 00:02:05.040]  耶穌說當年
[00:02:05.040 --> 00:02:10.000]  大家都記得以色列人癱瘓不能進入上帝迦南地的安息
[00:02:10.000 --> 00:02:12.880]  是因為埃及的偶像
[00:02:12.880 --> 00:02:16.880]  於是耶穌對這個人說不要再犯罪
[00:02:16.880 --> 00:02:19.280]  其實意思是不要再回頭
[00:02:19.280 --> 00:02:22.400]  不要再貪戀埃及的偶像
[00:02:22.400 --> 00:02:27.520]  你卻要愛慕堅守上帝的安息
[00:02:27.520 --> 00:02:31.200]  要奔跑朝向永恆的天國
[00:02:31.200 --> 00:02:33.680]  不要貪戀埃及的偶像
[00:02:33.680 --> 00:02:38.880]  要向前奔跑朝向上帝永恆的天國
[00:02:38.880 --> 00:02:40.160]  接著耶穌又說
[00:02:40.160 --> 00:02:47.440]  這是聖父和聖子共同努力持續工作要達成的救贖計劃
[00:02:47.440 --> 00:02:51.120]  你開始明白耶穌先做了神蹟
[00:02:51.120 --> 00:02:52.960]  接著他要解釋神蹟
[00:02:52.960 --> 00:02:57.040]  其實後面的信蹟比前面的神蹟重要得太多
[00:02:57.040 --> 00:03:06.160]  然而耶穌的神蹟和解說並沒有受到猶太人的接納
[00:03:06.160 --> 00:03:08.640]  猶太人就是猶太人的領袖
[00:03:08.640 --> 00:03:12.880]  反而忍耐他們憤怒的逼迫
[00:03:12.880 --> 00:03:15.440]  並且要殺害他
[00:03:15.440 --> 00:03:19.040]  我們說耶穌的神蹟做神蹟容易
[00:03:19.040 --> 00:03:21.040]  但是傳福音很艱難
[00:03:21.040 --> 00:03:23.440]  一開口不是他夾著你
[00:03:23.440 --> 00:03:25.680]  一開口就被人罰他
[00:03:25.680 --> 00:03:27.440]  那些人要殺他
[00:03:27.440 --> 00:03:29.760]  接著耶穌就有機會自變
[00:03:29.760 --> 00:03:33.200]  他開始一個很長很長的獨白
[00:03:33.200 --> 00:03:36.000]  很多時候我們誤會以為耶穌的獨白
[00:03:36.000 --> 00:03:39.840]  其實是在獨罵其他要去審判他的人
[00:03:39.840 --> 00:03:41.280]  其實不是
[00:03:41.280 --> 00:03:42.720]  其實在獨白裡面
[00:03:42.720 --> 00:03:49.120]  耶穌給了很多提示讓他們知道救贖的道路在哪裡
[00:03:49.120 --> 00:03:51.040]  因為上帝愛世人
[00:03:51.040 --> 00:03:53.440]  因為上帝愛三八
[00:03:53.440 --> 00:03:57.440]  你記得那時候把約翰福音第三章數字改了
[00:03:57.440 --> 00:04:00.080]  三八代表了以色列因為上帝愛三八
[00:04:00.080 --> 00:04:02.720]  甚至將他的獨生子次級丹們
[00:04:02.720 --> 00:04:05.120]  叫一切相信的不致滅亡
[00:04:05.120 --> 00:04:06.000]  反德永生
[00:04:06.000 --> 00:04:09.120]  因為上帝差遣他的兒子到三八
[00:04:09.120 --> 00:04:10.560]  以色列人那裡來
[00:04:10.560 --> 00:04:12.480]  不是要定三八的罪
[00:04:12.480 --> 00:04:17.360]  而是要使三八因信他而得救
[00:04:17.360 --> 00:04:21.040]  於是在那個很長的審判當中
[00:04:21.040 --> 00:04:23.280]  耶穌基本上是被他們抓住了
[00:04:23.280 --> 00:04:25.280]  接著要受審判
[00:04:25.280 --> 00:04:28.160]  耶穌給了一個很長的獨白
[00:04:28.160 --> 00:04:32.480]  由第五章的十九節一直到第五章的四十七節
[00:04:32.480 --> 00:04:35.200]  總共二十九節的獨白
[00:04:35.200 --> 00:04:37.760]  當我們仔細去讀那個獨白的時候
[00:04:37.760 --> 00:04:42.080]  我們驚訝發現每一段都是慰著以色列人的好處
[00:04:42.080 --> 00:04:45.280]  其實是在給他們很多的引導
[00:04:45.280 --> 00:04:47.520]  叫他們一直跟著他的腳蹤
[00:04:47.520 --> 00:04:50.880]  有一天他們一定可以得到拯救
[00:04:50.880 --> 00:04:54.640]  這個是約翰福音第五章的訊息
[00:04:54.640 --> 00:04:56.960]  我怎樣去總結它呢
[00:04:56.960 --> 00:04:58.720]  不是地上的神蹟
[00:04:58.720 --> 00:05:01.040]  不要將故事變成地上的神蹟
[00:05:01.040 --> 00:05:03.040]  乃是天國的記號
[00:05:03.040 --> 00:05:05.040]  你一想地上的神蹟
[00:05:05.040 --> 00:05:07.040]  我也有差不多的病
[00:05:07.040 --> 00:05:09.040]  耶穌可不可以都搞定他呢
[00:05:09.040 --> 00:05:11.040]  我其實沒有他那麼嚴重
[00:05:11.040 --> 00:05:13.040]  沒有三十八年的
[00:05:13.040 --> 00:05:15.040]  他可以搞定的
[00:05:15.040 --> 00:05:17.040]  你不可以將他讀做一個地上的神蹟
[00:05:17.040 --> 00:05:19.040]  這個不是一個地上的神蹟
[00:05:19.040 --> 00:05:21.040]  是天國的記號
[00:05:21.040 --> 00:05:23.040]  耶穌所做的一切
[00:05:23.040 --> 00:05:25.040]  約翰福音所寫的一切
[00:05:25.040 --> 00:05:27.040]  不是叫我們眼看地上的神蹟
[00:05:27.040 --> 00:05:29.840]  而是要耳聽天國的教導
[00:05:29.840 --> 00:05:31.840]  不是用眼的
[00:05:31.840 --> 00:05:33.840]  天國是用耳朵
[00:05:33.840 --> 00:05:35.840]  去聆聽天國的教導
