
[00:00:00.000 --> 00:00:03.680]  在英國有一個有關快樂指數的調查發現
[00:00:03.680 --> 00:00:06.840]  香港人的快樂指數是遠遠低於
[00:00:06.840 --> 00:00:09.760]  非洲和拉丁美洲的國家
[00:00:09.760 --> 00:00:13.200]  人為什麼不開心呢?
[00:00:13.200 --> 00:00:16.520]  調查發現除了一些客觀因素
[00:00:16.520 --> 00:00:17.920]  例如樓價高
[00:00:17.920 --> 00:00:19.440]  工作時間長
[00:00:19.440 --> 00:00:21.440]  很多其他客觀因素之外
[00:00:21.440 --> 00:00:26.480]  最大的原因就是人與人之間的關係疏離
[00:00:26.480 --> 00:00:28.200]  什麼是疏離呢?
[00:00:28.200 --> 00:00:31.680]  我們每天接觸大量的人
[00:00:31.680 --> 00:00:34.320]  但沒有真正的友誼
[00:00:34.320 --> 00:00:35.200]  換句話說
[00:00:35.200 --> 00:00:38.560]  熱鬧但沒有知心的朋友
[00:00:38.560 --> 00:00:41.520]  為什麼無法建立真正的友誼呢?
[00:00:41.520 --> 00:00:43.520]  專家說有三個原因
[00:00:43.520 --> 00:00:44.760]  第一個原因
[00:00:44.760 --> 00:00:46.760]  自我防衛
[00:00:46.760 --> 00:00:49.560]  怕顯露真實的自己
[00:00:49.560 --> 00:00:51.400]  怕被人佔便宜
[00:00:51.400 --> 00:00:53.040]  怕被傷害
[00:00:53.040 --> 00:00:54.720]  於是收藏自己
[00:00:54.720 --> 00:00:58.040]  又或者無法面對真實的自我
[00:00:58.040 --> 00:00:59.440]  真實的自己
[00:00:59.440 --> 00:01:01.880]  所以每個人在接觸的時候
[00:01:01.880 --> 00:01:03.640]  但就戴著假面具
[00:01:03.640 --> 00:01:06.680]  人與人之間的相交很表面
[00:01:06.680 --> 00:01:08.040]  沒有心靈的接觸
[00:01:08.040 --> 00:01:09.200]  這是第一個原因
[00:01:09.200 --> 00:01:10.160]  第二個原因
[00:01:10.160 --> 00:01:12.160]  別有用心
[00:01:12.160 --> 00:01:13.840]  人與人之間的關係
[00:01:13.840 --> 00:01:16.720]  就成為達到某些目的的工具
[00:01:16.720 --> 00:01:20.000]  就是我們所說的利用價值
[00:01:20.000 --> 00:01:21.200]  我有一個朋友
[00:01:21.200 --> 00:01:22.360]  以前是做生意的
[00:01:22.360 --> 00:01:23.440]  交遊廣闊
[00:01:23.440 --> 00:01:24.800]  通街都是朋友
