
[00:00:00.000 --> 00:00:05.520]  我小時候就在港島的西營盤長大
[00:00:05.520 --> 00:00:08.880]  我小時候在港島區新營盤長大
[00:00:08.880 --> 00:00:10.880]  所以我很喜歡香港島
[00:00:10.880 --> 00:00:15.080]  所以我很喜歡香港那邊港島區的
[00:00:15.080 --> 00:00:19.880]  到那麼長時間我就會去港島那裡港島遊
[00:00:19.880 --> 00:00:24.360]  久不久我就去一趟港島區那邊逛一下
[00:00:24.360 --> 00:00:27.480]  我以前很喜歡去新界
[00:00:27.480 --> 00:00:29.480]  以前很喜歡去新界
[00:00:29.480 --> 00:00:34.920]  但是現在思念港島多一點
[00:00:34.920 --> 00:00:39.480]  但是現在確實四面港島區比較多一點
[00:00:39.480 --> 00:00:41.000]  其實香港很好的
[00:00:41.000 --> 00:00:42.280]  其實香港很好了是不是
[00:00:42.280 --> 00:00:44.080]  因為有山有水
[00:00:44.080 --> 00:00:45.240]  有山有水的
[00:00:45.240 --> 00:00:48.440]  當然我們其他地方都有山有水
[00:00:48.440 --> 00:00:50.800]  當然其他地方都有山有水
[00:00:50.800 --> 00:00:53.720]  但是我們那些都是鹹水 海水
[00:00:53.720 --> 00:00:58.360]  但是那些是鹹的水
[00:00:58.360 --> 00:01:02.600]  我小時候剛才講了
[00:01:02.600 --> 00:01:06.400]  在我記憶當中
[00:01:06.400 --> 00:01:10.600]  有一個身材很肥大的男孩子
[00:01:10.600 --> 00:01:17.400]  是令我很害怕的
[00:01:17.400 --> 00:01:21.120]  我相信他精神有問題
[00:01:21.120 --> 00:01:24.880]  他經常被人很討厭他就驅趕他
[00:01:24.880 --> 00:01:28.920]  他經常被人討厭人家都會驅趕他的
[00:01:28.920 --> 00:01:30.880]  我們叫他傻仔
[00:01:30.880 --> 00:01:34.040]  我們叫他做傻子
[00:01:34.040 --> 00:01:36.000]  我記得有一次
[00:01:36.000 --> 00:01:37.400]  我記得有一次
[00:01:37.400 --> 00:01:40.520]  他沒有頭髮的
[00:01:40.520 --> 00:01:41.760]  他沒有頭髮的
[00:01:41.760 --> 00:01:44.840]  上身又沒有穿衣服的
[00:01:44.840 --> 00:01:46.840]  赤裸上身
[00:01:46.840 --> 00:01:52.800]  就只是有一條鏈圈在他身上
[00:01:52.800 --> 00:01:55.880]  只有一條鏈圈掛在身上
[00:01:55.880 --> 00:01:57.360]  還有一些飾物
[00:01:57.360 --> 00:01:59.040]  還有一些書物
[00:01:59.040 --> 00:02:03.960]  走路起來都發出叮叮噹噹的聲音
[00:02:03.960 --> 00:02:12.400]  我當時在地下我爸爸的店鋪裡
[00:02:12.400 --> 00:02:17.400]  我當時就在我爸爸的店鋪裡面
[00:02:17.400 --> 00:02:21.680]  因為我爸爸是開一個士多仔
[00:02:21.680 --> 00:02:25.640]  我爸爸是開一個雜貨店
[00:02:25.640 --> 00:02:29.600]  他就衝進來
[00:02:29.600 --> 00:02:31.720]  他衝進來我的店鋪
[00:02:31.720 --> 00:02:34.400]  口那裡是流口水的
[00:02:34.400 --> 00:02:36.880]  在流口水
[00:02:36.880 --> 00:02:37.840]  砰砰砰砰砰
[00:02:37.840 --> 00:02:39.760]  衝進來我的店鋪
[00:02:39.760 --> 00:02:42.760]  氣沖沖的衝進來我的店鋪
