
[00:00:00.000 --> 00:00:04.280]  今日和大家討論的是星空奇遇
[00:00:04.280 --> 00:00:08.380]  即是星河之下的一種沉思
[00:00:08.380 --> 00:00:09.680]  當我六歲的時候
[00:00:09.680 --> 00:00:12.480]  我第一次注意到夕陽西下很美麗
[00:00:12.480 --> 00:00:16.280]  然後晚上當星宿出現的時候
[00:00:16.280 --> 00:00:21.340]  是很感動到那種天地的美
[00:00:21.340 --> 00:00:25.280]  特別是很深邃的看著天
[00:00:25.280 --> 00:00:28.280]  是為什麼有這一切
[00:00:28.280 --> 00:00:31.180]  為什麼宇宙這麼美麗
[00:00:31.180 --> 00:00:35.080]  這一切是不是宇宙有一個完美的價值
[00:00:35.080 --> 00:00:36.180]  但慢慢地長大
[00:00:36.180 --> 00:00:39.880]  我發覺人生為什麼有這麼多的痛苦
[00:00:39.880 --> 00:00:43.180]  這些痛苦人間的苦難
[00:00:43.180 --> 00:00:48.680]  是隱藏什麼的奧秘和什麼的出路
[00:00:48.680 --> 00:00:50.480]  我想起大衛的詩歌
[00:00:50.480 --> 00:00:52.580]  在詩篇第八篇
[00:00:52.580 --> 00:00:55.580]  他是去思考
[00:00:55.580 --> 00:00:59.780]  耶和華在天地你的命是多麼美
[00:00:59.780 --> 00:01:03.580]  我們逐步去看看他說的話
[00:01:03.580 --> 00:01:08.480]  其實他開始就是一個美學的沉思
[00:01:08.480 --> 00:01:09.880]  他耶和華是我們的主
[00:01:09.880 --> 00:01:13.380]  你的命在全地何其美
[00:01:13.380 --> 00:01:16.880]  你將你的榮耀彰顯於天
[00:01:16.880 --> 00:01:19.380]  其實耶和華就是上主的意思
[00:01:19.380 --> 00:01:23.480]  即是宇宙的最後一位主
[00:01:23.480 --> 00:01:27.880]  當我想到你的命其實真的多麼美
[00:01:27.880 --> 00:01:30.680]  因為天地的美彰顯了你
[00:01:30.680 --> 00:01:33.580]  天上的日月星宿
[00:01:33.580 --> 00:01:36.580]  顯示了你的榮耀
[00:01:36.580 --> 00:01:38.380]  夕陽的西下
[00:01:38.380 --> 00:01:42.680]  風圖拍岸的大海
[00:01:42.680 --> 00:01:46.380]  每一樣東西當我們去思考
[00:01:46.380 --> 00:01:48.380]  靜觀天地之大
[00:01:48.380 --> 00:01:50.480]  品類之盛
[00:01:50.480 --> 00:01:53.180]  生命的奧妙
[00:01:53.180 --> 00:01:56.580]  還有心靈的思考
[00:01:56.580 --> 00:01:57.580]  天地真是很大
[00:01:57.580 --> 00:02:01.280]  我們眼看的天地
[00:02:01.280 --> 00:02:05.380]  其實真的宇宙還遠比我們見的大
[00:02:05.380 --> 00:02:07.080]  俯拆這個大地
[00:02:07.080 --> 00:02:08.480]  那種生物的生長
[00:02:08.480 --> 00:02:10.980]  那種飛禽鳥獸
[00:02:10.980 --> 00:02:12.280]  那種蟲
[00:02:12.280 --> 00:02:14.080]  我小時候都看那些花
[00:02:14.080 --> 00:02:16.780]  看那些蟲很奇妙
[00:02:16.780 --> 00:02:19.680]  然後為何會有生命
[00:02:19.680 --> 00:02:21.680]  當那些花長大
[00:02:21.680 --> 00:02:23.880]  當那些動物長大
[00:02:23.880 --> 00:02:24.980]  還有我自己
[00:02:24.980 --> 00:02:26.580]  都有生命
[00:02:26.580 --> 00:02:28.680]  但更奇妙是有心靈
[00:02:28.680 --> 00:02:31.480]  我有個心靈去觀察這一切
[00:02:31.480 --> 00:02:33.880]  我去問為何會有天地茫茫
[00:02:33.880 --> 00:02:35.780]  我用理性去研究去思考
[00:02:35.780 --> 00:02:38.480]  所以我十幾歲已經看那些科學的書
[00:02:38.480 --> 00:02:41.480]  想了解多一點宇宙的奧秘
[00:02:41.480 --> 00:02:43.380]  然後我又看很多哲學的書
[00:02:43.380 --> 00:02:49.280]  去思考人的困難和苦難
[00:02:49.280 --> 00:02:52.180]  但最奇妙的是人有良知
[00:02:52.180 --> 00:02:53.480]  他會有惻隱之心
[00:02:53.480 --> 00:02:54.680]  他會見到他人痛苦
[00:02:54.680 --> 00:02:57.080]  他心中會安樂
[00:02:57.080 --> 00:03:02.180]  他又能夠去感受到天地那種美
[00:03:02.180 --> 00:03:05.180]  人見到一些東西他覺得美
[00:03:05.180 --> 00:03:07.680]  宇宙是一個很偉大的創造
[00:03:07.680 --> 00:03:09.380]  一個很優美的創造
[00:03:09.380 --> 00:03:10.880]  裡面我們去思考就是
[00:03:10.880 --> 00:03:14.380]  造物者的本質
[00:03:14.380 --> 00:03:18.880]  就是說造物者是何等的美善
[00:03:18.880 --> 00:03:21.280]  令人很驚異
[00:03:21.280 --> 00:03:28.080]  這種驚嘆其實是一種哲學的思想
[00:03:28.080 --> 00:03:31.080]  所以亞里士多德說人是有哲學的思想
[00:03:31.080 --> 00:03:33.680]  不過人用哲學去思考的時候
[00:03:33.680 --> 00:03:37.580]  他就會發現他如果真的讀哲學
