
[00:00:00.000 --> 00:00:04.320]  今天特別要講基督徒應該有的
[00:00:04.320 --> 00:00:05.680]  譬如說我第一次
[00:00:05.680 --> 00:00:09.080]  我說基督徒應該要有的純心
[00:00:09.080 --> 00:00:10.960]  我說我們要愛神愛人
[00:00:10.960 --> 00:00:12.160]  謙卑順服
[00:00:12.160 --> 00:00:13.520]  知足常樂
[00:00:13.520 --> 00:00:14.840]  忍賴寬容
[00:00:14.840 --> 00:00:16.880]  還有誠實溫柔
[00:00:16.880 --> 00:00:18.280]  這就好像聖經上面
[00:00:18.280 --> 00:00:19.680]  菲利比書說
[00:00:19.680 --> 00:00:22.000]  耶穌基督道成肉身
[00:00:22.000 --> 00:00:23.560]  降世為人
[00:00:23.560 --> 00:00:25.960]  取了奴僕的樣式
[00:00:25.960 --> 00:00:28.720]  且死在十字架上
[00:00:28.720 --> 00:00:31.000]  我們要這樣子的純心
[00:00:31.000 --> 00:00:32.920]  神大大的怨啊
[00:00:32.920 --> 00:00:34.800]  後來我又講了一次說
[00:00:34.800 --> 00:00:38.520]  我們基督徒應走的天路歷程
[00:00:38.520 --> 00:00:40.240]  Pilgrim Progress
[00:00:40.240 --> 00:00:43.040]  我就用約翰本能
[00:00:43.040 --> 00:00:44.840]  他的這本天路歷程
[00:00:44.840 --> 00:00:46.440]  我把它參數了一下
[00:00:46.440 --> 00:00:47.920]  把它延伸了一下
[00:00:47.920 --> 00:00:50.080]  我們基督徒在我們的生命中
[00:00:50.080 --> 00:00:51.840]  不要以為說我們受了洗
[00:00:51.840 --> 00:00:53.240]  覺得自信了主
[00:00:53.240 --> 00:00:55.040]  我們就等著上天堂
[00:00:55.040 --> 00:00:55.840]  No
[00:00:55.840 --> 00:00:56.960]  你要知道
[00:00:56.960 --> 00:00:59.720]  天路歷程有得救
[00:00:59.720 --> 00:01:00.520]  成聖
[00:01:00.520 --> 00:01:01.960]  還有得榮耀
[00:01:01.960 --> 00:01:04.120]  所以我們信的主旨是第一步
[00:01:04.120 --> 00:01:05.880]  我們還有一生之久
[00:01:05.880 --> 00:01:07.800]  我們要來成聖
[00:01:07.800 --> 00:01:11.480]  最後我們與神同在得榮耀
[00:01:11.480 --> 00:01:12.200]  感謝神
[00:01:12.200 --> 00:01:13.480]  讚美神
[00:01:13.480 --> 00:01:15.120]  上個月我講了
[00:01:15.120 --> 00:01:18.520]  基督徒應有的天國觀
