
[00:00:00.000 --> 00:00:05.700]  今天我們繼續一個新的講座系列
[00:00:05.700 --> 00:00:09.480]  今天第二講,就是「紅」加「黃」等於「橙」
[00:00:09.480 --> 00:00:14.280]  不知道上星期教會牧師有沒有解釋過什麼意思
[00:00:14.280 --> 00:00:16.940]  「紅」代表什麼?代表家庭
[00:00:16.940 --> 00:00:19.760]  「黃」代表教會
[00:00:19.760 --> 00:00:23.720]  帶給人盼望,加起來就是「橙」
[00:00:23.720 --> 00:00:28.680]  這是講到我們很希望教會能夠跟我們的家庭配得合作
[00:00:28.680 --> 00:00:31.440]  如何能夠讓我們的家庭幸福
[00:00:31.440 --> 00:00:34.560]  教會因為這樣的緣故能夠發展
[00:00:34.560 --> 00:00:37.840]  今天第二講是講一個很特別的題目
[00:00:37.840 --> 00:00:40.080]  教會很少聽,很少講
[00:00:40.080 --> 00:00:41.920]  就是「銀白的尊榮」
[00:00:41.920 --> 00:00:45.360]  今天講什麼呢?大家看來應該知道猜到我說什麼了
[00:00:45.360 --> 00:00:50.760]  「銀」和「白」是講我們老人家的頭髮開始變「銀」變「白」
[00:00:50.760 --> 00:00:53.360]  不過我發覺現在越來越少,為什麼呢?
[00:00:53.360 --> 00:00:55.640]  因為現在個色染髮
[00:00:55.640 --> 00:01:00.480]  但是我們知道其實我們當中有很多的長輩
[00:01:00.480 --> 00:01:03.960]  我們有沒有想過如何去榮耀我們的長輩呢?
[00:01:03.960 --> 00:01:15.320]  今年我和師母正式加入全美國46,665,000歲以上的人的行列
[00:01:15.320 --> 00:01:17.560]  我現在就做City Citizen
[00:01:17.560 --> 00:01:22.040]  回香港是兩塊錢,坐什麼車就搞定了
[00:01:22.040 --> 00:01:26.120]  其實這些感覺是有點複雜的
[00:01:26.120 --> 00:01:28.160]  就是別人覺得你老了
[00:01:28.160 --> 00:01:30.960]  有時候你又不是覺得自己這麼老
[00:01:30.960 --> 00:01:32.680]  大家有沒有看David Letterman
[00:01:32.680 --> 00:01:36.320]  David Letterman在晚上的講座,他現在已經退休了
[00:01:36.320 --> 00:01:37.880]  他講到退休的時候就說
[00:01:37.880 --> 00:01:40.120]  什麼能夠讓你覺得老呢?
