
[00:00:00.000 --> 00:00:02.500]  首先問大家一個問題
[00:00:02.500 --> 00:00:07.700]  教會有什麼聚會可能是最多未信的朋友參加的呢?
[00:00:07.700 --> 00:00:10.000]  可不可以給我們一些答案呢?
[00:00:10.000 --> 00:00:14.400]  報道會,好的,還有沒有呢?
[00:00:14.400 --> 00:00:21.200]  針禮,還有沒有呢?
[00:00:21.200 --> 00:00:26.700]  大旅行,這個答案是新的
[00:00:26.700 --> 00:00:34.500]  我又聽到有人說,聖誕晚會也是很多新朋友參加的
[00:00:34.500 --> 00:00:40.900]  我們去年的聖誕晚會,甚至也有呼召決志
[00:00:40.900 --> 00:00:46.000]  也有舉手或者走出來決志
[00:00:46.000 --> 00:00:49.000]  不過我心裡也覺得
[00:00:49.000 --> 00:00:53.800]  針禮也是相當多的未信朋友會出席
[00:00:53.800 --> 00:00:59.300]  原因就是受浸的弟兄姊妹也會邀請他們的家人
[00:00:59.300 --> 00:01:04.600]  可能是未信的朋友或同事一起參加浸禮
[00:01:04.600 --> 00:01:11.600]  在浸禮裡面,我們也會有一個莊嚴的儀式
[00:01:11.600 --> 00:01:17.600]  但是在教外,未認識主的人,他怎樣去看待這個浸禮呢?
[00:01:17.600 --> 00:01:21.600]  就好像一個入教的儀式
[00:01:23.600 --> 00:01:31.600]  所以通常入了教的人不會離教,也不會隨便退出
[00:01:31.600 --> 00:01:37.600]  所以他們覺得這個儀式很尊重和很重視
[00:01:37.600 --> 00:01:42.600]  不過不單止基督教有這個入教的儀式
[00:01:42.600 --> 00:01:46.600]  其實佛教也有入教的儀式
[00:01:46.600 --> 00:01:50.600]  他們叫做皈依,皈依三寶
[00:01:50.600 --> 00:01:53.600]  皈依的意思就是投靠
[00:01:53.600 --> 00:02:00.600]  他們就會宣誓皈依三寶成為正式的佛教徒
[00:02:00.600 --> 00:02:06.600]  其實佛教是很普遍的,在香港很多人都說是信佛教的
[00:02:06.600 --> 00:02:12.600]  譬如說去吃齋,或者去拜拜等等
[00:02:12.600 --> 00:02:18.600]  但是原來正式的佛教徒是需要皈依三寶
[00:02:18.600 --> 00:02:24.600]  皈依三寶是佛、佛和僧,即是僧人的僧
[00:02:24.600 --> 00:02:28.600]  佛是什麼呢?佛就是指皈依的人
[00:02:28.600 --> 00:02:33.600]  釋迦牟尼本身只是一個頓悟者
[00:02:33.600 --> 00:02:42.600]  他就是幫助人找到人在痛苦的生命中需要透過修煉進入涅槃的境界
[00:02:42.600 --> 00:02:47.600]  所以每一個人的目的,即是正信的佛教是希望成佛
[00:02:47.600 --> 00:02:51.600]  所以這個是憑著自己的努力
[00:02:51.600 --> 00:02:58.600]  憑著我們做很多的事幫助自己達成目標
[00:02:58.600 --> 00:03:01.600]  佛就是皈依的人
[00:03:01.600 --> 00:03:05.600]  佛是什麼呢?我們都聽過佛、佛無邊
[00:03:05.600 --> 00:03:09.600]  佛就代表佛家裏面的經典
[00:03:09.600 --> 00:03:14.600]  你知不知道,如果一個佛教徒很認真去讀他的經典
[00:03:14.600 --> 00:03:18.600]  可以說窮他一生都讀不完
[00:03:18.600 --> 00:03:24.600]  因為很多人去寫這些經典,因為他的歷史源遠流長
[00:03:24.600 --> 00:03:30.600]  另一方面,第三個就是僧
[00:03:30.600 --> 00:03:35.600]  僧是什麼呢?僧就是一個佛法的服務
[00:03:35.600 --> 00:03:38.600]  為眾生服務
[00:03:38.600 --> 00:03:44.600]  所以如果你去台灣聽過慈濟會、星雲大師
[00:03:44.600 --> 00:03:50.600]  其實他們是一個很大的企業
[00:03:50.600 --> 00:03:55.600]  他們有他們的電視台,他們有他們的社會服務
[00:03:55.600 --> 00:04:00.600]  佛教並不是我們所想像的這麼離世
[00:04:00.600 --> 00:04:03.600]  他們都非常入世
[00:04:03.600 --> 00:04:08.600]  所以在這三寶當中成為一個正信的佛教徒
[00:04:08.600 --> 00:04:15.600]  那我就問,如果我們基督教的入教儀式是一個朕禮的話
[00:04:15.600 --> 00:04:21.600]  那你可不可以用一句說話去表達朕禮的意義呢?
[00:04:21.600 --> 00:04:24.600]  可不可以試一下?
[00:04:24.600 --> 00:04:29.600]  給一些答案聽聽,一句說話
[00:04:29.600 --> 00:04:35.600]  與基督什麼?同死同埋葬同復活
[00:04:35.600 --> 00:04:39.600]  我相信大家應該都相當熟悉
[00:04:39.600 --> 00:04:43.600]  特別是很多經過受浸加入教會的弟兄姊妹
[00:04:43.600 --> 00:04:46.600]  所以我們也都明白
[00:04:46.600 --> 00:04:52.600]  差不多每一間教會對於受浸者都有一定的要求
[00:04:52.600 --> 00:04:57.600]  佛教也有三寶,我們也有一定的要求
[00:04:57.600 --> 00:05:01.600]  譬如說受浸,如果你要去受浸的話
[00:05:01.600 --> 00:05:07.600]  現在就需要有一些基本資格
[00:05:07.600 --> 00:05:09.600]  又考考你們了
[00:05:09.600 --> 00:05:14.600]  究竟我們入教會的基本資格是什麼呢?
[00:05:14.600 --> 00:05:16.600]  大家可不可以說一些呢?
[00:05:16.600 --> 00:05:18.600]  返小祖,還有呢?
[00:05:18.600 --> 00:05:22.600]  返崇拜,返小祖至少一年
[00:05:22.600 --> 00:05:29.600]  另外他們當然有一個叫受浸預備班
[00:05:29.600 --> 00:05:31.600]  或者叫浸禮班
[00:05:31.600 --> 00:05:33.600]  但不是立刻入浸禮班
