
[00:00:00.000 --> 00:00:02.840]  歡迎大家來到3月28號
[00:00:02.840 --> 00:00:06.800]  列斯環方堂十一週年的網絡主日崇拜
[00:00:06.800 --> 00:00:09.160]  我們首先再一次歡迎大家
[00:00:09.160 --> 00:00:11.220]  參與我們這個這麼特別的
[00:00:11.220 --> 00:00:14.200]  慶祝崇拜的感恩聚會
[00:00:14.200 --> 00:00:16.200]  今天我想和大家分享一個題目
[00:00:16.200 --> 00:00:18.900]  叫做「不一樣的人生」
[00:00:18.900 --> 00:00:20.520]  「不一樣的人生」
[00:00:20.520 --> 00:00:24.060]  經文是記載在《約書雅記》第十四章第六節
[00:00:24.060 --> 00:00:25.060]  聖經中說
[00:00:25.060 --> 00:00:29.380]  「那時猶大人來到吉甲建約書雅
[00:00:29.380 --> 00:00:35.400]  有基尼洗濁耶穌尼的兒子迦勒對約書雅說」
[00:00:35.400 --> 00:00:38.620]  到底迦勒是什麼人呢?
[00:00:38.620 --> 00:00:42.920]  如果我們讀《文書記》第十三章第六節
[00:00:42.920 --> 00:00:45.460]  那裏提到屬猶大之派的
[00:00:45.460 --> 00:00:48.480]  有耶穌尼的兒子迦勒
[00:00:48.480 --> 00:00:50.440]  這裏很清楚地告訴我們
[00:00:50.440 --> 00:00:53.600]  他是屬以色列猶大之派的
[00:00:53.600 --> 00:00:58.080]  《文書記》提到猶大之派迦勒這個人名
[00:00:58.080 --> 00:01:01.860]  其實是因爲他們要進去窺探迦南地
[00:01:01.860 --> 00:01:05.340]  爲了奪取神給他們的應許之地
[00:01:05.340 --> 00:01:08.200]  來做好作戰的準備
[00:01:08.200 --> 00:01:09.600]  所以十二個支派
[00:01:09.600 --> 00:01:11.780]  每一個支派就派一個代表
[00:01:11.780 --> 00:01:14.460]  猶大之派就派了迦勒
[00:01:14.460 --> 00:01:15.300]  你看看
[00:01:15.300 --> 00:01:20.500]  如果你留意在十三章第二到第三節
[00:01:20.500 --> 00:01:22.800]  這裏很清楚地告訴我們
[00:01:22.800 --> 00:01:26.420]  原來迦勒是被擁護成爲成族的首領
[00:01:26.420 --> 00:01:29.560]  他脫穎而出成爲成族的族長
[00:01:29.560 --> 00:01:31.280]  他是族裏最標籤的
[00:01:31.280 --> 00:01:34.180]  甚至可以說他是最屬靈的
[00:01:34.180 --> 00:01:36.420]  你說迦勒厲不厲害?
[00:01:36.420 --> 00:01:37.800]  不過我們要知道
[00:01:37.800 --> 00:01:40.980]  有兩件事情我們一定不可以忘記
[00:01:40.980 --> 00:01:45.380]  迦勒他除了是支派裏最標籤
[00:01:45.380 --> 00:01:48.920]  最出衆的族長領袖之外
[00:01:48.920 --> 00:01:52.140]  有兩件事情是我們絕對不可以忘記
