
[00:00:00.000 --> 00:00:03.740]  剛剛讀了聖經,就是保羅寫給提摩太太的
[00:00:03.740 --> 00:00:12.600]  提醒提摩太太,你對著一群老年的婦人,就好像父親
[00:00:12.600 --> 00:00:16.380]  對著一些老年的弟兄,又好像父親
[00:00:16.380 --> 00:00:22.060]  然後對著一些少年的,就好像弟弟一樣
[00:00:22.060 --> 00:00:25.820]  對著一些年輕的婦人,又好像姐妹一樣
[00:00:25.820 --> 00:00:28.560]  當我讀到這裡,我真的即時在想
[00:00:28.560 --> 00:00:32.720]  大家上了教會多久呢?
[00:00:32.720 --> 00:00:35.480]  有老有亂,有男有女
[00:00:35.480 --> 00:00:39.480]  一個簡單舉手的調查,看看我們在教會的資歷有多少
[00:00:39.480 --> 00:00:43.520]  想問一問,在座當中,如果你回來神主信仰堂
[00:00:43.520 --> 00:00:49.160]  跟我們聚會是三年或以下,不夠三年的
[00:00:49.160 --> 00:00:51.160]  三年或以下的
[00:00:51.160 --> 00:00:55.640]  給點掌聲,歡迎一下我們這些相對新的朋友
[00:00:55.640 --> 00:00:59.360]  你要明白一件事,做牧師很怕這些問題
[00:00:59.360 --> 00:01:04.040]  一年又沒有,又沒有的時候就很害怕,教會好像很沒有增長一樣
[00:01:04.040 --> 00:01:05.320]  很糟糕的
[00:01:05.320 --> 00:01:09.800]  我理解這裡有些是不夠一年的,有哪些不夠一年的?
[00:01:09.800 --> 00:01:15.960]  先給點掌聲,不是我強行拉高年紀,做三年比較容易過關
[00:01:15.960 --> 00:01:17.960]  有些都是一年不夠的
[00:01:17.960 --> 00:01:21.680]  有哪些弟兄姐妹是三年到十年都來了?
[00:01:21.680 --> 00:01:25.800]  舉手,三年到十年,比較多,給點掌聲弟兄姐妹
[00:01:25.800 --> 00:01:31.760]  不知不覺這三年到十年之間都有幾多弟兄姐妹來到我們群體裡面的人
[00:01:31.760 --> 00:01:35.240]  有哪些是十年以上的?希望你不介意
[00:01:35.240 --> 00:01:37.240]  舉一舉手
[00:01:37.240 --> 00:01:40.600]  十年以上的,很昂然的舉起手
[00:01:40.600 --> 00:01:43.160]  不論是蔡太或者施姐姐都好
[00:01:43.160 --> 00:01:45.840]  都是十年以上的,放手放手
[00:01:45.840 --> 00:01:50.760]  這樣舉就不是要搞到十年以上的難堪
[00:01:50.760 --> 00:01:56.760]  回來教會十年以上,不代表你是七老八十的
[00:01:56.760 --> 00:01:58.760]  對不對?不代表的
[00:01:58.760 --> 00:02:00.760]  所以施姐姐你也是很年輕的
[00:02:00.760 --> 00:02:03.680]  你也是,不過你是從小你媽媽帶你來教會
[00:02:03.680 --> 00:02:08.160]  我們就不再追問十年還是二十年,問下去也不是那麼好
[00:02:08.160 --> 00:02:10.160]  十年都夠了
[00:02:10.160 --> 00:02:12.160]  都做事了
[00:02:12.160 --> 00:02:17.040]  問下去的時候,又會有一樣東西是很麻煩的
[00:02:17.040 --> 00:02:22.760]  我們剛才保羅提醒題的那些老年人、少年人
[00:02:22.760 --> 00:02:28.000]  是計回來教會多久好?還是計他真實的年紀好?
[00:02:28.000 --> 00:02:31.360]  應該都是真實年紀的
[00:02:31.360 --> 00:02:35.360]  如果按照上文下理看,都應該是在看真實年紀的
[00:02:35.360 --> 00:02:37.360]  這個都沒有什麼走雞的
[00:02:37.360 --> 00:02:41.880]  當然也有些處境,有時又會是現實
[00:02:41.880 --> 00:02:45.320]  縱然年輕一點
[00:02:45.320 --> 00:02:49.320]  但是他又真的是在教會裡面日子長了一點
[00:02:49.320 --> 00:02:53.120]  正如昨天早堂崇拜,我又不敢這麼大聲說
[00:02:53.120 --> 00:02:56.480]  糟糕了,劉太,你昨天早堂來,今天又來,要聽我說兩次
[00:02:56.480 --> 00:02:58.480]  你證明我昨天沒有說那些話
[00:02:58.480 --> 00:03:00.480]  我昨天真的不敢說
[00:03:00.480 --> 00:03:02.480]  雖然大家年紀都比我大
[00:03:02.480 --> 00:03:06.960]  但是如果數回教會日子,我竟然是你老哥
[00:03:06.960 --> 00:03:09.800]  我真的不敢這麼囂張說話的
[00:03:09.800 --> 00:03:15.480]  事實上是真的,如果大家認識我們早堂班老幾
[00:03:15.480 --> 00:03:19.880]  有些都是我們父母,大部分都是我父母那一輩年紀的人
[00:03:19.880 --> 00:03:22.760]  但是進來教會信耶穌的日子
[00:03:22.760 --> 00:03:25.880]  數一數,原來自己又比他長了
