
[00:00:00.000 --> 00:00:05.000]  主持人:今天我們所讀經文的主角是《施洗約翰》,
[00:00:05.000 --> 00:00:09.000]  大家留意聖經裏面的記載有頗多約翰,
[00:00:09.000 --> 00:00:14.000]  有兩個我們特別熟悉,當然第一個就是使徒約翰,
[00:00:14.000 --> 00:00:18.000]  使徒約翰大家都知道是耶穌所挑選十二使徒之一,
[00:00:18.000 --> 00:00:23.000]  他們都是約翰福音和啟示錄的作者,
[00:00:23.000 --> 00:00:27.000]  而今天我們所看這段經文的主角約翰就是另外一個約翰,
[00:00:27.000 --> 00:00:30.000]  我們給他一個外號就是施洗約翰,
[00:00:30.000 --> 00:00:34.000]  如果我們將整本的聖經分為舊約與新約,
[00:00:34.000 --> 00:00:43.000]  如果我們用耶穌基督的舊因來做一個分開原則的時候,
[00:00:43.000 --> 00:00:49.000]  我們可以這樣來看,施洗約翰是舊約最後一個先知,
[00:00:49.000 --> 00:00:53.000]  因為當施洗約翰出來侍宮的時候,
[00:00:53.000 --> 00:00:56.000]  與耶穌的侍宮還未開始,
[00:00:56.000 --> 00:01:02.000]  我們更加準確地說施洗約翰的侍宮在耶穌之前,
[00:01:02.000 --> 00:01:09.000]  他的侍宮就是要預備主的道路,
[00:01:09.000 --> 00:01:15.000]  從另一個角度來看就是預備人的心去接受主耶穌基督的侍宮,
[00:01:15.000 --> 00:01:21.000]  約翰的侍宮並不是由他自己的血氣「我想這樣做」而做的,
[00:01:21.000 --> 00:01:24.000]  因為聖經很清楚,如果我們看第二節的時候,
[00:01:24.000 --> 00:01:27.000]  他講到當約翰在曠野地的時候,
[00:01:27.000 --> 00:01:31.000]  神的話語就臨到約翰,
[00:01:31.000 --> 00:01:36.000]  為什麼那個時候約翰在曠野呢?
[00:01:36.000 --> 00:01:38.000]  記得我不斷地鼓勵第二節節目,
[00:01:38.000 --> 00:01:40.000]  我們看聖經要看得很深入的時候,
[00:01:40.000 --> 00:01:42.000]  我們一定要經常問為什麼?
[00:01:42.000 --> 00:01:44.000]  為什麼約翰在那個時候在曠野?
[00:01:44.000 --> 00:01:50.000]  你也可以反過來問,為什麼那個時候約翰不可以在曠野呢?
[00:01:50.000 --> 00:01:54.000]  我們要去明白剛才我們所提的為什麼的時候,
[00:01:54.000 --> 00:01:57.000]  我們就要了解約翰的出身,
[00:01:57.000 --> 00:02:03.000]  大家聖經都告訴我們,約翰是撒加利亞的兒子,
[00:02:03.000 --> 00:02:06.000]  撒加利亞是當時的一個祭司,
[00:02:06.000 --> 00:02:09.000]  很明顯他們這個家族是利未之派,
[00:02:09.000 --> 00:02:13.000]  由於施洗約翰這個身份,
[00:02:13.000 --> 00:02:15.000]  我們可以大概想像得到,
[00:02:15.000 --> 00:02:21.000]  從小到大撒加利亞,即是約翰的父親,訓練他怎樣去做一個祭司,
[00:02:21.000 --> 00:02:24.000]  教他怎樣在聖殿裏面來服侍神,
[00:02:24.000 --> 00:02:28.000]  所以我們可以大概想像得到,
[00:02:28.000 --> 00:02:32.000]  他應該是在聖殿裏面服侍著的,
[00:02:32.000 --> 00:02:35.000]  應該是穿著祭司的禮服,
[00:02:35.000 --> 00:02:44.000]  或者是吃著專為祭司而設在聖殿裏面的餅和肉,
[00:02:44.000 --> 00:02:46.000]  但聖經不是這樣說,
