
[00:00:00.000 --> 00:00:02.000]  早晨 各位姐妹
[00:00:02.000 --> 00:00:05.120]  我今天特意選擇不戴耳機
[00:00:05.120 --> 00:00:06.440]  好一點的 是嗎
[00:00:06.440 --> 00:00:08.640]  先問大家一個問題
[00:00:08.640 --> 00:00:10.920]  有沒有人在這裡開車的
[00:00:10.920 --> 00:00:13.080]  可不可以舉舉手 看看
[00:00:13.080 --> 00:00:14.200]  是 開車的
[00:00:14.200 --> 00:00:16.080]  好 非常好
[00:00:16.080 --> 00:00:19.640]  請問你開什麼國家的車
[00:00:19.640 --> 00:00:20.840]  OK
[00:00:20.840 --> 00:00:23.200]  有沒有人開美國車的
[00:00:23.200 --> 00:00:24.600]  也有一些
[00:00:24.600 --> 00:00:28.320]  開中國的車的呢
[00:00:28.320 --> 00:00:29.640]  日本車的
[00:00:29.640 --> 00:00:31.360]  日本車的
[00:00:31.360 --> 00:00:33.760]  好像多一點
[00:00:33.760 --> 00:00:36.840]  我給大家看一張照片
[00:00:36.840 --> 00:00:39.280]  這一部不是真的我的車
[00:00:39.280 --> 00:00:42.640]  不過我是特意找同工幫我在網上找回
[00:00:42.640 --> 00:00:44.600]  96年的型號
[00:00:44.600 --> 00:00:47.480]  一個是福特的汽車
[00:00:47.480 --> 00:00:50.560]  我自己在加拿大和北美
[00:00:50.560 --> 00:00:53.120]  住了一段頗長的時間
[00:00:53.120 --> 00:00:55.440]  美國人和加拿大人很有趣的
[00:00:55.440 --> 00:00:57.960]  他們不一定買回自己本土的車
[00:00:57.960 --> 00:00:59.360]  為什麼
[00:00:59.360 --> 00:01:01.360]  因為美國車千萬不要買
[00:01:01.360 --> 00:01:02.920]  Friday出產的那些
[00:01:02.920 --> 00:01:04.000]  多數會有事的
[00:01:04.000 --> 00:01:05.760]  死得快一點
[00:01:05.760 --> 00:01:09.360]  反而他們喜歡開什麼車
[00:01:09.360 --> 00:01:10.400]  日本車
[00:01:10.400 --> 00:01:12.120]  日本車是省油
[00:01:12.120 --> 00:01:14.200]  而且是耐開
[00:01:14.200 --> 00:01:15.880]  很耐力
[00:01:15.880 --> 00:01:19.360]  當時我是開一部私家車
[00:01:19.360 --> 00:01:21.440]  我第一部車真的是美國車
[00:01:21.440 --> 00:01:22.560]  是新車
[00:01:22.560 --> 00:01:24.920]  誰知很快就有很多問題
[00:01:24.920 --> 00:01:26.760]  維修還慘過什麼
[00:01:26.760 --> 00:01:30.200]  後來人家介紹我開日本車
[00:01:30.200 --> 00:01:32.600]  嘩 開Corolla
[00:01:32.600 --> 00:01:34.080]  Camry
[00:01:34.080 --> 00:01:35.880]  我沒有抱怨
[00:01:35.880 --> 00:01:39.600]  真的很多煩惱就沒有了
[00:01:39.600 --> 00:01:40.720]  有一位弟兄
[00:01:40.720 --> 00:01:42.440]  當時他說牧師
[00:01:42.440 --> 00:01:45.040]  你平時周圍要去接老人家
[00:01:45.040 --> 00:01:47.160]  又有一個長者團契
[00:01:47.160 --> 00:01:49.160]  逢星期四我們有茶經
[00:01:49.160 --> 00:01:52.040]  要趕到又要和他們去飲茶
[00:01:52.040 --> 00:01:56.040]  牧師不如你不要開私家車了
[00:01:56.040 --> 00:01:57.880]  他是二手車的交易員
[00:01:57.880 --> 00:02:00.880]  他說牧師你買這部車很划算的
[00:02:00.880 --> 00:02:02.040]  這部是什麼呢
[00:02:02.040 --> 00:02:05.320]  就是福特旅行車
[00:02:05.320 --> 00:02:07.360]  我一聽完美國車
[00:02:07.360 --> 00:02:08.880]  不好了吧
[00:02:08.880 --> 00:02:09.840]  我說不好啊
[00:02:09.840 --> 00:02:12.120]  美國車一般般的
[00:02:12.120 --> 00:02:12.760]  他說不是
[00:02:12.760 --> 00:02:15.280]  牧師真的你要信我
[00:02:15.280 --> 00:02:16.560]  我信你什麼
[00:02:16.560 --> 00:02:19.600]  他說這部車外表就是美國牌子
[00:02:19.600 --> 00:02:21.960]  裡面的引擎是什麼
[00:02:21.960 --> 00:02:24.080]  是Mitsubishi
[00:02:24.080 --> 00:02:28.120]  三菱牌的引擎漂亮到不得了
[00:02:28.120 --> 00:02:29.320]  我說是你說的
[00:02:29.320 --> 00:02:30.200]  我相信你
[00:02:30.200 --> 00:02:32.560]  結果我們成交了
[00:02:32.560 --> 00:02:35.040]  一直開到我回來香港
[00:02:35.040 --> 00:02:36.800]  我都是開這個七人車
[00:02:36.800 --> 00:02:37.600]  沒事
[00:02:37.600 --> 00:02:38.760]  真的沒事
[00:02:38.760 --> 00:02:40.200]  我還離開的時候
[00:02:40.200 --> 00:02:44.200]  把這部車送給一個有需要的家庭
[00:02:44.200 --> 00:02:45.640]  他們也繼續開
[00:02:45.640 --> 00:02:46.680]  也沒事
[00:02:46.680 --> 00:02:48.400]  很耐開
[00:02:48.400 --> 00:02:51.000]  我想說什麼呢
[00:02:51.000 --> 00:02:55.800]  外表那樣東西跟你裡頭真實的東西
[00:02:55.800 --> 00:02:57.080]  你要搞清楚
[00:02:57.080 --> 00:02:59.760]  如果你今天說你是基督徒
[00:02:59.760 --> 00:03:03.840]  請問你內心那位主耶穌基督
[00:03:03.840 --> 00:03:07.800]  聖靈有沒有真正在你的生命裡面來工作
[00:03:07.800 --> 00:03:10.560]  還是你今天去跟隨主耶穌
[00:03:10.560 --> 00:03:12.640]  只不過是一個殼
[00:03:12.640 --> 00:03:14.680]  只不過是週末我回教會
[00:03:14.680 --> 00:03:16.880]  你平時跟他沒什麼關係
[00:03:16.880 --> 00:03:19.000]  或者你平時說我都不錯的
[00:03:19.000 --> 00:03:22.280]  我是一個相當好的基督徒
[00:03:22.280 --> 00:03:24.120]  我有讀聖經的
[00:03:24.120 --> 00:03:26.160]  我有祈禱的
[00:03:26.160 --> 00:03:28.560]  不過你的祈禱讀經
[00:03:28.560 --> 00:03:33.160]  是不是只是因為好像要應付林牧師呢
[00:03:33.160 --> 00:03:36.440]  我每逢星期四我開教睦同工會
[00:03:36.440 --> 00:03:38.320]  他們每個人都要寫一個報告
[00:03:38.320 --> 00:03:40.400]  而那個報告就是每個星期
[00:03:40.400 --> 00:03:42.640]  我特別在過去這一年開始
[00:03:42.640 --> 00:03:46.240]  就要他們寫你們有沒有靈獸
[00:03:46.240 --> 00:03:48.560]  讀聖經去祈禱
[00:03:48.560 --> 00:03:50.040]  這個是我們基本的
[00:03:50.040 --> 00:03:51.840]  跟上帝的一個關係
[00:03:51.840 --> 00:03:55.120]  但這個關係不是因為你要向我交代
[00:03:55.120 --> 00:03:58.440]  不是要向我負責什麼
[00:03:58.440 --> 00:04:00.640]  這個是很想鼓勵我們每一個同工
[00:04:00.640 --> 00:04:02.120]  包括每一個弟兄姊妹
[00:04:02.120 --> 00:04:04.080]  你要與我們這位主耶穌
[00:04:04.080 --> 00:04:06.960]  是一個很真實很親密的關係
[00:04:06.960 --> 00:04:08.400]  而這個關係是什麼
[00:04:08.400 --> 00:04:12.840]  是在你裡面的真理的聖靈住在你裡面
[00:04:12.840 --> 00:04:14.680]  祂感動你
[00:04:14.680 --> 00:04:17.560]  祂讓你經歷主耶穌的愛
[00:04:17.560 --> 00:04:19.720]  那份平安和真實
[00:04:19.720 --> 00:04:22.920]  祂會在你跌下去軟弱黑暗的時候
[00:04:22.920 --> 00:04:24.240]  祂會督責你
[00:04:24.240 --> 00:04:25.600]  祂會提醒你
[00:04:25.600 --> 00:04:27.640]  祂也會鼓勵你
