
[00:00:00.000 --> 00:00:06.700]  我哋喺最近同工會開會決定咗2017年嘅主題
[00:00:06.700 --> 00:00:10.800]  我哋立會22年從未試過用呢一類嘅主題
[00:00:10.800 --> 00:00:13.000]  我哋所以有新嘅突破
[00:00:13.000 --> 00:00:17.000]  我個主題同李家鼎講一聲係主必在內
[00:00:17.000 --> 00:00:18.500]  主必在內
[00:00:18.500 --> 00:00:20.000]  我哋見到喺聖經裏面
[00:00:20.000 --> 00:00:24.000]  今日嘅講章暫時會離開左耳馬萊利實現嘅嗰個系列
[00:00:24.000 --> 00:00:25.500]  我哋下禮拜會返返嚟
[00:00:25.500 --> 00:00:27.500]  但係因為我哋係會慶
[00:00:27.500 --> 00:00:31.500]  所以我哋要宣告2017年俾大家心理準備
[00:00:31.500 --> 00:00:34.000]  2017年將會我哋會嘅訊息會係咩
[00:00:34.000 --> 00:00:36.000]  我哋會建立啲乜嘢
[00:00:36.000 --> 00:00:38.000]  喺馬達方24章
[00:00:38.000 --> 00:00:42.000]  我哋冇可能今日用好短嘅時間講晒24章
[00:00:42.000 --> 00:00:46.000]  我哋只係能夠講咗耶穌關於末世完嘅部分
[00:00:46.000 --> 00:00:49.000]  喺第一第二節裏面耶穌咁講
[00:00:49.000 --> 00:00:51.000]  耶穌出咗聖殿正離開嘅時候
[00:00:51.000 --> 00:00:54.500]  門徒前來把聖殿嘅建築物指給他看
[00:00:54.500 --> 00:00:56.000]  點解要指俾佢睇呢
[00:00:56.000 --> 00:00:58.000]  因為當時以色列最輝煌
[00:00:58.000 --> 00:00:59.000]  最榮耀
[00:00:59.000 --> 00:01:02.000]  最宏偉嘅建築物就係聖殿
[00:01:02.000 --> 00:01:07.000]  第一聖殿所羅門所建係秘魯嘅時候被拆毀咗
[00:01:07.000 --> 00:01:13.000]  秘魯歸回喺索羅巴伯利米記起城牆
[00:01:13.000 --> 00:01:15.000]  跟住返去再起聖殿
[00:01:15.000 --> 00:01:17.000]  嗰陣時因為啱啱秘魯歸回
[00:01:17.000 --> 00:01:20.000]  物質唔富裕財富唔富裕重建聖殿
[00:01:20.000 --> 00:01:24.000]  只不過係好簡陋嘅係去建築
[00:01:24.000 --> 00:01:30.000]  直到以色列被由羅馬帝國統治成為咗殖民地
[00:01:30.000 --> 00:01:32.000]  香港人好明咩叫殖民地
[00:01:32.000 --> 00:01:34.000]  我係做過英國殖民地
[00:01:34.000 --> 00:01:37.000]  呢個羅馬帝國想討好猶太人
[00:01:37.000 --> 00:01:43.000]  所以希律王就係重新嘅去修飾呢個聖殿
[00:01:43.000 --> 00:01:45.000]  變成擴建宏偉
[00:01:45.000 --> 00:01:49.000]  甚至乎係石嘅上面鋪金
[00:01:49.000 --> 00:01:50.000]  想像下
[00:01:50.000 --> 00:01:52.000]  耶穌同門徒喺橄欖山
[00:01:52.000 --> 00:01:55.000]  而家我哋去到以色列嘅橄欖山
