
[00:00:00.000 --> 00:00:02.480]  (主席) 各位大兄姊妹早晨
[00:00:02.480 --> 00:00:06.000]  (主席) 星期六晚 星期日的崇拜
[00:00:06.000 --> 00:00:07.720]  (主席) 一路回來「美人堂」都知道
[00:00:07.720 --> 00:00:10.680]  (主席) 我在近期會講魔鬼如何誘惑我們
[00:00:10.680 --> 00:00:13.080]  (主席) 我們如何去抗拒撒旦
[00:00:13.080 --> 00:00:17.160]  (主席) 上星期開始會講已不鎖書的第六章
[00:00:17.160 --> 00:00:19.160]  (主席) 就是全副的軍裝
[00:00:19.160 --> 00:00:22.000]  (主席) 星期六的早堂崇拜
[00:00:22.000 --> 00:00:24.160]  (主席) 因為我一個月只講一次
[00:00:24.160 --> 00:00:25.640]  (主席) 已經講完了
[00:00:25.640 --> 00:00:27.760]  (主席) 即是尼希米基 比利前書
[00:00:27.760 --> 00:00:30.200]  (主席) 所以我現在一個系列會講
[00:00:30.200 --> 00:00:32.200]  (主席) 耶穌所講的比喻
[00:00:32.200 --> 00:00:34.200]  (主席) 那些比喻有時很簡單
[00:00:34.200 --> 00:00:36.200]  (主席) 但背後有很豐富的教導
[00:00:36.200 --> 00:00:37.720]  (主席) 值得我們去反思
[00:00:37.720 --> 00:00:40.200]  (主席) 我今天和大家去看的題目就是
[00:00:40.200 --> 00:00:42.520]  (主席) 同酬不同供
[00:00:42.520 --> 00:00:44.080]  (主席) 這是很令我們反感的
[00:00:44.080 --> 00:00:47.160]  (主席) 我們一直追求同工同酬
[00:00:47.160 --> 00:00:49.800]  (主席) 大家同樣做這樣的工作
[00:00:49.800 --> 00:00:52.080]  (主席) 但一個人工多些一個人工少些
[00:00:52.080 --> 00:00:54.720]  (主席) 我們會覺得非常非常不公平
[00:00:54.720 --> 00:00:57.640]  (主席) 為何會有同酬不同供這個比喻呢
[00:00:57.640 --> 00:01:01.480]  (主席) 不知道大家對我們所相信的神認識有多少
[00:01:01.480 --> 00:01:03.480]  (主席) 我相信大家都會很深知道
[00:01:03.480 --> 00:01:06.280]  (主席) 神是滿有恩典慈愛憐憫的神
[00:01:06.280 --> 00:01:07.680]  (主席) 這些很熟悉了
[00:01:07.680 --> 00:01:10.440]  (主席) 但怎樣來顯出神的恩典慈愛憐憫呢
[00:01:10.440 --> 00:01:13.520]  (主席) 我們先看看神自己的宣告透過的僕人
[00:01:13.520 --> 00:01:17.280]  (主席) 我們先讀詩篇145篇第8第9兩節
[00:01:17.280 --> 00:01:19.440]  (主席) 詩篇145篇第8第9兩節
[00:01:19.440 --> 00:01:21.240]  (主席) 在powerpoint裏我們可以齊流讀出
[00:01:21.240 --> 00:01:22.720]  (主席) 預備 1 2 3
[00:01:22.720 --> 00:01:28.840]  (主席) 耶和華有恩惠有憐憫 不輕易發怒 但有慈愛
[00:01:28.840 --> 00:01:34.680]  (主席) 耶和華善待萬民 他的慈悲 負備他一切所做的
