
[00:00:00.000 --> 00:00:05.540]  我們一同繼續來看耶穌基督所行的神蹟
[00:00:05.540 --> 00:00:07.820]  今天我們要看的第三個神蹟
[00:00:07.820 --> 00:00:11.900]  就是在《馬學福音》第一章二十一節開始
[00:00:11.900 --> 00:00:16.280]  耶穌驅趕邪靈的一個神蹟
[00:00:16.280 --> 00:00:18.820]  請聽我讀二十一節開始
[00:00:18.820 --> 00:00:20.500]  《馬學福音》第一章
[00:00:20.500 --> 00:00:25.120]  道列加伯隆耶穌就在安息日進了會堂教訓人
[00:00:25.120 --> 00:00:27.540]  眾人很稀奇他的教訓
[00:00:27.540 --> 00:00:33.340]  因為他教訓他們正像有權柄的人
[00:00:33.340 --> 00:00:34.740]  不像民事
[00:00:34.740 --> 00:00:38.420]  在會堂裡有一個人被污鬼附著
[00:00:38.420 --> 00:00:41.040]  他喊叫說:那撒勒人耶穌
[00:00:41.040 --> 00:00:43.640]  我們與祢有什麼相干?
[00:00:43.640 --> 00:00:46.100]  祢來滅我們嗎?
[00:00:46.100 --> 00:00:49.720]  我知道祢是誰,乃是神的聖者
[00:00:49.720 --> 00:00:52.680]  耶穌責備他說:不要作聖
[00:00:52.680 --> 00:00:55.040]  從這人身上出來吧
[00:00:55.040 --> 00:00:58.200]  污鬼叫那人抽了一陣風
[00:00:58.200 --> 00:01:01.240]  大聲喊叫就出來了
[00:01:01.240 --> 00:01:04.840]  眾人都驚訝以至彼此對問說
[00:01:04.840 --> 00:01:07.840]  這是什麼事?是個新道理
[00:01:07.840 --> 00:01:10.420]  他用權柄吩咐污鬼
[00:01:10.420 --> 00:01:14.140]  連污鬼也聽從了他
[00:01:14.140 --> 00:01:18.800]  耶穌的名聲就傳遍了加里尼的四方
[00:01:18.800 --> 00:01:25.720]  開始的時候說到耶穌去加伯隆的地方
[00:01:25.720 --> 00:01:28.440]  加伯隆的地方在加里尼
[00:01:28.440 --> 00:01:33.020]  耶穌基督在那撒勒的地方長大
[00:01:33.020 --> 00:01:34.920]  祂出來傳道的時候
[00:01:34.920 --> 00:01:37.500]  首先去到加伯隆的地方
[00:01:37.500 --> 00:01:42.000]  在那地方建立祂一個傳道的基地
[00:01:42.000 --> 00:01:47.440]  在基地那裡我們也看到祂有幾個門徒
[00:01:47.440 --> 00:01:50.740]  很可能就是這裡鄉下的人
[00:01:50.740 --> 00:01:55.000]  彼得、安德烈、雅各、約翰
[00:01:55.000 --> 00:01:58.180]  都在這地區出來的
[00:01:58.180 --> 00:02:02.480]  所以耶穌在那地方建立祂一個基地
[00:02:02.480 --> 00:02:05.080]  來開始祂的工作
[00:02:05.080 --> 00:02:07.020]  呼召門徒
[00:02:07.020 --> 00:02:11.200]  因為耶穌基督慢慢建立了祂的名聲
[00:02:11.200 --> 00:02:14.340]  所以這裡說安息日的時候
[00:02:14.340 --> 00:02:17.340]  祂進了會堂教訓人
[00:02:17.340 --> 00:02:20.060]  這就不像我們做牧師的
[00:02:20.060 --> 00:02:24.260]  進來九龍城浸信會站在講台上教訓人那麼簡單
[00:02:24.260 --> 00:02:29.400]  因為當時的會堂已經有管會堂的人
[00:02:29.400 --> 00:02:32.640]  有他們的長老
[00:02:32.640 --> 00:02:37.780]  有他們專責講道的人、教導的人
[00:02:37.780 --> 00:02:39.900]  耶穌是一個外人
[00:02:39.900 --> 00:02:41.840]  被邀請去那裡教導
[00:02:41.840 --> 00:02:44.860]  可以知道耶穌在那個時候
[00:02:44.860 --> 00:02:47.480]  因為祂的講道有權柄
[00:02:47.480 --> 00:02:49.820]  因為祂能夠醫病趕鬼
[00:02:49.820 --> 00:02:55.540]  周圍的人都蜂擁想去聽耶穌基督講道
[00:02:55.540 --> 00:02:58.600]  所以這裡說耶穌基督在安息日的時候
[00:02:58.600 --> 00:03:00.760]  進了會堂教訓人
[00:03:00.760 --> 00:03:03.160]  我們特別在這兩節聖經裡面
[00:03:03.160 --> 00:03:08.820]  留意到耶穌在那地方開始工作的時候
[00:03:08.820 --> 00:03:18.260]  祂要建立自己是一個怎樣形象的神的僕人呢?
[00:03:18.260 --> 00:03:20.360]  我們留意這兩節聖經
[00:03:20.360 --> 00:03:23.800]  三次提到祂的教導、祂的教訓
[00:03:23.800 --> 00:03:26.140]  而且祂的教導是有權柄的
[00:03:26.140 --> 00:03:28.240]  不像當時的文士
[00:03:28.240 --> 00:03:31.440]  當時文士、教導人怎樣教導呢?
[00:03:31.440 --> 00:03:33.140]  某某我的師父怎樣講
[00:03:33.140 --> 00:03:36.920]  某某當時他們不是神學家
[00:03:36.920 --> 00:03:39.620]  某某大的拉比
[00:03:39.620 --> 00:03:43.580]  祂講些什麼講些什麼
[00:03:43.580 --> 00:03:45.060]  就是說祂自己沒有權柄
[00:03:45.060 --> 00:03:48.720]  祂引用別人所講的說話
[00:03:48.720 --> 00:03:51.700]  但是耶穌來祂直接的教導
[00:03:51.700 --> 00:03:53.040]  因為祂是神
