
[00:00:00.000 --> 00:00:04.680]  我哋今日要講嘅題目係要緊接師母嘅分享見證
[00:00:04.680 --> 00:00:09.760]  亦都係緊接我哋上次講嘅神蹟奇事嘅一段嘅經文
[00:00:09.760 --> 00:00:12.800]  係講以馬來利嘅實現
[00:00:12.800 --> 00:00:16.000]  頭先你講神與你同在就係以馬來利
[00:00:16.000 --> 00:00:18.720]  再一次同你界定嗰聲祝你以馬來利
[00:00:18.720 --> 00:00:20.240]  祝你以馬來利
[00:00:20.240 --> 00:00:22.880]  我哋要先講一個嘅背景
[00:00:22.880 --> 00:00:25.040]  呢個背景要重複又重複
[00:00:25.040 --> 00:00:30.320]  因為我哋喺200年後嘅今日係承受咗呢個嘅後果
[00:00:30.320 --> 00:00:33.840]  喺19世紀開始即係1800年開始
[00:00:33.840 --> 00:00:35.840]  我哋嘅人民主義興起
[00:00:35.840 --> 00:00:39.600]  人民主義興起跟住有呢個嘅好多嘅影響
[00:00:39.600 --> 00:00:42.560]  無論係喺呢個嘅藝術上面
[00:00:42.560 --> 00:00:44.880]  如果你今日我哋唔會去啦
[00:00:44.880 --> 00:00:47.680]  法國旅行法國係好危險嘅地方
[00:00:47.680 --> 00:00:54.560]  喺嗰度我哋見到喺呢個嘅羅浮宮入面嘅文藝嘅作品
[00:00:54.560 --> 00:00:57.200]  好多嘅畫同埋雕塑
[00:00:57.200 --> 00:01:01.920]  喺呢個嘅文藝復興人民主義興起之前
[00:01:01.920 --> 00:01:08.320]  所有嘅畫都係畫耶穌啊耶穌畫聖母瑪利亞平面嘅
[00:01:08.320 --> 00:01:11.040]  但係人民主義興起之後
[00:01:11.040 --> 00:01:14.720]  所有嘅畫就開始有影像就有人影
[00:01:14.720 --> 00:01:17.200]  因為從人嘅角度去睇嘅
[00:01:17.200 --> 00:01:21.760]  人民主義嘅興起產生咗呢個嘅民粹主義
[00:01:21.760 --> 00:01:24.080]  我哋最近稱佢叫民粹主義
[00:01:24.080 --> 00:01:26.800]  所以人民話事係好緊要嘅
[00:01:26.800 --> 00:01:30.240]  所謂英國倫敦有公投
[00:01:30.240 --> 00:01:32.320]  而家已經進展200年後
[00:01:32.320 --> 00:01:35.360]  今日已經唔係人民話事咁簡單
[00:01:35.360 --> 00:01:40.320]  70年代美國興起咗呢個嘅新紀元運動
[00:01:40.320 --> 00:01:42.880]  人稱自己做神
[00:01:42.880 --> 00:01:47.280]  同你教練講一聲你就係神
[00:01:47.280 --> 00:01:50.640]  要透過我哋嘅決定
[00:01:50.640 --> 00:01:57.120]  鑑證最後嘅欣賞批判
[00:01:57.120 --> 00:02:00.480]  然後我決定鍾意做啲咩嘢
[00:02:00.480 --> 00:02:04.720]  你而家見到我哋香港年青一代每一個都係神
[00:02:04.720 --> 00:02:07.280]  你屋企有幾個係咪
[00:02:07.280 --> 00:02:09.040]  每一個都係神
[00:02:09.040 --> 00:02:10.480]  佢哋話事
