
[00:00:00.000 --> 00:00:02.800]  今天的題目是比較應節的
[00:00:02.800 --> 00:00:08.640]  2017年剛剛要過去了
[00:00:08.640 --> 00:00:11.920]  2018年就快到了
[00:00:11.920 --> 00:00:13.920]  新曆的2018年就到了
[00:00:13.920 --> 00:00:15.600]  農曆的2018年
[00:00:15.600 --> 00:00:17.600]  農曆今年叫什麼年呢?
[00:00:17.600 --> 00:00:19.600]  9年
[00:00:19.600 --> 00:00:21.600]  9年啊,OK
[00:00:21.600 --> 00:00:23.600]  我還以爲你告訴我
[00:00:23.600 --> 00:00:25.600]  今年那些什麼
[00:00:25.600 --> 00:00:29.600]  你知道中國那些曆法
[00:00:29.600 --> 00:00:31.600]  什麼謀術那些
[00:00:31.600 --> 00:00:33.600]  農曆還沒到
[00:00:33.600 --> 00:00:35.600]  也就是說新年快到了
[00:00:35.600 --> 00:00:37.600]  我就在想
[00:00:37.600 --> 00:00:39.600]  你記不記得那些世界名人
[00:00:39.600 --> 00:00:41.600]  我不是
[00:00:41.600 --> 00:00:43.600]  一年開始有些人出來
[00:00:43.600 --> 00:00:45.600]  就說今年有什麼願景
[00:00:45.600 --> 00:00:47.600]  或者有什麼願望
[00:00:47.600 --> 00:00:49.600]  有什麼字代表今年
[00:00:49.600 --> 00:00:51.600]  我想想
[00:00:51.600 --> 00:00:53.600]  我們基督徒也可以在聖經裏
[00:00:53.600 --> 00:00:55.600]  找一些我們今年希望
[00:00:55.600 --> 00:00:57.600]  神在我們生命裏
[00:00:57.600 --> 00:00:59.600]  做的事好不好
[00:00:59.600 --> 00:01:01.600]  所以送給大家今年的是
[00:01:01.600 --> 00:01:03.600]  感恩
[00:01:03.600 --> 00:01:05.600]  加上喜樂
[00:01:05.600 --> 00:01:07.600]  喜樂就是
[00:01:07.600 --> 00:01:09.600]  在心裏開心出來的
[00:01:09.600 --> 00:01:11.600]  不用有東西刺激你的
[00:01:11.600 --> 00:01:13.600]  你都可以很開心的
[00:01:13.600 --> 00:01:15.600]  今年送給大家感恩喜樂
[00:01:15.600 --> 00:01:17.600]  我送給你就沒意思了
[00:01:17.600 --> 00:01:19.600]  因爲我不能在你的生活裏
[00:01:19.600 --> 00:01:21.600]  幫你很開心的
[00:01:21.600 --> 00:01:23.600]  所以我就從聖經裏
[00:01:23.600 --> 00:01:25.600]  我們一起讀一下
[00:01:25.600 --> 00:01:27.600]  在"要"那裏
[00:01:27.600 --> 00:01:29.600]  然後就讀在後面
[00:01:29.600 --> 00:01:31.600]  十八字那裏好不好
[00:01:31.600 --> 00:01:33.600]  一二三
[00:01:33.600 --> 00:01:35.600]  要上上喜樂
[00:01:35.600 --> 00:01:37.600]  不住的禱告
[00:01:37.600 --> 00:01:39.600]  凡事借因
[00:01:39.600 --> 00:01:41.600]  因爲這是神在基督耶穌裏
[00:01:41.600 --> 00:01:43.600]  向你們所定的旨意
[00:01:43.600 --> 00:01:45.600]  向你們所定的旨意
[00:01:45.600 --> 00:01:47.600]  那麼
[00:01:47.600 --> 00:01:49.600]  將就撮要一下
[00:01:49.600 --> 00:01:51.600]  我們要上上喜樂
[00:01:51.600 --> 00:01:53.600]  我們要上上喜樂
[00:01:53.600 --> 00:01:55.600]  不住的禱告
[00:01:55.600 --> 00:01:57.600]  凡事借因
[00:01:57.600 --> 00:01:59.600]  基督徒一段時間都會明白這三句話
[00:01:59.600 --> 00:02:01.600]  基督徒一段時間都會明白這三句話
[00:02:01.600 --> 00:02:03.600]  我反而想說十八字裏
[00:02:03.600 --> 00:02:05.600]  我反而想說十八字裏
[00:02:05.600 --> 00:02:07.600]  因爲
[00:02:07.600 --> 00:02:09.600]  其實很難的
[00:02:09.600 --> 00:02:11.600]  其實很難的
[00:02:11.600 --> 00:02:13.600]  在你生活裏是一個常態
[00:02:13.600 --> 00:02:15.600]  在你生活裏是一個常態
[00:02:15.600 --> 00:02:17.600]  開心感恩祈禱
[00:02:17.600 --> 00:02:19.600]  開心感恩祈禱
[00:02:19.600 --> 00:02:21.600]  每一天每一分鐘
[00:02:21.600 --> 00:02:23.600]  每一分鐘
[00:02:23.600 --> 00:02:25.600]  每一個小時都會有這種心情
[00:02:25.600 --> 00:02:27.600]  每一個小時都會有這種心情
[00:02:27.600 --> 00:02:29.600]  可以嗎
[00:02:29.600 --> 00:02:31.600]  我想可以的人
[00:02:31.600 --> 00:02:33.600]  我真的要向他們多多學習
[00:02:33.600 --> 00:02:35.600]  因爲我們多數都會生氣
[00:02:35.600 --> 00:02:37.600]  都會生氣
[00:02:37.600 --> 00:02:39.600]  都會激氣
[00:02:39.600 --> 00:02:41.600]  都會失望
[00:02:41.600 --> 00:02:43.600]  都會很擔心
[00:02:43.600 --> 00:02:45.600]  反而那些是我們的常態
[00:02:45.600 --> 00:02:47.600]  但這裏說上上喜樂
[00:02:47.600 --> 00:02:49.600]  你不要停止禱告
[00:02:49.600 --> 00:02:51.600]  所以其實是一個很全面的
[00:02:51.600 --> 00:02:53.600]  所以其實是一個很全面的
[00:02:53.600 --> 00:02:57.600]  不要這麼快
[00:02:57.600 --> 00:02:59.600]  不要這麼快
[00:02:59.600 --> 00:03:01.600]  你信不信這句話
[00:03:01.600 --> 00:03:03.600]  你信不信這句話
[00:03:03.600 --> 00:03:05.600]  聖經說的
[00:03:05.600 --> 00:03:07.600]  並且
[00:03:07.600 --> 00:03:09.600]  這個是基督耶穌向你們所定的旨意
[00:03:09.600 --> 00:03:11.600]  這個是基督耶穌向你們所定的旨意
[00:03:11.600 --> 00:03:13.600]  即是說
[00:03:13.600 --> 00:03:15.600]  是神的旨意
[00:03:15.600 --> 00:03:17.600]  是神想你這樣
[00:03:17.600 --> 00:03:19.600]  是神想你這樣
[00:03:19.600 --> 00:03:21.600]  我看你們今早起來到現在
[00:03:21.600 --> 00:03:23.600]  你覺得開不開心
[00:03:23.600 --> 00:03:25.600]  不錯的了
