
[00:00:00.000 --> 00:00:03.000]  各位梁法堂的弟兄姊妹平安
[00:00:03.000 --> 00:00:08.000]  今天是在壽虎節和復活節節期中的這個週末
[00:00:08.000 --> 00:00:12.000]  在這個週末裏面的崇拜是很有意思的
[00:00:12.000 --> 00:00:16.000]  不知道大家有沒有試過追電視劇
[00:00:16.000 --> 00:00:19.000]  一直都是由頭追到尾
[00:00:19.000 --> 00:00:22.000]  追到最後那一集大結局
[00:00:22.000 --> 00:00:23.000]  是那天很興高采烈
[00:00:23.000 --> 00:00:27.000]  很期待這個峰迴路轉的劇情究竟是怎樣的收尾
[00:00:27.000 --> 00:00:31.000]  可惜那天偏偏沒有空,看不到那場大結局
[00:00:31.000 --> 00:00:32.000]  你會怎樣做呢?
[00:00:32.000 --> 00:00:38.000]  更加災難性的就是你發現周圍的人都看完劇集的結局了
[00:00:38.000 --> 00:00:40.000]  你會怎樣做呢?
[00:00:40.000 --> 00:00:45.000]  你會進去叫別人不要講,不要講劇情給我聽?
[00:00:45.000 --> 00:00:49.000]  又或者是你索性避開所有人
[00:00:49.000 --> 00:00:51.000]  不要跟他們講任何關於劇情的事情呢?
[00:00:51.000 --> 00:00:55.000]  我想大家都會想像到那個情況
[00:00:55.000 --> 00:00:57.000]  因為很怕被人劇透
[00:00:57.000 --> 00:01:00.000]  如果我知道了這個劇情的結局
[00:01:00.000 --> 00:01:02.000]  那真的會很無人
[00:01:02.000 --> 00:01:07.000]  無人的意思就是我沒有了對劇情的投入感和刺激感
[00:01:07.000 --> 00:01:10.000]  今天我們作為基督徒
[00:01:10.000 --> 00:01:14.000]  我們去看復活節這個節期
[00:01:14.000 --> 00:01:15.000]  或者是受護眼節
[00:01:15.000 --> 00:01:21.000]  去看耶穌基督這幾天裏面作成救贖的功這些日子
[00:01:21.000 --> 00:01:23.000]  我們會覺得很習以為常
[00:01:23.000 --> 00:01:25.000]  因為在我們的信仰裏面
[00:01:25.000 --> 00:01:29.000]  我們都會知道我們所信的耶穌就是
[00:01:29.000 --> 00:01:31.000]  受死埋葬,降在陰間
[00:01:31.000 --> 00:01:33.000]  第三天從死人中復活,升天
[00:01:33.000 --> 00:01:35.000]  這些我們都已經知道
[00:01:35.000 --> 00:01:37.000]  所以我們可能沒有什麼感覺
[00:01:37.000 --> 00:01:39.000]  覺得都是這樣
[00:01:39.000 --> 00:01:41.000]  都是禮看有假期
[00:01:41.000 --> 00:01:43.000]  都是我們會來崇拜
[00:01:43.000 --> 00:01:45.000]  我們會聽耶穌為我們的受苦
[00:01:45.000 --> 00:01:47.000]  愛我們的故事
[00:01:47.000 --> 00:01:49.000]  是的
[00:01:49.000 --> 00:01:52.000]  不過我們又公平一點去想
[00:01:52.000 --> 00:01:55.000]  平心如果看回歷史裏面
[00:01:55.000 --> 00:01:58.000]  當日這班門徒
[00:01:58.000 --> 00:02:02.000]  當日在耶穌受難的日子裏面
[00:02:02.000 --> 00:02:04.000]  當日看著耶穌基督
[00:02:04.000 --> 00:02:08.000]  是由聖周開始的時候
[00:02:08.000 --> 00:02:10.000]  是踏進耶路撒冷
[00:02:10.000 --> 00:02:13.000]  是被歡呼推舉
[00:02:13.000 --> 00:02:18.000]  成為以色列拯救他們的民族領袖的候選人
[00:02:18.000 --> 00:02:22.000]  但起了在七天之後
[00:02:22.000 --> 00:02:24.000]  在這個星期裏面
[00:02:24.000 --> 00:02:26.000]  情況竟然急轉直下到這樣
[00:02:26.000 --> 00:02:28.000]  由一個正壇的新星
[00:02:28.000 --> 00:02:30.000]  但他是最後七天之後
[00:02:30.000 --> 00:02:32.000]  就變成了一個階下囚
[00:02:32.000 --> 00:02:34.000]  變成了一個死囚
[00:02:34.000 --> 00:02:36.000]  最後是已在殘酷的十字架上
[00:02:36.000 --> 00:02:38.000]  去完成他這個人生
[00:02:38.000 --> 00:02:40.000]  這一件事
[00:02:40.000 --> 00:02:42.000]  在於當時的任何的人
[00:02:42.000 --> 00:02:44.000]  其實都很難消化
[00:02:44.000 --> 00:02:46.000]  所以難怪當時門徒
[00:02:46.000 --> 00:02:48.000]  他們四散
[00:02:48.000 --> 00:02:50.000]  到處避免被人大搜捕
[00:02:50.000 --> 00:02:52.000]  當時出賣耶穌的猶大
[00:02:52.000 --> 00:02:54.000]  更加是後悔
[00:02:54.000 --> 00:02:55.000]  更加是羞恥
[00:02:55.000 --> 00:02:56.000]  去到一個地步
[00:02:56.000 --> 00:02:58.000]  他是要吊頸自殺
[00:02:58.000 --> 00:03:00.000]  而當時還有那一班
[00:03:00.000 --> 00:03:04.000]  他們可能以為自己已經得到勝利
[00:03:04.000 --> 00:03:06.000]  能夠掌權逆轉這個局勢的
[00:03:06.000 --> 00:03:08.000]  百夫長、千夫長
[00:03:08.000 --> 00:03:11.000]  那一班的民事法律錯人
