
[00:00:00.000 --> 00:00:04.000]  多謝剛才主席讀到一段經文
[00:00:04.000 --> 00:00:08.160]  在《馬學福音》第六章三十二到四十四節
[00:00:08.160 --> 00:00:10.640]  一段大家很熟悉的經文
[00:00:10.640 --> 00:00:13.280]  其實就是在說五個餅、兩個魚
[00:00:13.280 --> 00:00:18.480]  神透過五個餅、兩個魚來餵飽最少五千個男士
[00:00:18.480 --> 00:00:24.480]  這段經文我想是我小時候在小學裡最印象最深刻的一段經文
[00:00:24.480 --> 00:00:26.960]  我想在當中很多弟姐妹都不是第一次讀
[00:00:26.960 --> 00:00:28.160]  已經讀了很多次
[00:00:28.160 --> 00:00:32.080]  但柏文透過這段經文讓我們重新思考
[00:00:32.080 --> 00:00:37.600]  特別在今個年度你們的猜拳年會
[00:00:37.600 --> 00:00:40.880]  猜拳月的主題叫做「往普天下去」
[00:00:40.880 --> 00:00:43.760]  我們怎樣藉著這段經文來明白到
[00:00:43.760 --> 00:00:47.360]  我們又可以怎樣往普天下去呢?
[00:00:47.360 --> 00:00:51.120]  是不是只有一些宣教士才可以往普天下去?
[00:00:51.120 --> 00:00:54.160]  究竟我們的使命、我們的責任
[00:00:54.160 --> 00:00:58.640]  是可以怎樣去回應當前的需要?
[00:00:58.640 --> 00:00:59.600]  聖經裡面說到
[00:00:59.600 --> 00:01:03.280]  剛才讀到的經文是說耶穌和門徒來坐船
[00:01:03.280 --> 00:01:06.080]  暗暗地去到曠野裡去
[00:01:06.080 --> 00:01:08.480]  但是為什麼耶穌要坐船呢?
[00:01:08.480 --> 00:01:11.040]  我們讀之前那一節
[00:01:11.040 --> 00:01:12.480]  六章三十一節
[00:01:12.480 --> 00:01:13.840]  我們就明白
[00:01:13.840 --> 00:01:17.200]  為什麼呢?
[00:01:17.200 --> 00:01:21.120]  因為很多人要去跟從耶穌
[00:01:21.120 --> 00:01:26.480]  聖經說:你們跟我暗暗地到曠野地方去掀一掀
[00:01:26.480 --> 00:01:28.640]  這是因為來往的人多
[00:01:28.640 --> 00:01:32.000]  他們連吃飯也沒有功夫
[00:01:32.000 --> 00:01:33.840]  很多人要去找耶穌
[00:01:33.840 --> 00:01:36.000]  因為要聽耶穌的教導
[00:01:36.000 --> 00:01:40.160]  所以耶穌忙到地步連吃飯的時間也沒有
[00:01:40.160 --> 00:01:42.160]  於是耶穌就跟門徒說
[00:01:42.160 --> 00:01:45.360]  不如我們去到曠野裡面去掀一掀
[00:01:45.360 --> 00:01:46.640]  休息一頓
[00:01:46.640 --> 00:01:49.200]  或者補充一些能量
[00:01:49.200 --> 00:01:52.880]  以致繼續有心力有體力的離開侍奉主
[00:01:52.880 --> 00:01:53.760]  因為這樣的緣故
[00:01:53.760 --> 00:01:55.840]  耶穌就去到曠野裡面
[00:01:55.840 --> 00:01:58.240]  誰知道其他人可能收到消息
[00:01:58.240 --> 00:02:00.400]  就知道耶穌要去曠野
[00:02:00.400 --> 00:02:02.880]  所以在六章第三十二節
[00:02:02.880 --> 00:02:05.520]  就說一群人要去跟從耶穌
[00:02:05.520 --> 00:02:07.920]  還比耶穌早到曠野的地方
[00:02:07.920 --> 00:02:10.880]  因為耶穌看到一群人在等候
[00:02:10.880 --> 00:02:14.400]  心靈裡有一種很饑渴的狀態
[00:02:14.400 --> 00:02:17.600]  於是聖經裡就形容耶穌去憐憫他們
[00:02:17.600 --> 00:02:22.480]  耶穌說他們好像羊沒有牧人一樣
[00:02:22.480 --> 00:02:25.440]  於是耶穌就開口教導他們
[00:02:25.440 --> 00:02:30.880]  牧羊人很多時候都會在羊群的前面
[00:02:30.880 --> 00:02:32.400]  做帶領的工作
[00:02:32.400 --> 00:02:34.720]  有時候牧羊人也會在後面
[00:02:34.720 --> 00:02:37.120]  趕羊群向前走
[00:02:37.120 --> 00:02:41.600]  但大部分時間都是在前面引導羊群
[00:02:41.600 --> 00:02:44.400]  帶領他們去找一些草地
[00:02:44.400 --> 00:02:47.120]  牧羊人也是要看顧羊群
