
[00:00:00.000 --> 00:00:02.680]  在1997年前的香港
[00:00:02.680 --> 00:00:05.800]  英國沒有給予香港民主
[00:00:05.800 --> 00:00:07.560]  但有給予香港自由
[00:00:07.560 --> 00:00:09.400]  但近幾十年的發展
[00:00:09.400 --> 00:00:14.520]  自由引伸了很多概念
[00:00:14.520 --> 00:00:18.200]  例如解放、釋放、平等等等
[00:00:18.200 --> 00:00:20.280]  我們享有自由
[00:00:20.280 --> 00:00:23.120]  基督徒是享有自由的一個群體
[00:00:23.120 --> 00:00:24.920]  特別在耶穌基督裡面
[00:00:24.920 --> 00:00:27.080]  我們真理得益於自由
[00:00:27.080 --> 00:00:30.680]  但在今天我們如何運用自由呢?
[00:00:30.680 --> 00:00:32.640]  讓我們一起從
[00:00:32.640 --> 00:00:36.400]  彼得後書二章十九到二十二節
[00:00:36.400 --> 00:00:40.120]  彼得後書二章十九到二十二節
[00:00:40.120 --> 00:00:42.280]  去思想三方面
[00:00:42.280 --> 00:00:46.240]  第一方面認清自由倡議者
[00:00:46.240 --> 00:00:50.240]  請會眾讀第十九節二章十九節
[00:00:50.240 --> 00:00:52.240]  一二三
[00:00:57.080 --> 00:01:04.200]  (朗讀)
[00:01:04.200 --> 00:01:08.280]  經文說到他們是指那些假教師
[00:01:08.280 --> 00:01:13.040]  彼得說到那些假教師倡議自由的概念
[00:01:13.040 --> 00:01:15.560]  但彼得特別在這段經文裡面
[00:01:15.560 --> 00:01:17.240]  用了兩個分詞
[00:01:17.240 --> 00:01:20.880]  去帶出那種強烈的對比
[00:01:20.880 --> 00:01:26.320]  就是說假教師允許人有自由
[00:01:26.320 --> 00:01:30.320]  但是他自己卻失去了自由
[00:01:30.320 --> 00:01:32.680]  成為了敗壞的奴隸
[00:01:32.680 --> 00:01:37.880]  但這裡不是說假教師虛偽
[00:01:37.880 --> 00:01:39.960]  說一套做另一套
[00:01:39.960 --> 00:01:40.920]  並不是這樣
[00:01:40.920 --> 00:01:44.720]  假教師自以為自己那一套信念
[00:01:44.720 --> 00:01:46.720]  能夠叫人得到自由
