
[00:00:00.000 --> 00:00:03.120]  我們今天繼續講我們的系列
[00:00:03.120 --> 00:00:07.320]  如何背起十字架來跟從耶穌基督
[00:00:07.320 --> 00:00:08.560]  如果你記得的話
[00:00:08.560 --> 00:00:11.860]  我上次是講門徒的標誌
[00:00:11.860 --> 00:00:14.940]  而第一個標誌我講的就是
[00:00:14.940 --> 00:00:17.540]  近似耶穌基督
[00:00:17.540 --> 00:00:21.200]  今天要講第二個標誌
[00:00:21.200 --> 00:00:24.260]  第二個標誌是什麼呢
[00:00:24.260 --> 00:00:25.860]  首先問下你們
[00:00:25.860 --> 00:00:31.980]  知不知道聖經裏面最常見的命令是什麼
[00:00:31.980 --> 00:00:36.540]  不是說要我們盡心盡意儘性來愛神
[00:00:36.540 --> 00:00:39.300]  不是說要我們不住禱告
[00:00:39.300 --> 00:00:42.660]  也不是說要我們尊一尊一來敬拜
[00:00:42.660 --> 00:00:44.900]  最常見的是什麼
[00:00:44.900 --> 00:00:49.260]  最常見的原來是
[00:00:49.260 --> 00:00:53.140]  最常見的是不要懼怕
[00:00:53.140 --> 00:01:00.380]  不要懼怕這個命令在聖經裏面出現了一共365次
[00:01:00.380 --> 00:01:03.660]  我們知道一年有多少天
[00:01:03.660 --> 00:01:06.540]  一年剛剛有365天
[00:01:06.540 --> 00:01:08.660]  就好像神跟我們說
[00:01:08.660 --> 00:01:11.780]  叫我們每天都不要懼怕
[00:01:11.780 --> 00:01:13.140]  很有趣
[00:01:13.140 --> 00:01:14.860]  耶穌基督
[00:01:14.860 --> 00:01:16.860]  他時時是跟門徒說
[00:01:16.860 --> 00:01:19.380]  叫門徒不要懼怕
[00:01:19.380 --> 00:01:20.500]  他跟門徒說
[00:01:20.500 --> 00:01:22.500]  你們不要憂愁
[00:01:22.500 --> 00:01:24.740]  也不要膽怯
[00:01:24.740 --> 00:01:27.060]  在耶穌基督釘十字架之後
[00:01:27.060 --> 00:01:28.540]  復活之後
[00:01:28.540 --> 00:01:30.580]  他向門徒顯現
[00:01:30.580 --> 00:01:33.540]  他說不要害怕
[00:01:33.540 --> 00:01:35.100]  在今天的經文
[00:01:35.100 --> 00:01:37.980]  《馬太福音》十章二十六節
[00:01:37.980 --> 00:01:40.540]  二十八節和三十一節
[00:01:40.540 --> 00:01:45.980]  三次耶穌基督提到叫我們不要懼怕
[00:01:45.980 --> 00:01:51.180]  所以不要懼怕真的是一個很重要的命令
[00:01:51.180 --> 00:01:53.900]  可以下一章嗎
[00:01:53.900 --> 00:01:56.020]  我時時和大家說
[00:01:56.020 --> 00:01:57.300]  如果你們認識我的話
[00:01:57.300 --> 00:02:01.940]  你都知道我很喜歡講聖經經文的結構
[00:02:01.940 --> 00:02:04.340]  和大家說過很多首尾對牛
[00:02:04.340 --> 00:02:06.660]  說到你們可能都聽悶了
[00:02:06.660 --> 00:02:09.660]  經常說像是片皮鴨
[00:02:09.660 --> 00:02:12.460]  五節的經文第一節和第五節
[00:02:12.460 --> 00:02:15.100]  一頭一尾是有連帶的關係
[00:02:15.100 --> 00:02:18.460]  好像片皮鴨外面的包
[00:02:18.460 --> 00:02:22.100]  第二第四節的經文又是有連帶的關係
[00:02:22.100 --> 00:02:23.980]  就好像蔥花
[00:02:23.980 --> 00:02:26.820]  好像海鮮醬
[00:02:26.820 --> 00:02:30.540]  兩邊包着中間那塊最好喫的是什麼
[00:02:30.540 --> 00:02:32.140]  第三節的經文
[00:02:32.140 --> 00:02:34.900]  就是最重要的經文也是最好喫
[00:02:34.900 --> 00:02:38.420]  所以講了很多首尾的結構
[00:02:38.420 --> 00:02:40.620]  今天不和你們講首尾結構
[00:02:40.620 --> 00:02:43.420]  和你們講一下平衡的結構
[00:02:43.420 --> 00:02:44.980]  平衡的對牛
[00:02:44.980 --> 00:02:49.740]  平衡的對牛我覺得好像一層樓梯一樣
[00:02:49.740 --> 00:02:51.700]  一層樓梯有三級
[00:02:51.700 --> 00:02:53.020]  第一級是A
[00:02:53.020 --> 00:02:54.620]  中間的級是B
[00:02:54.620 --> 00:02:56.620]  第三級是C
[00:02:56.620 --> 00:03:00.940]  有一級的樓梯和另外的三級樓梯
[00:03:00.940 --> 00:03:02.460]  又是ABC
[00:03:02.460 --> 00:03:05.540]  有一個平衡的對牛
[00:03:05.540 --> 00:03:09.540]  最高那層樓梯的A和另外那層樓梯的A
[00:03:09.540 --> 00:03:11.580]  有很相似的經文
[00:03:11.580 --> 00:03:15.260]  在中間那層樓梯的B和另外那層樓梯的B
[00:03:15.260 --> 00:03:17.500]  又有很相似的經文
[00:03:17.500 --> 00:03:19.380]  第三層C和C
[00:03:19.380 --> 00:03:22.020]  又是有很相似的經文
[00:03:22.020 --> 00:03:25.420]  我們見到今天的經文就是
[00:03:25.420 --> 00:03:28.940]  《馬太福音》十章二十六至三十一節
[00:03:28.940 --> 00:03:31.700]  是叫我們不要懼怕
[00:03:31.700 --> 00:03:33.980]  下一章
[00:03:33.980 --> 00:03:39.020]  和上一次的經文有連帶的關係
[00:03:39.020 --> 00:03:41.420]  上一次是《馬太福音》十章
[00:03:41.420 --> 00:03:44.180]  十八至二十三節
[00:03:44.180 --> 00:03:49.660]  是講到耶穌基督是將門徒送出去
[00:03:49.660 --> 00:03:52.900]  就好像是送羊入狼羣一樣
[00:03:52.900 --> 00:03:57.980]  原來和那個樓梯有平衡的對牛
[00:03:57.980 --> 00:04:02.220]  我們先看看第一級樓梯相似的地方在哪裏
[00:04:02.220 --> 00:04:04.540]  第一級樓梯相似的地方
[00:04:04.540 --> 00:04:07.740]  是和講的話語有關
[00:04:07.740 --> 00:04:10.340]  記不記得耶穌基督送了門徒出去
[00:04:10.340 --> 00:04:12.420]  門徒也擔心
[00:04:12.420 --> 00:04:15.300]  我們應該講什麼說話好呢
[00:04:15.300 --> 00:04:16.580]  耶穌基督說什麼
[00:04:16.580 --> 00:04:19.340]  「不要思慮怎樣說話
[00:04:19.340 --> 00:04:20.980]  或說什麼話
[00:04:20.980 --> 00:04:24.780]  到那時候必次給你們當說的話」
[00:04:24.780 --> 00:04:28.180]  這是《馬太福音》十章十九節
[00:04:28.180 --> 00:04:32.340]  走回頭一張
[00:04:32.340 --> 00:04:34.620]  和今天的經文
[00:04:34.620 --> 00:04:36.340]  在第一級樓梯
[00:04:36.340 --> 00:04:39.420]  在《馬太福音》十章十九節
[00:04:39.420 --> 00:04:40.940]  經文說什麼
[00:04:40.940 --> 00:04:41.540]  不是
[00:04:41.540 --> 00:04:43.980]  十章是二十七節
[00:04:43.980 --> 00:04:44.820]  經文說
[00:04:44.820 --> 00:04:49.460]  「我在暗中告訴你們
[00:04:49.460 --> 00:04:52.100]  你們要在明處說出來
[00:04:52.100 --> 00:04:53.940]  你們耳中所聽的
[00:04:53.940 --> 00:04:56.940]  要在房上宣揚出來」
[00:04:56.940 --> 00:04:58.780]  上一次耶穌基督說
[00:04:58.780 --> 00:05:02.140]  你們不要思慮應該說什麼話
[00:05:02.140 --> 00:05:03.180]  爲什麼
[00:05:03.180 --> 00:05:04.940]  原來耶穌基督說
[00:05:04.940 --> 00:05:09.740]  「我平時在暗底裏在私底下和你們說的話
