
[00:00:00.000 --> 00:00:02.400]  鼎姐妹,平安!
[00:00:02.400 --> 00:00:06.640]  在近來香港面對很多動盪的當中
[00:00:06.640 --> 00:00:10.140]  有很多令人傷感的事情不斷地發生
[00:00:10.140 --> 00:00:14.580]  更加顯得「平安」這兩個字的珍貴
[00:00:14.580 --> 00:00:17.340]  在動盪的裡面
[00:00:17.340 --> 00:00:20.540]  人很多時候會感到很徬徨
[00:00:20.540 --> 00:00:23.400]  有不少人或者你都認識
[00:00:23.400 --> 00:00:27.980]  甚至可能在想要移民這樣的事情
[00:00:29.220 --> 00:00:33.040]  人似乎安全感漸漸地失去
[00:00:33.040 --> 00:00:35.900]  鼎姐妹,其實紛亂的社會
[00:00:35.900 --> 00:00:39.440]  不單單是在香港來見得到
[00:00:39.440 --> 00:00:42.240]  如果你有留意國際新聞的時候
[00:00:42.240 --> 00:00:46.500]  你會發覺原來不少的國家、不少的地區
[00:00:46.500 --> 00:00:51.860]  在今時今日仍然活在戰火、活在戰亂的當中
[00:00:51.860 --> 00:00:55.580]  根據聯合國難民公署的數字
[00:00:55.580 --> 00:01:02.020]  現在在全球有六千八百多萬的難民
[00:01:02.020 --> 00:01:04.740]  差不多是十個香港的人口
[00:01:04.740 --> 00:01:06.520]  他們因為不同的原因
[00:01:06.520 --> 00:01:08.640]  可能是戰亂、可能是不同的逼迫
[00:01:08.640 --> 00:01:10.340]  他們流離失所
[00:01:10.340 --> 00:01:13.320]  被迫要離開自己的家園
[00:01:13.320 --> 00:01:18.260]  鼎姐妹,在動盪不安的世代裡面
[00:01:18.260 --> 00:01:19.980]  我們特別作為神的子民
[00:01:19.980 --> 00:01:23.500]  我們應該怎樣去面對
[00:01:23.900 --> 00:01:29.600]  究竟什麼才是我們真實的盼望和倚靠呢?
[00:01:29.600 --> 00:01:34.560]  今天我們繼續一同來看馬可福音的訊息
[00:01:34.560 --> 00:01:36.900]  今天我們來到第十三章
[00:01:36.900 --> 00:01:41.000]  是一段講述關於亂世的經文
[00:01:41.000 --> 00:01:44.620]  經文在十三章一至二十三節
[00:01:44.620 --> 00:01:51.100]  第十三章這一章的經文在馬可福音裡面的位置很特別
[00:01:51.100 --> 00:01:58.520]  是耶穌傳道和祂預備去受難之間的一個轉折點
[00:01:58.520 --> 00:02:02.100]  一般稱為「橄欖山講論」
[00:02:02.100 --> 00:02:07.180]  在馬太福音二十四章和路加福音二十一章
[00:02:07.180 --> 00:02:09.600]  都有平衡的記載
[00:02:09.600 --> 00:02:11.800]  有一些的看法認為
[00:02:11.800 --> 00:02:14.680]  這裡我們剛才所讀的這段經文
[00:02:14.680 --> 00:02:19.300]  是耶穌去預言主再來的時候
[00:02:19.300 --> 00:02:22.200]  一些的預兆和一些的情景
[00:02:22.200 --> 00:02:26.100]  不過其實這一段經文主要的意思
[00:02:26.100 --> 00:02:30.340]  是要描述將要在大概在主後七十年的時候
[00:02:30.340 --> 00:02:31.540]  一個的災難
[00:02:31.540 --> 00:02:36.380]  是羅馬的軍隊將要來進攻耶路撒冷
[00:02:36.380 --> 00:02:37.860]  要攻打猶太人
[00:02:37.860 --> 00:02:41.800]  並且將聖殿來去摧毀
[00:02:41.800 --> 00:02:45.900]  同時間也有很多的天災人禍的發生
[00:02:45.900 --> 00:02:48.600]  耶穌祂要提醒門徒
[00:02:48.600 --> 00:02:51.320]  在災難臨到的時候
[00:02:51.320 --> 00:02:53.160]  應該怎樣來自處
[00:02:53.160 --> 00:02:56.180]  應該保持怎樣的態度
[00:02:56.180 --> 00:03:00.560]  十三章的經文我們剛才讀到二十三節
[00:03:00.560 --> 00:03:04.420]  下半部分二十四到三十七節將來會再講的
[00:03:04.420 --> 00:03:08.680]  是比較明顯講到將來末世的情況
[00:03:08.680 --> 00:03:12.360]  主再來的時候
[00:03:12.360 --> 00:03:13.780]  情況是怎樣
[00:03:13.780 --> 00:03:16.320]  主再來的日子
[00:03:16.320 --> 00:03:20.760]  只有父知道,連子也不知道
[00:03:20.760 --> 00:03:23.380]  因此人如果要去揣摩
[00:03:23.380 --> 00:03:26.560]  要去預測有什麼預兆來推算的時候
[00:03:26.560 --> 00:03:29.440]  其實都是誤服誤中附居
[00:03:29.440 --> 00:03:33.580]  聖經講到主再來的時候
[00:03:33.580 --> 00:03:36.180]  重點往往給我們的
[00:03:36.180 --> 00:03:38.360]  是我們要警醒
[00:03:38.360 --> 00:03:42.520]  警醒預備主再來的日子
[00:03:42.520 --> 00:03:45.080]  剛才所讀的經文一開始
[00:03:45.080 --> 00:03:47.400]  描述了一個門徒
[00:03:47.400 --> 00:03:52.140]  可能他無意中講了一句愚昧的說話
[00:03:52.140 --> 00:03:53.800]  在第一節這樣說
[00:03:53.800 --> 00:03:58.940]  「夫子,請看,這是何等的石頭,何等的電雨?」
[00:03:58.940 --> 00:04:00.500]  當時的場景就是
[00:04:00.500 --> 00:04:05.180]  耶穌和門徒剛剛從聖殿走出來
[00:04:05.180 --> 00:04:08.580]  在這個時候門徒回頭一望
[00:04:08.580 --> 00:04:11.680]  看見一個很宏偉的建築
[00:04:11.680 --> 00:04:13.620]  望而生畏
[00:04:13.620 --> 00:04:15.100]  都很難怪的
[00:04:15.100 --> 00:04:17.980]  根據一些記載
[00:04:17.980 --> 00:04:22.460]  這個聖殿的基石很大,很宏偉
