
[00:00:00.000 --> 00:00:01.680]  各位電影姐妹早晨
[00:00:01.680 --> 00:00:05.920]  這幾天有沒有人跟你說新年快樂?
[00:00:05.920 --> 00:00:07.640]  真的有?
[00:00:07.640 --> 00:00:09.960]  我以為已經過了年了
[00:00:09.960 --> 00:00:15.360]  好 再一次我們跟旁邊的朋友說一聲新年進步
[00:00:15.360 --> 00:00:20.280]  祝他身體健康 學業進步
[00:00:20.280 --> 00:00:22.560]  做事沒有脫胎
[00:00:22.560 --> 00:00:28.400]  我趁你們給錢問安 喝口水
[00:00:31.000 --> 00:00:35.480]  一齊敬拜是很難得的事
[00:00:35.480 --> 00:00:37.480]  大家今早知道
[00:00:37.480 --> 00:00:41.320]  我今早聽到至少有三個人不舒服
[00:00:41.320 --> 00:00:42.480]  回不來了
[00:00:42.480 --> 00:00:45.480]  Alex 郭榮伯伯
[00:00:45.480 --> 00:00:49.480]  還有武哥 也打了流感針 有些反應
[00:00:49.480 --> 00:00:54.480]  還有芳姐 芳姐這段時間比較嚴謹
[00:00:54.480 --> 00:00:57.080]  她不舒服
[00:00:57.080 --> 00:01:00.080]  所以我們也為她禱告
[00:01:00.080 --> 00:01:02.080]  能夠回來敬拜是很開心的事
[00:01:02.080 --> 00:01:03.080]  2018年
[00:01:03.080 --> 00:01:07.080]  我們今天的講題叫做
[00:01:07.080 --> 00:01:10.080]  破碎自我的好結果
[00:01:10.080 --> 00:01:13.080]  破碎有什麼好結果呢?
[00:01:13.080 --> 00:01:15.080]  破碎沒什麼好結果的
[00:01:15.080 --> 00:01:18.080]  我們通常覺得 嘩 破碎
[00:01:18.080 --> 00:01:21.080]  但如果是破碎不好的東西
[00:01:21.080 --> 00:01:23.080]  就會有好結果
[00:01:23.080 --> 00:01:25.080]  那自己是不是不好的東西呢?
[00:01:25.080 --> 00:01:30.080]  你覺得自己是不是不好呢?
[00:01:30.080 --> 00:01:32.080]  Wilson
[00:01:32.080 --> 00:01:35.080]  有三四個
[00:01:35.080 --> 00:01:37.080]  都有幾個
[00:01:37.080 --> 00:01:40.080]  我們一齊加上直著神的話語
[00:01:40.080 --> 00:01:43.080]  去思考這個課題
[00:01:43.080 --> 00:01:46.080]  在聖經裏面 什麼叫做破碎自我呢?
[00:01:46.080 --> 00:01:51.080]  我們一齊安靜去禱告
[00:01:51.080 --> 00:01:54.080]  當我們安靜低頭
[00:01:54.080 --> 00:01:56.080]  謙卑下來仰望神的時候
[00:01:56.080 --> 00:01:59.080]  求神在我們心裏面
[00:01:59.080 --> 00:02:01.080]  聖靈你光照我們
[00:02:01.080 --> 00:02:03.080]  看到我們裏面有沒有黑暗
[00:02:03.080 --> 00:02:08.080]  看到我們有沒有還沒放下的罪
[00:02:08.080 --> 00:02:12.080]  有沒有纏繞我們的憂慮
[00:02:12.080 --> 00:02:17.080]  我們仍然看不到神的奇妙
[00:02:17.080 --> 00:02:24.080]  我們仍然在自己做主
[00:02:24.080 --> 00:02:26.080]  自己去管理自己的生命的時候
[00:02:26.080 --> 00:02:28.080]  求主你幫我們學會
[00:02:28.080 --> 00:02:30.080]  不要自我中心
[00:02:30.080 --> 00:02:32.080]  不要依靠自己
[00:02:32.080 --> 00:02:35.080]  是依靠神你的靈去生活
[00:02:35.080 --> 00:02:37.080]  主我們仰望你
[00:02:37.080 --> 00:02:39.080]  求你幫助我們明白
[00:02:39.080 --> 00:02:41.080]  什麼叫真正的信服
[00:02:41.080 --> 00:02:45.080]  依靠什麼叫真正的破碎自己
[00:02:45.080 --> 00:02:47.080]  求你聽我們祈禱
[00:02:47.080 --> 00:02:49.080]  奉耶穌基督的聖名
[00:03:15.080 --> 00:03:17.080]  這是啟福堂的使命宣言
[00:03:17.080 --> 00:03:22.080]  大家講不講到啟福堂的使命宣言
[00:03:22.080 --> 00:03:24.080]  今年我專登請我們的幹事
[00:03:24.080 --> 00:03:31.080]  打在我們的崇拜程序封面
[00:03:31.080 --> 00:03:34.080]  有沒有打到
[00:03:34.080 --> 00:03:36.080]  沒有嗎
[00:03:36.080 --> 00:03:37.080]  在背面
[00:03:37.080 --> 00:03:40.080]  不是在封面是在封底
[00:03:40.080 --> 00:03:42.080]  使命宣言我們一起讀
[00:03:42.080 --> 00:03:45.080]  預備起
[00:03:45.080 --> 00:03:51.080]  成為一間培育門徒的社區教會
[00:03:51.080 --> 00:03:54.080]  重申一次我們的使命宣言
