
[00:00:00.000 --> 00:00:05.380]  好,今天講題是《約書亞最後的環》
[00:00:05.380 --> 00:00:08.580]  我們人生經歷很多時候say goodbye
[00:00:08.580 --> 00:00:12.860]  說bye bye,或者不同的情景的時候
[00:00:12.860 --> 00:00:17.100]  例如可能我們小時候外國讀書,或者朋友外國讀書
[00:00:17.100 --> 00:00:20.000]  我們都會跟他say goodbye
[00:00:20.000 --> 00:00:24.000]  我記得小時候我讀書,當然爸爸媽媽很細心
[00:00:24.000 --> 00:00:26.080]  照顧我,幫我收拾東西
[00:00:26.080 --> 00:00:29.840]  之後私人送機就送了一張卡給我
[00:00:29.840 --> 00:00:32.800]  這是真的一張卡,三四十年前了
[00:00:32.800 --> 00:00:36.840]  有人問這張卡是手製的,很漂亮,有一隻青蛙
[00:00:36.840 --> 00:00:39.180]  為什麼?因為他說我像青蛙
[00:00:39.180 --> 00:00:40.920]  眼睛這麼大
[00:00:40.920 --> 00:00:42.880]  裡面有很多東西寫
[00:00:42.880 --> 00:00:45.420]  有些比較激勵的,例如
[00:00:45.420 --> 00:00:48.300]  Goodbye but not forever
[00:00:48.300 --> 00:00:50.460]  With hugs and kisses
[00:00:50.460 --> 00:00:52.300]  再見並不是永遠
[00:00:52.300 --> 00:00:54.680]  有擁抱和親親
[00:00:54.680 --> 00:00:57.140]  我們是男校的,不用怕
[00:00:57.140 --> 00:00:59.880]  可能是男校才會害怕
[00:00:59.880 --> 00:01:02.920]  裡面有些激勵的說話,其中一句是
[00:01:02.920 --> 00:01:06.300]  There is no blemish but the mind
[00:01:06.300 --> 00:01:09.420]  None can be called deformed
[00:01:09.420 --> 00:01:11.500]  but the unkind
[00:01:11.500 --> 00:01:14.420]  著名的是誰呢?是William Shakespeare
[00:01:14.420 --> 00:01:17.080]  他引用了莎士比亞
[00:01:17.080 --> 00:01:19.760]  很厲害,他說沒有污點的人生
[00:01:19.760 --> 00:01:23.000]  是你重要,是你的心,你的mind
[00:01:23.000 --> 00:01:27.040]  當然我們的同學不是每個人都這麼有情懷
[00:01:27.040 --> 00:01:32.680]  這個比較特別,他叫我快快整容吧
[00:01:32.680 --> 00:01:37.220]  這個比較憎恨我們男校的本性
[00:01:37.220 --> 00:01:41.500]  很有趣的,裡面還有很多,自己整
[00:01:41.500 --> 00:01:46.300]  今天我們也未必有這些很特別的東西
[00:01:46.300 --> 00:01:50.260]  當然有人叫我整容,也有人叫我Handsome Boy
[00:01:50.260 --> 00:01:51.500]  不知道是什麼
[00:01:51.500 --> 00:01:54.140]  當然不單止這樣,我們中學畢業
[00:01:54.140 --> 00:01:57.440]  大學畢業也有紀念冊
[00:01:57.440 --> 00:01:59.520]  寫下心聲Goodbye
[00:01:59.520 --> 00:02:02.600]  可能有時候同學真的不再見了
[00:02:02.600 --> 00:02:08.380]  也不單止這樣,我們知道近來也有很多朋友移民出外
[00:02:08.380 --> 00:02:11.180]  我們也看到很多farewell
[00:02:11.180 --> 00:02:14.420]  farewell飯我過去兩個星期也吃了三餐
[00:02:14.420 --> 00:02:16.480]  都是為他祈禱聆聽
[00:02:16.480 --> 00:02:23.960]  在機場當然更加有很多最後的說話
[00:02:23.960 --> 00:02:27.300]  在網上又找到另一個很有趣的片段
[00:02:27.300 --> 00:02:31.200]  有電話找我,剛剛要和你say goodbye
[00:02:31.200 --> 00:02:33.640]  網上有這個片段
[00:02:33.640 --> 00:02:36.920]  很有趣,說到一個公公
[00:02:36.920 --> 00:02:45.120]  他不捨得去送別他的孫女出嫁
[00:02:45.120 --> 00:02:49.860]  很有趣,出嫁的時候外公邊哭邊找紅包說
[00:02:49.860 --> 00:02:53.640]  嫁了也要常回來看他
[00:02:53.640 --> 00:02:55.440]  雖然我還沒有做公公
[00:02:55.440 --> 00:02:58.360]  但想起我女兒將會嫁人
[00:02:58.360 --> 00:02:59.960]  我女兒只有17歲
[00:02:59.960 --> 00:03:02.600]  真的有點情懷
[00:03:02.600 --> 00:03:04.240]  到時說些什麼好呢
[00:03:04.240 --> 00:03:06.440]  退休的時候不知道會說些什麼
[00:03:06.440 --> 00:03:07.400]  同時和你
[00:03:07.400 --> 00:03:11.160]  又或者臨終前會說些什麼
[00:03:11.160 --> 00:03:12.960]  葛培里有一句說話
