
[00:00:00.000 --> 00:00:02.000]  清朝乾隆皇的時代
[00:00:02.000 --> 00:00:04.000]  有位文學家叫紀曉嵐
[00:00:04.000 --> 00:00:06.000]  他有位老師叫陳百牙
[00:00:06.000 --> 00:00:08.000]  撰寫了一副對聯
[00:00:08.000 --> 00:00:10.000]  原文是這樣說的
[00:00:10.000 --> 00:00:12.000]  對聯是說
[00:00:12.000 --> 00:00:14.000]  是能知足心常態
[00:00:14.000 --> 00:00:16.000]  人都無求
[00:00:16.000 --> 00:00:18.000]  品自高
[00:00:18.000 --> 00:00:20.000]  其實是高階人
[00:00:20.000 --> 00:00:22.000]  要捨去滿腦子的功利和浮躁
[00:00:22.000 --> 00:00:24.000]  不要被外物羈絆
[00:00:24.000 --> 00:00:26.000]  不要被浮雲遮雙眼
[00:00:26.000 --> 00:00:28.000]  去獲得一種
[00:00:28.000 --> 00:00:30.000]  超然物外的
[00:00:30.000 --> 00:00:32.000]  自在和寧靜
[00:00:32.000 --> 00:00:34.000]  不過有一位台灣
[00:00:34.000 --> 00:00:36.000]  他是心理學醫生
[00:00:36.000 --> 00:00:38.000]  從醫超過30年
[00:00:38.000 --> 00:00:40.000]  他說
[00:00:40.000 --> 00:00:42.000]  人如果無慾望
[00:00:42.000 --> 00:00:44.000]  就缺乏
[00:00:44.000 --> 00:00:46.000]  活著的理由
[00:00:46.000 --> 00:00:48.000]  人類的慾望
[00:00:48.000 --> 00:00:50.000]  可以說是與生俱來
[00:00:50.000 --> 00:00:52.000]  從渴望到有兩餐的溫飽
[00:00:52.000 --> 00:00:54.000]  到擁有自己的屋
[00:00:54.000 --> 00:00:56.000]  都是基本的生存
[00:00:56.000 --> 00:00:58.000]  和安全感的需要
[00:00:58.000 --> 00:01:00.000]  當那些慾望滿足了之後
[00:01:00.000 --> 00:01:02.000]  就會進一步
[00:01:02.000 --> 00:01:04.000]  希望有充滿愛的家庭
[00:01:04.000 --> 00:01:06.000]  和事業上的成就
