
[00:00:00.000 --> 00:00:06.400]  今天要跟大家講一個非常有意思的語言
[00:00:06.400 --> 00:00:12.240]  這個語言被認爲在聖經裏面是最偉大的一個語言
[00:00:12.240 --> 00:00:25.960]  我們知道有一個俗世的歷史學家叫做Josephus
[00:00:25.960 --> 00:00:33.080]  他曾經說過神不單止將語言講給但爾利先知知道
[00:00:33.080 --> 00:00:35.720]  就好像其他的先知一樣
[00:00:35.720 --> 00:00:40.280]  但是他甚至將這個語言將會在何時發生
[00:00:40.280 --> 00:00:43.320]  都講給但爾利先知知道
[00:00:43.320 --> 00:00:47.200]  牛頓我們知道他是發現地心吸力
[00:00:47.200 --> 00:00:49.960]  他是一個科學家
[00:00:49.960 --> 00:00:55.040]  他說單單是靠這個語言
[00:00:55.040 --> 00:00:58.480]  就是在耶穌基督之前五百年
[00:00:58.480 --> 00:01:00.520]  有關耶穌基督的語言
[00:01:00.520 --> 00:01:07.280]  我們就可以絕對證實聖經是神的話語
[00:01:07.280 --> 00:01:10.520]  大部分聖經的學者都認爲
[00:01:10.520 --> 00:01:17.920]  但爾利書九章24-27節的語言是其他語言的骨幹
[00:01:17.920 --> 00:01:25.640]  也就是說其他的語言都要回到但爾利書九章24-27節
[00:01:25.640 --> 00:01:29.200]  來解釋他們的經文
[00:01:29.200 --> 00:01:34.800]  如果沒有了但爾利書九章24-27節的語言
[00:01:34.800 --> 00:01:37.320]  相信其他很多語言
[00:01:37.320 --> 00:01:40.880]  例如但爾利書24-25章
[00:01:40.880 --> 00:01:43.520]  和啓示錄有很多的經文
[00:01:43.520 --> 00:01:50.600]  都會很難有解釋
[00:01:50.600 --> 00:01:57.400]  耶穌基督他自己也曾經提到但爾利書裏的語言
[00:01:57.400 --> 00:02:01.560]  當彼得、雅各、約翰和安德烈
[00:02:01.560 --> 00:02:05.920]  來問耶穌基督有關末世的兆頭時
[00:02:05.920 --> 00:02:09.640]  耶穌基督用了兩章的經文來回答
[00:02:09.640 --> 00:02:14.400]  是馬太福音24-25章、馬可福音13-14
[00:02:14.400 --> 00:02:18.080]  和努加福音21-22章
[00:02:18.080 --> 00:02:21.320]  是叫做《橄欖三》的講論
[00:02:21.320 --> 00:02:23.320]  All of the Discourse
[00:02:23.320 --> 00:02:27.280]  來回答門徒所問的問題
