
[00:00:00.000 --> 00:00:02.700]  好 我們聽神話語之前 我們一起有祈禱
[00:00:02.700 --> 00:00:05.860]  我們一起來聽神話語之前 一起來禱告
[00:00:05.860 --> 00:00:10.160]  神啊 求祢對我們講說話
[00:00:10.160 --> 00:00:12.800]  神啊 求祢對我們說話
[00:00:12.800 --> 00:00:16.100]  幫助我們打開我們的心
[00:00:16.100 --> 00:00:18.440]  幫助我們打開我們的心
[00:00:18.440 --> 00:00:22.840]  讓我們能夠順服 遵行
[00:00:22.840 --> 00:00:25.900]  讓我們能順服 遵行
[00:00:25.900 --> 00:00:28.020]  我們祈禱奉主耶穌基督名求
[00:00:28.020 --> 00:00:31.020]  我們祈禱奉主耶穌基督聖名求
[00:00:31.020 --> 00:00:32.020]  Amen
[00:00:32.020 --> 00:00:35.640]  撒姆爾基上帝十八章
[00:00:35.640 --> 00:00:39.480]  可以說是整卷的撒姆爾基的一個轉折點
[00:00:39.480 --> 00:00:45.060]  撒姆爾基十八章 可以說是整個撒姆爾基上的一個轉折
[00:00:45.060 --> 00:00:49.780]  我們記得在第八章 以色列人要求要有一個王
[00:00:49.780 --> 00:00:53.460]  我們記得第八章 以色列人要有一個王
[00:00:53.460 --> 00:00:56.860]  經文的主角一直就是撒羅
[00:00:56.860 --> 00:00:59.920]  經文的主角就是撒姆爾王
[00:00:59.920 --> 00:01:00.900]  是撒羅
[00:01:00.900 --> 00:01:02.380]  是撒姆爾王
[00:01:02.380 --> 00:01:05.160]  經文的主角就是蘇羅
[00:01:05.160 --> 00:01:08.700]  而大衛他在十六章出場
[00:01:08.700 --> 00:01:10.880]  大衛在十六章出場
[00:01:10.880 --> 00:01:13.960]  十七章他就已經打敗了哥利亞
[00:01:13.960 --> 00:01:16.440]  在十七章他就打敗了哥利亞
[00:01:16.440 --> 00:01:21.620]  蘇羅跟大衛兩個人就開始好像在爭奪王位
[00:01:21.620 --> 00:01:25.180]  蘇羅和大衛就開始在這裡爭奪他們的王位
[00:01:25.180 --> 00:01:30.640]  他們兩個人的關係在第十八章來到了一個轉折點
[00:01:30.640 --> 00:01:34.020]  在十八章他們兩個人的關係就來到一個轉折點
[00:01:34.020 --> 00:01:36.420]  因為在十八章裡面描述
[00:01:36.420 --> 00:01:42.340]  撒羅的兒子約拿丹還有他的女兒米迦都喜愛大衛
[00:01:42.340 --> 00:01:48.420]  在這裡說蘇羅的兒子約拿丹和他的女兒都喜愛大衛
[00:01:48.420 --> 00:01:50.860]  而且經文多次提到
[00:01:50.860 --> 00:01:55.140]  大衛成為了以色列人擁抱的領袖
[00:01:55.140 --> 00:02:03.060]  跟經文多次都提到大衛成為了以色列人擁抱的領袖
[00:02:03.060 --> 00:02:04.820]  而相比之下
[00:02:04.820 --> 00:02:08.060]  撒羅好像中了潘千里一樣
[00:02:08.060 --> 00:02:11.420]  相比之下蘇羅就好像中了半千里一樣
[00:02:11.420 --> 00:02:13.820]  所以在這一章經文裡面
[00:02:13.820 --> 00:02:19.020]  把整個故事的主角從撒羅轉移到了大衛的身上
