
[00:00:00.000 --> 00:00:03.200]  我們在今個季度一路思想一個題目
[00:00:03.200 --> 00:00:08.300]  就是「守望相愛,警醒後主」
[00:00:08.300 --> 00:00:08.920]  大家知道
[00:00:08.920 --> 00:00:12.600]  《貼索羅黎加前書》裡面所提及的訊息
[00:00:12.600 --> 00:00:14.200]  是不斷勉勵我們
[00:00:14.200 --> 00:00:18.600]  在弟兄姊妹的關係上學習彼此守望相愛
[00:00:18.600 --> 00:00:19.600]  特別很清楚
[00:00:19.600 --> 00:00:22.500]  當主耶穌再回來的時候
[00:00:22.500 --> 00:00:24.900]  日子不會很久
[00:00:24.900 --> 00:00:26.100]  聖經激勵我們
[00:00:26.100 --> 00:00:28.300]  提醒我們更加要留意
[00:00:28.300 --> 00:00:31.400]  去學習彼此的守望相愛
[00:00:31.400 --> 00:00:33.700]  現在我們來到聖經的第二章
[00:00:33.700 --> 00:00:34.800]  在我們一起看聖經之前
[00:00:34.800 --> 00:00:36.300]  大家再一起同心祈禱
[00:00:36.300 --> 00:00:41.800]  我們交托神
[00:00:41.800 --> 00:00:44.300]  主我們感謝祢
[00:00:44.300 --> 00:00:48.300]  祢再次讓我們來到敬拜祢
[00:00:48.300 --> 00:00:50.400]  主祢是天上的位
[00:00:50.400 --> 00:00:53.000]  掌管天地的上帝
[00:00:53.000 --> 00:00:56.000]  祢的慈愛上達諸天
[00:00:56.000 --> 00:00:59.000]  祢的信實直到窮倉
[00:00:59.000 --> 00:01:00.200]  有些時候我們感覺
[00:01:00.200 --> 00:01:02.700]  我們不配得祢的愛
[00:01:02.700 --> 00:01:05.200]  但祢的愛仍然不改變
[00:01:05.200 --> 00:01:08.200]  仍然淋到我們的身上
[00:01:08.200 --> 00:01:10.200]  主啊,求祢激勵我們的心
[00:01:10.200 --> 00:01:13.100]  真的知道上上去侍奉祢
[00:01:13.100 --> 00:01:14.700]  去跟隨祢
[00:01:14.700 --> 00:01:16.600]  免得我們的心偏移
[00:01:16.600 --> 00:01:18.700]  我們轉向其他
[00:01:18.700 --> 00:01:19.400]  讓我們知道
[00:01:19.400 --> 00:01:23.200]  唯有祢是似生命之道的上帝
[00:01:23.200 --> 00:01:26.800]  唯有祢配得我們對祢的尊崇
[00:01:26.800 --> 00:01:28.200]  所以今天當我們打開聖經
[00:01:28.200 --> 00:01:30.200]  思想祢的說話的時候
[00:01:30.200 --> 00:01:33.400]  求主席的聖靈開啟我們的心思
[00:01:33.400 --> 00:01:34.800]  更認識祢
[00:01:34.800 --> 00:01:37.600]  也更知道去敬畏祢
[00:01:37.600 --> 00:01:39.000]  聽從祢
[00:01:39.000 --> 00:01:41.100]  求祢這樣帶領我們
[00:01:41.100 --> 00:01:42.400]  我們同心祈禱
[00:01:42.400 --> 00:01:44.600]  奉耶穌基督成名求
[00:01:44.600 --> 00:01:46.400]  阿門
[00:01:46.400 --> 00:01:50.100]  大家翻看聖經的《帖索萊迪加前書》
[00:01:50.100 --> 00:01:52.200]  在上星期我們會提及到
[00:01:52.200 --> 00:01:54.400]  在第一章裡面
[00:01:54.400 --> 00:01:57.000]  聖經提及到當時接受萊迪加的人
[00:01:57.000 --> 00:01:58.800]  他們離棄偶像
[00:01:58.800 --> 00:02:00.400]  歸向神
[00:02:00.400 --> 00:02:04.300]  要服侍那位又真又活的上帝
[00:02:04.300 --> 00:02:06.500]  生命已經轉了方向
[00:02:06.500 --> 00:02:09.100]  不再服侍那些假神
[00:02:09.100 --> 00:02:11.500]  不再侍奉自己
[00:02:11.500 --> 00:02:13.000]  而是很清楚服侍那位
[00:02:13.000 --> 00:02:15.900]  又真又活的上帝
[00:02:15.900 --> 00:02:17.200]  來到第二章的時候
[00:02:17.200 --> 00:02:18.900]  保羅也清楚說出
[00:02:18.900 --> 00:02:22.500]  要去傳揚福音要去侍奉上帝
[00:02:22.500 --> 00:02:25.900]  當中有三個很重要的方向
[00:02:25.900 --> 00:02:28.600]  或者說侍奉的一個重點
[00:02:28.600 --> 00:02:31.300]  免得我們在跟隨神的路上
[00:02:31.300 --> 00:02:33.000]  按照這三個方向
[00:02:33.000 --> 00:02:34.700]  一起來努力
[00:02:34.700 --> 00:02:36.700]  因此我們今天思想經文的時候
[00:02:36.700 --> 00:02:39.900]  也嘗試從這三方面思想
[00:02:39.900 --> 00:02:45.700]  大家先看聖經第二章第二節
[00:02:45.700 --> 00:02:47.100]  第二章第二節
[00:02:47.100 --> 00:02:48.900]  我們從前在菲律賓
[00:02:48.900 --> 00:02:51.900]  雖然受了苦又被凌辱
[00:02:51.900 --> 00:02:53.500]  可是靠著我們的神
[00:02:53.500 --> 00:02:55.600]  在強烈的反對之下
[00:02:55.600 --> 00:02:59.500]  仍然放膽向你們述說神的福音
[00:02:59.500 --> 00:03:02.600]  這是你們知道的
[00:03:02.600 --> 00:03:04.500]  保羅提及傳揚福音
[00:03:04.500 --> 00:03:06.000]  和侍奉神的時候
