
[00:00:00.000 --> 00:00:02.880]  在近年或者近排看新聞
[00:00:02.880 --> 00:00:05.000]  常常見到一些很多
[00:00:05.000 --> 00:00:09.820]  不是很開心或者令人很扎心的新聞
[00:00:09.820 --> 00:00:11.820]  很多的天災人禍
[00:00:11.820 --> 00:00:14.360]  近這十多年都是
[00:00:14.360 --> 00:00:18.480]  想跟大家稍稍回顧一下我們
[00:00:18.480 --> 00:00:21.520]  在這個世界發生的天災人禍
[00:00:21.520 --> 00:00:24.000]  究竟我們怎麼面對呢
[00:00:24.000 --> 00:00:27.400]  究竟誰能幫到我們呢
[00:00:28.280 --> 00:00:31.200]  我們看一個PowerPoint
[00:00:31.200 --> 00:00:36.080]  有很多的天災
[00:00:36.080 --> 00:00:40.120]  大家知不知道這是哪裏的災難
[00:00:40.120 --> 00:00:45.040]  這是2004年的南亞的海嘯
[00:00:45.040 --> 00:00:49.040]  在這個海嘯裏面
[00:00:49.040 --> 00:00:52.280]  有很多人喪失了家園
[00:00:52.280 --> 00:00:56.120]  死亡和失蹤的人數有30萬
[00:00:56.120 --> 00:00:59.080]  當然印尼是個重災區
[00:00:59.080 --> 00:01:01.080]  很多人失去了生命
[00:01:01.080 --> 00:01:04.920]  幾年之後在2008年
[00:01:04.920 --> 00:01:10.560]  這個就是我們中國四川汶川的大地震
[00:01:10.560 --> 00:01:15.360]  是中國建國以來最大的地震
[00:01:15.360 --> 00:01:20.680]  最保守的估計都有7萬人在當中死亡
[00:01:20.680 --> 00:01:27.040]  我們見到很多人在當中那種痛苦那種無助
[00:01:27.040 --> 00:01:30.000]  又過了幾年之後在2011年
[00:01:30.000 --> 00:01:33.480]  在日本這個311的事件
[00:01:33.480 --> 00:01:36.400]  地震引發海嘯
[00:01:36.400 --> 00:01:40.120]  在這個海嘯衝擊了一個地方
[00:01:40.120 --> 00:01:43.960]  就是福島的核電廠
[00:01:43.960 --> 00:01:45.840]  我們見到
[00:01:45.840 --> 00:01:51.040]  核電的泄漏的後遺症是難以估計
[00:01:51.040 --> 00:01:53.200]  再近一點去到去年年尾
[00:01:53.200 --> 00:01:55.560]  知不知道是誰來的
[00:01:55.560 --> 00:01:58.760]  這個叫做海燕
[00:01:58.760 --> 00:02:01.560]  海燕去摧雜菲律賓
[00:02:01.560 --> 00:02:05.400]  造成很多的傷亡
[00:02:05.400 --> 00:02:06.920]  不單止很多傷亡
[00:02:06.920 --> 00:02:09.200]  人性的醜惡都走出來
[00:02:09.200 --> 00:02:11.000]  去搶奪
[00:02:11.000 --> 00:02:13.560]  我們相信在海燕這個摧雜
[00:02:13.560 --> 00:02:15.720]  有5500人死亡
[00:02:15.720 --> 00:02:20.480]  1700多人失蹤
[00:02:20.480 --> 00:02:22.360]  再近一點今年年頭
[00:02:22.360 --> 00:02:26.160]  在英國有水災
[00:02:26.160 --> 00:02:29.240]  在美國有大風雪
[00:02:29.240 --> 00:02:32.240]  其實這些天災
[00:02:32.240 --> 00:02:35.640]  預計不了
[00:02:35.640 --> 00:02:37.880]  誰來幫助我們
[00:02:37.880 --> 00:02:40.560]  好像很無奈
[00:02:40.560 --> 00:02:43.360]  好像很無助
[00:02:43.360 --> 00:02:48.440]  除了天災當然有人的禍患
[00:02:48.440 --> 00:02:50.000]  這個大家會很熟悉
[00:02:50.000 --> 00:02:53.320]  911人的禍患
[00:02:53.320 --> 00:02:57.000]  飛機撞到兩座大廈裏面
[00:02:57.000 --> 00:03:00.360]  造成很大的傷亡
[00:03:00.360 --> 00:03:06.520]  甚至有人要被逼從高處跳下來
[00:03:06.520 --> 00:03:09.440]  這個就是幾年前在2011年
[00:03:09.440 --> 00:03:12.280]  在敘利亞的內戰
